69.12549.21
Time(days)     V    Verr    R    Rerr
  383.59     16.579    0.007  -99.000  -99.000
  398.75     16.585    0.009  -99.000  -99.000
  419.69     16.638    0.007   16.245    0.007
  471.57     16.701    0.009   16.297    0.009
  500.54     16.706    0.010   16.307    0.010
  504.50     16.717    0.008   16.313    0.009
  542.82     16.732    0.020   16.298    0.016
  563.80     16.759    0.024   16.323    0.018
  571.81     16.727    0.010   16.301    0.009
  586.75     16.739    0.017   16.324    0.014
  593.75     16.726    0.013   16.307    0.011
  599.81     16.738    0.007   16.319    0.006
  632.75     16.717    0.009   16.298    0.008
  646.66     16.791    0.013   16.343    0.012
  659.65     16.831    0.009   16.393    0.006
  663.67     16.861    0.010   16.410    0.007
  686.65     16.893    0.007   16.457    0.007
  690.66     16.929    0.010   16.478    0.009
  754.70     16.941    0.018   16.526    0.017
  767.62     16.890    0.010   16.482    0.009
  776.69     16.852    0.010  -99.000  -99.000
  789.45     16.795    0.012  -99.000  -99.000
  802.67     16.816    0.010  -99.000  -99.000
  826.61     16.850    0.012   16.456    0.011
  854.56     16.851    0.009   16.450    0.009
  907.76     16.898    0.020   16.439    0.014
  914.80     16.874    0.023   16.476    0.021
  923.80     16.882    0.013   16.437    0.011
  930.78     16.873    0.014   16.440    0.012
  943.76     16.880    0.012   16.436    0.010
  950.76     16.859    0.013   16.418    0.011
  956.77     16.868    0.006   16.442    0.005
  969.71     16.867    0.009   16.438    0.009
  985.72     16.836    0.012   16.403    0.011
  994.70     16.792    0.021   16.375    0.016
 1010.68     16.786    0.009   16.366    0.009
 1022.69     16.790    0.011   16.364    0.009
 1022.73     16.790    0.011   16.357    0.009
 1026.71     16.812    0.007   16.390    0.006
 1058.61     16.830    0.005   16.408    0.006
 1076.57     16.843    0.008   16.410    0.007
 1094.54     16.882    0.006   16.434    0.006
 1106.58     16.880    0.007   16.460    0.007
 1117.61     16.854    0.008   16.432    0.007
 1120.52     16.800    0.008   16.407    0.008
 1123.73     16.833    0.005   16.438    0.005
