59.6398.185
Time(days)     V    Verr    R    Rerr
  378.60     19.366    0.073   18.913    0.037
  398.72     19.190    0.047   18.833    0.048
  419.64     19.174    0.029   18.786    0.027
  425.68     18.951    0.071   18.724    0.069
  471.52     19.069    0.072   18.723    0.064
  491.50     18.869    0.177   18.726    0.188
  500.47     19.130    0.047   18.822    0.047
  504.49     19.028    0.048   18.728    0.044
  541.82     19.229    0.097   18.806    0.069
  561.75     19.135    0.066   18.766    0.055
  566.79     19.143    0.042   18.790    0.035
  580.80     19.328    0.088   18.856    0.048
  588.79     19.269    0.060   18.847    0.045
  599.71     19.249    0.039   18.895    0.029
  601.79     19.185    0.031   18.855    0.026
  632.65     19.308    0.059   18.909    0.040
  634.73     19.343    0.042   18.931    0.027
  645.64     19.365    0.047   19.003    0.038
  650.60     19.348    0.032   18.958    0.025
  660.64     19.370    0.029   18.952    0.022
  668.59     19.278    0.078   19.022    0.068
  684.69     19.415    0.027   18.999    0.022
  689.67     19.459    0.049   19.033    0.039
  694.66     19.460    0.065   19.032    0.043
  752.71     19.298    0.032   18.934    0.030
  757.71    -99.000  -99.000   18.966    0.124
  775.70     19.273    0.042  -99.000  -99.000
  801.60     19.286    0.058  -99.000  -99.000
  837.56     19.374    0.064   19.015    0.054
  890.84     19.307    0.049   18.919    0.048
  895.80    -99.000  -99.000   18.227    0.424
  911.81     19.302    0.117   19.078    0.109
  918.83     19.288    0.033   18.910    0.032
  929.73     19.401    0.087   18.930    0.058
  932.77     19.175    0.180   18.885    0.131
  946.79     19.376    0.045   18.961    0.035
  954.78     19.378    0.073   18.986    0.054
  963.73     19.185    0.169   18.922    0.107
  982.72     19.288    0.026   18.928    0.021
  988.75     19.059    0.138   18.869    0.133
  996.72     19.430    0.143   19.000    0.095
 1012.71     19.355    0.077   18.959    0.056
 1026.59     19.294    0.035   18.948    0.029
 1047.64     19.349    0.122   18.923    0.072
 1067.62     19.340    0.017   18.938    0.015
 1068.73     19.375    0.041   18.970    0.043
 1069.52     19.338    0.027   18.967    0.022
 1072.70     19.322    0.044   19.004    0.040
 1073.72     19.389    0.034   18.971    0.028
 1079.72     19.383    0.050   19.009    0.047
 1080.54     19.290    0.066   18.909    0.054
 1081.73     19.336    0.088   19.018    0.082
 1093.65     19.422    0.067   19.076    0.064
 1105.65     19.371    0.022   18.990    0.022
 1107.73     19.295    0.035   18.960    0.033
 1117.50     19.358    0.029   18.947    0.027
 1119.56     19.340    0.039   19.001    0.044
 1123.64     19.310    0.022   18.970    0.021
 1125.48     19.341    0.043   18.955    0.038
 1126.66     19.413    0.034   19.011    0.030
 1128.72     19.299    0.077   18.858    0.057
 1132.57     19.328    0.024   18.986    0.024
 1137.64     19.270    0.147   19.010    0.089
 1137.66     19.433    0.067   18.972    0.048
 1143.74     19.246    0.236   18.867    0.126
 1164.63     19.336    0.055   18.954    0.041
 1166.64     19.522    0.109   19.222    0.075
 1168.62     19.699    0.303   19.204    0.125
 1172.66     19.197    0.095   18.961    0.073
 1177.53     19.407    0.042   18.983    0.036
 1179.59     19.281    0.045   19.013    0.039
 1182.59     19.331    0.051   18.922    0.037
 1184.60     19.385    0.059   18.987    0.042
 1209.54     19.349    0.032   18.967    0.025
 1299.78     19.383    0.065   19.029    0.049
 1310.70     19.351    0.038   18.980    0.029
 1313.68     19.529    0.141   19.110    0.088
 1315.81     19.349    0.083   19.083    0.063
 1319.64     19.294    0.091   18.983    0.047
 1321.66     19.392    0.072   19.021    0.042
 1323.69     19.557    0.126   19.153    0.085
 1325.68     19.493    0.134   19.142    0.101
 1329.64     19.449    0.054   19.048    0.035
 1334.76     19.407    0.037   19.068    0.028
 1338.75     19.540    0.056   19.092    0.038
 1342.80     19.440    0.056   19.059    0.044
 1347.71     19.296    0.089   19.050    0.056
 1359.55     19.350    0.045   19.005    0.036
 1363.78     19.398    0.064   19.077    0.049
 1371.73     19.559    0.052   19.069    0.032
 1383.77     19.297    0.094   19.127    0.110
 1398.62     19.432    0.060   19.067    0.045
 1415.57     19.443    0.023   19.085    0.018
 1423.62     19.438    0.097   19.030    0.074
 1434.72     19.527    0.104   19.099    0.073
 1466.74     19.444    0.078   19.046    0.049
 1531.54     19.582    0.039   19.151    0.030
 1562.56     19.476    0.068   19.101    0.054
 1575.54     19.455    0.121   19.067    0.083
 1609.83     19.608    0.132   19.313    0.129
 1631.83     19.567    0.061   19.106    0.045
 1654.74     19.571    0.104   19.279    0.093
 1685.70     19.452    0.063   19.189    0.057
 1696.77     19.542    0.034   19.146    0.027
 1712.78     19.559    0.042   19.153    0.036
 1729.77     19.712    0.148   19.164    0.063
 1736.69     19.501    0.026   19.134    0.022
 1748.63     19.583    0.026   19.198    0.021
 1762.63     19.713    0.115   19.187    0.076
 1774.69     19.558    0.074   19.253    0.070
 1783.70     19.568    0.040   19.221    0.037
 1794.66     19.613    0.091   19.259    0.065
 1796.58     19.537    0.046   19.128    0.035
 1808.64     19.559    0.032   19.174    0.027
 1816.69     19.586    0.104   19.132    0.073
 1829.67     19.624    0.030   19.213    0.026
 1844.62     19.531    0.055   19.173    0.049
 1856.72     19.514    0.051   19.145    0.041
 1861.56     19.636    0.040   19.173    0.031
 1863.76     19.575    0.064   19.206    0.049
 1870.74     19.580    0.051   19.178    0.038
 1872.63     19.566    0.046   19.140    0.036
 1887.51     19.580    0.030   19.189    0.028
 1896.56     19.592    0.079   19.090    0.056
 1899.46     19.589    0.044   19.185    0.037
 1904.48     19.482    0.107   19.136    0.075
 1907.49     19.633    0.169   19.377    0.128
 1910.60     19.821    0.209   19.275    0.103
 1916.45     19.614    0.034   19.214    0.031
 1919.44     19.567    0.088   19.235    0.085
 1922.47     19.543    0.051   19.172    0.047
 1925.42     19.587    0.073   19.240    0.061
 1929.57     19.617    0.106   19.190    0.062
 1934.43     19.543    0.128   19.037    0.067
 1942.44     19.595    0.034   19.189    0.028
 1946.52     19.501    0.080   19.179    0.066
 1954.39     19.648    0.083   19.323    0.076
 1957.50     19.524    0.095   19.321    0.091
 1972.36     19.691    0.065   19.201    0.047
 1978.43     19.642    0.056   19.307    0.053
 1985.35     19.654    0.051   19.189    0.040
 1992.37     19.282    0.271   19.081    0.203
 1999.74     19.731    0.214   19.204    0.099
 2029.66     20.123    0.224   19.383    0.067
 2034.83     19.727    0.042   19.292    0.033
 2037.73     19.626    0.070   19.233    0.054
 2039.80     19.827    0.075   19.264    0.044
 2055.69    -99.000  -99.000   19.086    0.123
 2057.68     19.692    0.127   19.371    0.073
 2059.64     19.709    0.187   19.349    0.117
 2066.74     19.739    0.045   19.283    0.032
 2078.73     19.794    0.049   19.306    0.034
 2081.72     19.689    0.057   19.271    0.040
 2091.64     18.950    0.311   19.150    0.551
 2094.73     19.691    0.040   19.287    0.029
 2096.67     19.713    0.051   19.341    0.036
 2098.57     19.686    0.045   19.271    0.030
 2099.72     19.764    0.066   19.308    0.044
 2102.53     19.682    0.109   19.304    0.078
 2107.61     19.675    0.035   19.308    0.026
 2108.73     19.708    0.074   19.372    0.057
 2110.59     19.560    0.118   19.218    0.076
 2111.68     19.977    0.283   19.363    0.109
 2113.55    -99.000  -99.000   19.184    0.099
 2114.61     19.887    0.397   19.301    0.198
 2119.50     19.615    0.061   19.275    0.046
 2144.53     19.661    0.069   19.298    0.056
 2146.60     19.685    0.065   19.331    0.055
 2148.66     19.706    0.043   19.318    0.034
 2152.67     19.900    0.173   19.218    0.102
 2154.69     19.720    0.063   19.302    0.051
 2161.71     19.751    0.071   19.233    0.049
 2170.66     19.642    0.047   19.209    0.034
 2174.50     19.665    0.052   19.274    0.039
 2180.55     19.609    0.055   19.205    0.043
 2182.54     19.666    0.037   19.269    0.030
 2188.58     19.649    0.039   19.219    0.027
 2190.63     19.816    0.097   19.250    0.058
 2202.58     19.760    0.103   19.320    0.062
 2207.68     19.468    0.109   19.059    0.063
 2211.69     19.572    0.040   19.153    0.032
 2216.51     19.588    0.031   19.164    0.026
 2218.60    -99.000  -99.000   19.244    0.023
 2221.63     19.596    0.036   19.264    0.032
 2225.67     19.380    0.065   19.102    0.053
 2233.71     19.484    0.176   19.130    0.102
 2237.65     19.365    0.124   19.008    0.091
 2239.63     19.584    0.055   19.213    0.041
 2241.65     19.573    0.067   19.170    0.053
 2243.57     19.554    0.071   19.104    0.052
 2245.66     19.552    0.044   19.205    0.063
 2247.68     19.456    0.087   19.109    0.061
 2252.53     19.504    0.044   19.130    0.037
 2257.47     19.516    0.051   19.084    0.035
 2263.48     19.485    0.105   19.163    0.068
 2285.55     19.539    0.063   19.154    0.045
 2293.58    -99.000  -99.000   19.226    0.385
 2298.55     19.526    0.084   19.185    0.064
 2329.37     19.496    0.043   19.114    0.040
 2338.39     19.571    0.134   19.025    0.094
 2351.35     19.305    0.116   19.001    0.152
 2359.39     19.417    0.044   19.043    0.036
 2371.82     19.422    0.069   18.956    0.049
 2377.79     19.321    0.043   19.056    0.044
 2382.78     19.286    0.101   18.954    0.064
 2401.84     19.205    0.087   18.973    0.079
 2410.68    -99.000  -99.000   19.109    0.143
 2424.80     19.341    0.039   18.959    0.033
 2428.78     19.295    0.044   18.924    0.037
 2433.70     19.295    0.032   18.982    0.025
 2438.68     19.196    0.123   18.950    0.076
 2449.66     19.253    0.044   18.889    0.035
 2451.75     19.294    0.052   18.972    0.042
 2461.62     19.193    0.076   18.909    0.059
 2463.52     19.278    0.063   18.970    0.048
 2466.54     19.535    0.286   19.030    0.130
 2474.74     19.251    0.032   18.924    0.026
 2479.62     19.278    0.046   18.893    0.033
 2483.70     19.191    0.051   18.874    0.047
 2488.61     19.263    0.293   18.731    0.177
 2490.73     19.208    0.038   18.876    0.035
 2495.68     19.172    0.104   18.830    0.065
 2497.74     19.209    0.047   18.888    0.034
 2508.70     19.267    0.160   18.856    0.136
 2513.73     19.151    0.038   18.837    0.034
 2518.53     19.160    0.043   18.887    0.033
 2524.64     19.124    0.046   18.784    0.033
 2530.68     19.173    0.109   18.813    0.096
 2535.69     19.118    0.045   18.817    0.036
 2547.64     19.085    0.027   18.789    0.025
 2549.66     19.080    0.029   18.806    0.027
 2556.70     19.076    0.053   18.806    0.058
 2558.62     19.002    0.044   18.705    0.033
 2560.73     19.100    0.047   18.754    0.030
 2565.70     19.093    0.198   18.928    0.238
 2572.48     19.071    0.030   18.780    0.027
 2582.53    -99.000  -99.000   18.914    0.410
 2600.64     19.077    0.023   18.763    0.022
 2604.60     19.070    0.029   18.766    0.028
 2608.70     19.099    0.035   18.793    0.032
 2618.51     19.051    0.039   18.811    0.033
 2618.65     19.206    0.088   18.899    0.057
 2623.66     19.048    0.034   18.740    0.028
 2626.62     19.106    0.030   18.731    0.024
 2628.55     19.060    0.032   18.776    0.033
 2637.54     19.059    0.030   18.752    0.027
 2652.49     19.129    0.067   18.840    0.060
 2655.56     19.104    0.033   18.753    0.025
 2661.53     19.027    0.028   18.698    0.025
 2665.43     19.033    0.026   18.697    0.026
 2668.41     19.083    0.030   18.757    0.028
 2675.51    -99.000  -99.000   18.748    0.071
 2678.40     19.072    0.024   18.761    0.025
 2681.46     19.022    0.038   18.722    0.039
 2684.48     19.081    0.030   18.784    0.031
 2689.47     19.133    0.060   18.842    0.063
 2692.43     19.069    0.043   18.723    0.044
 2725.35     19.125    0.063   18.846    0.056
 2743.80     19.193    0.050   18.805    0.036
 2760.74     19.244    0.062   18.926    0.051
 2769.75     19.157    0.053   18.867    0.038
 2772.73     19.165    0.045   18.829    0.038
 2781.77     19.095    0.034   18.804    0.029
 2784.77     19.113    0.033   18.806    0.028
 2788.65     19.182    0.083   18.861    0.067
 2791.72     19.233    0.054   18.833    0.035
 2798.65     19.243    0.095   18.799    0.058
 2801.66     19.143    0.043   18.838    0.033
 2808.69     19.186    0.061   18.819    0.047
 2811.68     19.159    0.040   18.809    0.030
 2816.62     19.094    0.045   18.794    0.035
 2817.72     19.163    0.029   18.816    0.023
 2826.64     19.156    0.042   18.850    0.033
 2835.71    -99.000  -99.000   18.838    0.018
 2839.74     19.265    0.031   18.888    0.024
 2843.70     19.217    0.031   18.826    0.023
 2847.74     19.245    0.046   18.949    0.040
 2849.58     19.061    0.094   18.772    0.061
 2854.59     19.223    0.105   18.881    0.077
 2856.49     19.205    0.044   18.803    0.032
 2859.66     19.246    0.050   18.890    0.038
 2863.75     19.183    0.054   18.842    0.041
 2866.61     19.431    0.351   18.827    0.193
 2869.62     19.128    0.046   18.836    0.040
 2872.52     19.139    0.040   18.824    0.034
 2882.49     19.261    0.085   18.861    0.061
 2887.52     19.187    0.025   18.812    0.021
 2889.65     19.197    0.024   18.828    0.019
 2891.55     19.214    0.028   18.852    0.022
 2892.63     19.235    0.039   18.868    0.032
 2903.64     19.177    0.027   18.842    0.023
 2908.65     19.085    0.107   18.751    0.079
 2918.54     19.228    0.029   18.889    0.022
 2923.51     19.240    0.058   18.936    0.055
