20.4678.600
Time(days)     V    Verr    R    Rerr
  200.79     20.535    0.374   20.193    0.314
  201.81     19.974    0.594  -99.000  -99.000
  205.78     20.217    0.165   20.062    0.193
  206.76     19.663    0.391   19.605    0.570
  208.75     20.283    0.194   19.985    0.184
  209.73     20.175    0.130   19.765    0.098
  211.77     20.305    0.088   19.941    0.078
  212.66     19.855    0.173   19.672    0.183
  212.80     20.732    0.431   20.062    0.275
  218.74     20.294    0.110   19.868    0.097
  219.78    -99.000  -99.000   20.021    0.137
  220.72     19.931    0.121   20.546    0.397
  228.75     20.213    0.191   19.814    0.135
  232.82     20.148    0.169   19.868    0.181
  262.79     19.921    0.062   19.736    0.064
  285.68     20.072    0.078   19.810    0.075
  294.68     20.040    0.048   19.953    0.058
  296.68     19.837    0.190   19.435    0.149
  304.62     20.022    0.087   19.671    0.076
  305.71     20.062    0.047   19.754    0.044
  306.60     20.048    0.086   19.827    0.083
  308.61     19.979    0.064   19.769    0.059
  315.67     19.974    0.102   19.942    0.140
  316.71     20.065    0.113   19.923    0.133
  342.66     19.966    0.182   19.756    0.196
  343.65     20.149    0.250   19.727    0.185
  373.60     20.004    0.125   19.787    0.113
  422.68     19.891    0.148   19.500    0.107
  436.46     19.989    0.046   19.835    0.054
  445.41     20.042    0.038   19.742    0.041
  472.56     20.070    0.072   19.803    0.066
  485.55     18.598    0.399  -99.000  -99.000
  503.48     20.129    0.108   19.810    0.098
  512.48     20.290    0.161   20.195    0.166
  541.78     19.954    0.153   19.696    0.143
  560.83     19.803    0.104   19.806    0.161
  566.75     19.859    0.110   19.578    0.107
  580.77     19.864    0.163   19.779    0.154
  588.74     20.014    0.073   19.678    0.065
  601.77     20.056    0.068   19.813    0.065
  610.73     20.653    0.440   20.084    0.222
  631.76     20.001    0.051   19.809    0.054
  634.70     19.982    0.069   19.672    0.053
  647.73     20.024    0.148   19.923    0.171
  660.61     20.010    0.061   19.698    0.053
  666.71     20.266    0.200   19.923    0.143
  684.65     19.954    0.038   19.705    0.037
  689.64     20.122    0.079   19.926    0.086
  694.63     20.066    0.070   19.772    0.059
  752.68     20.003    0.119   19.730    0.114
  757.68    -99.000  -99.000   20.049    0.286
  801.56     19.948    0.059   19.663    0.063
  828.60     19.906    0.134   19.748    0.136
  854.55     19.924    0.105   19.689    0.088
  889.84     19.831    0.123   19.875    0.249
  914.75     19.884    0.231   19.494    0.185
  923.73     19.979    0.087   19.927    0.116
  930.70     19.616    0.283   19.332    0.235
  935.82     19.726    0.130   19.614    0.120
  949.76     20.082    0.117   19.759    0.103
  955.77     19.984    0.049   19.721    0.048
  964.77     19.710    0.233   19.641    0.255
  984.67     20.086    0.145   19.854    0.133
 1007.67     19.949    0.061   19.682    0.053
 1016.69     20.023    0.045   19.709    0.040
 1026.66     20.160    0.090   19.859    0.080
 1053.63    -99.000  -99.000   19.468    0.449
 1067.70     20.046    0.035   19.833    0.041
 1068.71     19.987    0.046   19.708    0.047
 1072.65     20.135    0.083   19.843    0.073
 1073.70     20.032    0.052   19.837    0.058
 1079.62     20.062    0.099   19.803    0.102
 1080.51     19.802    0.111   19.716    0.142
 1081.70     19.927    0.138   19.995    0.203
 1093.57     20.031    0.050   19.819    0.055
 1105.61     19.936    0.051   19.680    0.054
 1107.70     19.998    0.061   19.774    0.064
 1117.47     19.954    0.046   19.705    0.052
 1119.49     20.013    0.102   19.933    0.142
 1123.60     19.992    0.036   19.739    0.037
 1125.46     20.012    0.066   19.746    0.068
 1126.61     19.872    0.041   19.671    0.044
 1128.69     19.995    0.103   19.793    0.109
 1132.54     19.942    0.042   19.743    0.045
 1137.60     20.113    0.105   19.821    0.092
 1142.73    -99.000  -99.000   19.635    0.174
 1145.72     19.620    0.136   19.674    0.159
 1164.60     19.987    0.111   19.786    0.112
 1166.61     20.071    0.191   19.740    0.130
 1168.59     19.836    0.169   19.603    0.115
 1172.63     19.998    0.168   19.836    0.150
 1176.64     20.073    0.300   19.824    0.253
 1179.56     20.019    0.072   19.739    0.067
 1182.57     20.069    0.066   19.832    0.065
 1184.57     20.040    0.096   19.715    0.080
 1187.58     20.070    0.083   19.842    0.079
 1195.57     20.045    0.103   19.893    0.084
 1209.49     20.042    0.061   19.779    0.061
 1250.43     20.221    0.173   19.857    0.139
 1299.74     20.174    0.111   19.897    0.093
 1309.79     20.144    0.164   19.899    0.145
 1313.65     19.910    0.161   19.889    0.181
 1315.77     20.370    0.242   19.912    0.132
 1319.61     20.002    0.178   19.979    0.148
 1321.62     20.007    0.170   19.974    0.164
 1321.65     20.224    0.153   19.974    0.110
 1323.65     20.329    0.282   19.745    0.148
 1325.64     20.630    0.385   20.184    0.256
 1329.61     20.153    0.105   20.016    0.107
 1332.68     20.360    0.200   20.154    0.181
 1334.72     20.215    0.060   19.919    0.050
 1338.72     20.150    0.070   19.909    0.066
 1342.77     20.404    0.106   19.977    0.084
 1347.68     20.431    0.279   20.124    0.162
 1358.77     20.207    0.107   19.868    0.088
 1363.75     20.118    0.085   19.934    0.082
 1366.73     20.156    0.060   19.904    0.054
 1371.69     20.225    0.129   20.055    0.115
 1374.62    -99.000  -99.000   20.074    0.402
 1375.61     20.000    0.153   20.064    0.179
 1382.56     20.186    0.053   19.953    0.051
 1383.74    -99.000  -99.000   19.911    0.049
 1390.70     20.180    0.064   19.812    0.054
 1398.52     20.093    0.098   19.988    0.098
 1422.50     20.196    0.050   19.932    0.045
 1423.54    -99.000  -99.000   19.945    0.496
 1425.59     20.113    0.035   19.843    0.033
 1434.68     20.090    0.210   19.865    0.190
 1448.66     20.166    0.072   19.906    0.064
 1450.57     20.144    0.122   20.033    0.150
 1454.57     20.118    0.038   19.901    0.041
 1465.69     20.091    0.102   19.806    0.085
 1466.71     20.216    0.118   19.838    0.078
 1484.75     20.166    0.069   19.949    0.073
 1486.57     20.130    0.041   19.863    0.046
 1495.71    -99.000  -99.000   19.902    0.387
 1500.70     20.268    0.266   20.019    0.227
 1502.67     20.397    0.206   19.934    0.144
 1508.73     20.232    0.095   20.012    0.091
 1531.60    -99.000  -99.000   19.882    0.062
 1563.47     20.236    0.146   20.009    0.154
 1570.47     20.121    0.076   19.859    0.083
 1574.48     20.042    0.134   19.767    0.115
 1577.42     20.074    0.096   19.804    0.089
 1595.51     20.130    0.121   19.821    0.106
 1597.43     20.040    0.061   19.704    0.060
 1605.42     20.097    0.079   19.919    0.076
 1606.82     19.899    0.334  -99.000  -99.000
 1610.84     20.059    0.130  -99.000  -99.000
 1631.81     19.894    0.110   19.868    0.150
 1654.81     20.047    0.127   19.802    0.122
 1678.79     20.036    0.095   19.718    0.087
 1680.71     20.024    0.092   19.822    0.089
 1682.77     19.993    0.033   19.804    0.034
 1685.67     19.791    0.080   19.758    0.097
 1687.72     20.012    0.063   19.809    0.066
