14.8249.74
Time(days)     V    Verr    R    Rerr
  261.72     18.781    0.051   18.610    0.068
  262.68     18.918    0.045   18.666    0.046
  264.79     19.142    0.101   18.713    0.064
  265.79     18.838    0.050   18.614    0.042
  292.65     18.734    0.087   18.544    0.087
  293.76     18.810    0.051   18.500    0.042
  294.61     18.815    0.021   18.534    0.021
  296.61     18.420    0.064  -99.000  -99.000
  305.59     18.940    0.028  -99.000  -99.000
  310.74     18.832    0.029   18.568    0.033
  312.72     18.815    0.123   18.476    0.107
  314.74     18.903    0.161   18.752    0.162
  315.59     18.892    0.054  -99.000  -99.000
  316.60     18.971    0.060  -99.000  -99.000
  318.64     18.912    0.046   18.604    0.042
  324.69     18.900    0.068   18.657    0.073
  326.58     18.866    0.103   18.847    0.146
  341.72     18.990    0.096   18.632    0.085
  342.57     18.930    0.134   18.657    0.110
  343.57     18.868    0.093   18.610    0.086
  362.59     19.044    0.025   18.717    0.025
  364.59     19.035    0.053   18.675    0.049
  365.58     19.001    0.042   18.707    0.042
  366.58     19.056    0.040   18.701    0.035
  373.53     18.961    0.062   18.626    0.049
  375.54     18.992    0.052   18.715    0.043
  377.55     18.931    0.096   18.599    0.081
  378.54     19.004    0.035   18.749    0.041
  378.73     18.899    0.073  -99.000  -99.000
  383.54     19.120    0.030   18.788    0.029
  383.74     19.068    0.094  -99.000  -99.000
  384.59     19.107    0.043   18.768    0.042
  387.58     19.097    0.022   18.801    0.021
  391.73     18.864    0.104  -99.000  -99.000
  392.54     19.062    0.038   18.740    0.037
  392.66     19.079    0.056  -99.000  -99.000
  393.56     19.055    0.042   18.738    0.037
  395.56     19.078    0.024   18.760    0.026
  397.64     19.194    0.048  -99.000  -99.000
  398.56     19.151    0.041   18.777    0.036
  406.53     19.038    0.061   18.693    0.049
  409.52     19.094    0.076   18.822    0.071
  413.76     19.156    0.120  -99.000  -99.000
  414.50     19.121    0.029  -99.000  -99.000
  419.75     19.171    0.082  -99.000  -99.000
  420.63     19.083    0.047  -99.000  -99.000
  421.70     19.062    0.116  -99.000  -99.000
  422.50     19.107    0.039   18.789    0.036
  422.63     19.105    0.043  -99.000  -99.000
  423.71     18.712    0.247  -99.000  -99.000
  425.48     19.157    0.064   18.789    0.050
  425.62     19.110    0.055  -99.000  -99.000
  426.55     19.199    0.073  -99.000  -99.000
  426.71     19.120    0.086  -99.000  -99.000
  427.69     18.972    0.052  -99.000  -99.000
  436.54     18.904    0.044  -99.000  -99.000
  437.52     18.909    0.034  -99.000  -99.000
  438.50     18.893    0.024  -99.000  -99.000
  438.68     18.964    0.132  -99.000  -99.000
  439.50     18.829    0.033  -99.000  -99.000
  441.60     18.844    0.033  -99.000  -99.000
  441.69     18.810    0.041  -99.000  -99.000
  442.57     18.906    0.030  -99.000  -99.000
  442.68     18.822    0.042  -99.000  -99.000
