206.17052.388
Time(days)     V    Verr    R    Rerr
  229.81     19.227    0.199  -99.000  -99.000
  232.60     19.015    0.033   18.767    0.034
  521.73     18.842    0.065   18.648    0.059
  533.70     18.902    0.185  -99.000  -99.000
  538.71     18.869    0.055  -99.000  -99.000
  539.65     19.049    0.085  -99.000  -99.000
  540.66     18.973    0.039   18.660    0.038
  541.65     18.816    0.045   18.632    0.064
  542.62     18.938    0.067  -99.000  -99.000
  543.62     18.967    0.056   18.710    0.055
  546.61     18.776    0.076   18.513    0.068
  555.59     18.848    0.057  -99.000  -99.000
  557.58     18.877    0.052   18.666    0.063
  558.63     18.908    0.053   18.711    0.058
  560.59     19.009    0.105  -99.000  -99.000
  561.61     18.885    0.037   18.652    0.039
  562.62     18.893    0.032   18.651    0.033
  563.56     18.818    0.058  -99.000  -99.000
  565.59     18.940    0.061  -99.000  -99.000
  566.61     18.909    0.038   18.675    0.040
  571.55     18.845    0.057  -99.000  -99.000
  572.56     18.882    0.045   18.678    0.044
  573.56     18.897    0.070   18.643    0.066
  576.55    -99.000  -99.000   18.197    0.174
  576.61     18.837    0.078   18.610    0.064
  580.57     19.015    0.091   18.673    0.066
  581.58     18.924    0.044   18.610    0.036
  582.51     18.920    0.087   18.672    0.089
  585.56     18.881    0.047   18.625    0.053
  586.55     18.830    0.051  -99.000  -99.000
  587.56     18.836    0.159  -99.000  -99.000
  588.57     18.849    0.029   18.599    0.026
  592.52     18.829    0.060  -99.000  -99.000
  593.52     18.880    0.089  -99.000  -99.000
  594.49     18.858    0.051   18.638    0.058
  595.49     18.841    0.084   18.550    0.086
  596.53     18.854    0.060  -99.000  -99.000
  599.50     18.902    0.034   18.646    0.031
  600.51     18.915    0.045   18.651    0.037
  601.51     18.843    0.050   18.624    0.042
  604.51     18.839    0.079   18.518    0.057
  610.48     19.135    0.123  -99.000  -99.000
  632.45     18.851    0.068   18.746    0.084
  633.47     18.930    0.035   18.650    0.028
  634.46     18.865    0.042   18.648    0.039
  637.45     18.886    0.048   18.681    0.046
  642.43     18.850    0.048  -99.000  -99.000
  643.47     18.862    0.024   18.594    0.022
  644.51     18.837    0.024   18.603    0.022
  645.46     18.805    0.037   18.643    0.047
  664.47     18.904    0.031   18.661    0.030
  666.49     19.150    0.196   18.930    9.999
  668.42     18.900    0.047   18.618    0.041
  679.49     18.940    0.037   18.846    9.999
  684.44     18.893    0.021   18.620    0.019
  686.53     18.864    0.045   18.617    0.044
  688.44     18.823    0.053   18.751    9.999
  689.43     18.892    0.022   18.625    0.022
  690.43     18.849    0.052   18.786    9.999
  692.44     18.927    0.060   18.781    9.999
  694.44     18.933    0.038   18.633    0.033
  749.59     18.986    0.049   18.683    9.999
  752.61     18.903    0.065   18.666    0.068
  753.64     18.902    0.080   18.762    0.081
  757.56    -99.000  -99.000   18.663    9.999
  758.63    -99.000  -99.000   18.630    0.132
  761.63     18.997    0.080   18.694    9.999
  763.61     18.826    0.069   18.649    9.999
  767.57     18.867    0.052   18.562    0.054
  775.56     18.808    0.026   18.617    0.027
  776.56     18.947    0.053   18.684    9.999
  781.57     19.005    0.221   18.704    0.199
  782.55     18.960    0.094   18.744    0.064
  783.59    -99.000  -99.000   19.439    0.343
  788.62     18.746    0.192   18.648    9.999
  789.29    -99.000  -99.000   18.477    0.256
  789.31     19.175    0.222   18.541    0.119
  791.59     18.825    0.120   18.669    9.999
  792.55     18.901    0.064   18.692    9.999
  793.53     18.887    0.100   18.699    9.999
  800.52     18.967    0.090   18.715    9.999
  801.50    -99.000  -99.000   18.696    9.999
  803.49     18.886    0.034   18.660    0.035
  806.49     18.933    0.042   18.646    0.039
  810.48    -99.000  -99.000   18.648    0.224
  811.48     18.933    0.098   18.706    0.088
  813.47     18.821    0.086   18.837    0.103
  821.54     19.134    0.144   18.766    9.999
  823.47     18.900    0.036   18.674    0.037
  825.45    -99.000  -99.000   18.705    9.999
  826.44     18.872    0.055   18.711    9.999
  827.44     18.884    0.031   18.684    0.033
  828.43     18.884    0.042   18.665    0.042
  829.43     18.936    0.070   18.750    9.999
  829.80     18.837    0.099   18.682    9.999
  833.79     18.987    0.053   18.685    0.056
  834.41     18.877    0.034   18.674    0.039
  835.47     18.872    0.047   18.663    0.046
  836.79     18.884    0.046   18.703    9.999
  837.41     18.875    0.076   18.729    9.999
  838.42     18.830    0.085   18.727    9.999
  839.40     18.976    0.098   18.756    9.999
  840.40     18.944    0.113   18.720    9.999
  841.40     18.865    0.071   18.610    0.069
  843.40     18.844    0.063   18.584    0.056
  845.80     18.853    0.103   18.702    9.999
  846.44    -99.000  -99.000   18.772    9.999
  846.80     18.876    0.079   18.724    9.999
  847.44    -99.000  -99.000   18.721    9.999
  848.41     18.907    0.053   18.710    0.063
  849.46     18.911    0.061   18.730    0.069
  850.44     18.908    0.050   18.625    0.044
  853.82     18.894    0.023   18.632    0.025
  854.38    -99.000  -99.000   18.703    0.027
