68.10968.235
Time(days)     V    Verr    R    Rerr
  383.58     19.932    0.061   19.344    0.038
  398.75     20.953    0.279  -99.000  -99.000
  419.69     19.796    0.067   19.321    0.051
  422.72     19.864    0.165   19.236    0.089
  463.59     19.830    0.275  -99.000  -99.000
  471.54     19.809    0.114   19.305    0.080
  502.53     20.631    0.232   19.333    0.048
  512.50     20.265    0.181   19.446    0.068
  542.76     19.887    0.194   19.271    0.114
  561.81     20.190    0.099   19.519    0.053
  566.83     20.028    0.107   19.432    0.064
  585.77     20.275    0.368   19.474    0.152
  593.67     19.485    0.249  -99.000  -99.000
  593.68     19.686    0.244  -99.000  -99.000
  599.74     20.021    0.088   19.365    0.046
  632.69     19.940    0.123   19.455    0.079
  637.64    -99.000  -99.000   19.537    0.086
  645.68     20.240    0.085   19.600    0.049
  650.67     20.124    0.085   19.437    0.045
  660.68     20.014    0.061   19.482    0.039
  668.65     20.153    0.213   19.551    0.105
  684.74     20.192    0.088   19.529    0.070
  690.61     20.023    0.079   19.434    0.046
  753.60     20.259    0.087   19.628    0.052
  763.69     20.118    0.139   19.573    0.090
  823.65     19.728    0.192   19.345    0.165
  837.57     19.891    0.096   19.462    9.999
  861.55     19.908    0.102   19.276    0.056
  891.47     19.792    0.121   19.421    0.097
  923.79     19.796    0.122   19.092    0.060
  930.77     19.658    0.144   19.209    0.100
  943.75     19.832    0.182   19.202    0.108
  950.75     19.811    0.101   19.270    0.064
  956.76     20.374    0.066   19.624    0.036
  969.70     19.772    0.113   19.242    0.075
  984.74     20.073    0.120   19.424    0.062
  994.69     19.613    0.263   19.266    0.194
 1007.73     20.325    0.067   19.665    0.037
 1017.72     20.214    0.060   19.691    0.041
 1042.68     20.273    0.080   19.596    0.047
 1058.62     20.288    0.081   19.525    0.036
 1076.51     20.451    0.137   19.625    0.054
 1093.71     20.152    0.063   19.513    0.041
 1105.69     20.357    0.047   19.753    0.034
 1117.54     20.156    0.072   19.503    0.044
 1119.60     20.241    0.076   19.606    0.049
 1123.67     20.358    0.053   19.702    0.034
 1126.75     20.375    0.136  -99.000  -99.000
 1129.49     20.128    0.077   19.544    0.054
 1132.69     20.117    0.072   19.566    0.047
 1164.67     20.001    0.089   19.450    0.054
 1177.47     20.038    0.179   19.570    0.144
 1185.52     19.973    0.066   19.407    0.044
 1206.49     19.913    0.058   19.426    0.042
 1304.78     19.753    0.133   19.139    0.077
 1313.82     19.820    0.061   19.335    0.040
 1316.75     19.993    0.224   19.369    0.089
 1319.79     19.887    0.100   19.407    0.049
 1323.73     19.595    0.148   19.389    9.999
 1330.68     19.802    0.076   19.358    0.050
 1334.80    -99.000  -99.000   19.399    0.032
 1338.80     19.761    0.073   19.256    0.049
 1343.76     19.939    0.137   19.474    9.999
 1347.75     19.823    0.116   19.309    0.052
 1359.60     19.757    0.060   19.254    0.040
 1364.63     19.982    0.051   19.452    0.031
 1374.71    -99.000  -99.000   19.483    9.999
 1390.62     19.675    0.064   19.407    9.999
 1422.66     19.822    0.075   19.442    9.999
 1425.56     20.079    0.040   19.506    0.025
 1440.72     19.777    0.086   19.425    0.074
 1443.60     19.870    0.045   19.376    0.032
