1.4418.1930
Time(days)     V    Verr    R    Rerr
  218.71     19.521    0.187  -99.000  -99.000
  259.59     19.611    0.185  -99.000  -99.000
  261.64     19.393    0.167  -99.000  -99.000
  262.60     19.579    0.135  -99.000  -99.000
  264.67     19.937    0.725  -99.000  -99.000
  272.75     19.792    0.146  -99.000  -99.000
  273.76     19.834    0.184  -99.000  -99.000
  285.45     19.360    0.077  -99.000  -99.000
  291.74     20.086    0.954  -99.000  -99.000
  292.60     19.644    0.773  -99.000  -99.000
  293.68     19.633    0.218  -99.000  -99.000
  294.52     19.492    0.113  -99.000  -99.000
  296.68     19.554    0.176  -99.000  -99.000
  300.72     19.723    0.116  -99.000  -99.000
  306.66     19.622    0.124  -99.000  -99.000
  308.63     19.347    0.136  -99.000  -99.000
  310.60     19.646    0.140  -99.000  -99.000
  314.65     20.059    0.683  -99.000  -99.000
  316.67     19.674    0.238  -99.000  -99.000
  318.57     19.671    0.157  -99.000  -99.000
  318.69     19.677    0.181  -99.000  -99.000
  324.60     19.193    0.337  -99.000  -99.000
  324.73     19.390    0.512  -99.000  -99.000
  325.69     19.760    0.135  -99.000  -99.000
  341.65     19.442    0.271  -99.000  -99.000
  342.49     20.440    0.687  -99.000  -99.000
  342.63     19.343    0.182  -99.000  -99.000
  342.73     19.484    0.102   19.338    0.138
  343.49     19.658    0.214  -99.000  -99.000
  343.61     19.493    0.229  -99.000  -99.000
  351.53     19.418    0.209  -99.000  -99.000
  361.65     19.795    0.477   19.903    0.721
  362.71     19.519    0.085   19.429    0.122
  364.67     19.533    0.061   19.385    0.072
  365.68     19.456    0.100   19.325    0.116
  366.51     19.659    0.164  -99.000  -99.000
  366.62     19.853    0.405  -99.000  -99.000
  373.46     19.448    0.108  -99.000  -99.000
  373.57     19.435    0.129  -99.000  -99.000
  375.46     19.304    0.075  -99.000  -99.000
  375.57     19.403    0.075  -99.000  -99.000
  375.65     19.518    0.124   19.369    0.123
  377.47     19.405    0.202  -99.000  -99.000
  377.65     19.179    0.360   18.989    0.420
  378.46     19.406    0.085  -99.000  -99.000
  378.65     19.346    0.121   19.143    0.116
  379.46     19.355    0.091  -99.000  -99.000
  380.56     19.594    0.168  -99.000  -99.000
  380.65     19.535    0.115   19.234    0.104
  381.45     19.450    0.082  -99.000  -99.000
  383.47     19.511    0.057  -99.000  -99.000
  383.65     19.494    0.230   19.205    0.161
  384.48     19.641    0.278  -99.000  -99.000
  384.64     19.525    0.101   19.346    0.100
  387.63     19.546    0.045   19.333    0.054
  388.55     19.380    0.260  -99.000  -99.000
  388.63     19.340    0.261   19.276    0.301
  391.66     19.338    0.275   19.192    0.261
  392.46     19.435    0.148  -99.000  -99.000
  392.59     19.488    0.158   19.340    0.155
  393.46     19.407    0.197  -99.000  -99.000
  395.49     19.497    0.056  -99.000  -99.000
  397.54     19.626    0.262  -99.000  -99.000
  398.49     19.429    0.101  -99.000  -99.000
  401.46     19.711    0.470  -99.000  -99.000
  402.49     19.501    0.135  -99.000  -99.000
  406.46     19.498    0.320  -99.000  -99.000
  408.48     19.331    0.438  -99.000  -99.000
  409.45     19.433    0.292  -99.000  -99.000
  409.57     19.425    0.239   19.308    0.272
  412.58     19.335    0.170   19.207    0.167
  413.66     19.405    0.331   19.111    0.196
  414.44     19.322    0.085  -99.000  -99.000
  414.67     19.332    0.145   19.134    0.151
  417.48     19.263    0.138  -99.000  -99.000
  419.46     19.385    0.083   19.265    0.072
  420.46     19.269    0.080  -99.000  -99.000
  420.56     19.359    0.151   19.195    0.141
  421.47     19.295    0.234  -99.000  -99.000
  421.62     19.735    0.815   19.259    0.493
  422.44     19.351    0.104  -99.000  -99.000
  422.55     19.363    0.095   19.140    0.099
  423.60     19.176    0.544   19.006    0.464
  425.44     19.242    0.312  -99.000  -99.000
  425.54     19.335    0.158   19.240    0.159
  426.45     19.213    0.340  -99.000  -99.000
  426.60     19.414    0.295   19.173    0.284
  427.60     19.508    0.255   19.270    0.204
  428.43     19.311    0.155  -99.000  -99.000
  430.54    -99.000  -99.000   19.156    0.149
  432.67    -99.000  -99.000   19.357    0.267
  436.44     19.456    0.093  -99.000  -99.000
  436.57     19.386    0.132   19.199    0.130
  437.42     19.306    0.096  -99.000  -99.000
  438.42     19.455    0.113  -99.000  -99.000
  438.60     19.253    0.139   19.118    0.119
  439.42     19.418    0.141  -99.000  -99.000
  441.52     19.481    0.071   19.220    0.069
  441.65     19.439    0.156   19.298    0.133
  442.49     19.524    0.065   19.341    0.067
  442.64     19.508    0.105   19.332    0.102
  444.41     19.492    0.187  -99.000  -99.000
  444.56     19.395    0.198   19.207    0.150
  445.47     19.568    0.055   19.489    0.073
  446.41     19.500    0.164  -99.000  -99.000
  446.57     19.503    0.059   19.313    0.056
  450.46     19.480    0.193   19.464    0.240
  451.40     19.333    0.218  -99.000  -99.000
  451.55     19.580    0.401   19.280    0.349
  452.40     19.470    0.292  -99.000  -99.000
  452.66     19.562    0.696   19.233    0.483
  453.45     19.562    0.156   19.363    0.131
  453.60     19.445    0.274   19.191    0.194
  454.44     19.384    0.098   19.313    0.146
  455.65     19.676    0.558   19.395    0.379
  457.51     19.539    0.093   19.434    0.095
  459.48     19.960    1.007   19.344    0.437
  460.38     19.322    0.488  -99.000  -99.000
  460.52    -99.000  -99.000   18.866    0.486
  461.45    -99.000  -99.000   19.407    0.153
