5.4892.1971
Time(days)     V    Verr    R    Rerr
  200.67     18.108    0.132   17.772    0.102
  201.68     18.075    0.047   17.863    0.046
  202.70     18.228    0.037   17.952    0.033
  203.68     18.168    0.057   17.895    0.053
  205.64     18.334    0.119   18.048    0.100
  206.65     18.217    0.036   17.970    0.033
  208.65     18.148    0.060   17.879    0.054
  209.65     18.260    0.064   17.899    0.046
  210.77     18.210    0.037   17.924    0.033
  211.64     18.236    0.058   17.977    0.048
  212.72     18.302    0.075   17.972    0.063
  213.63     18.213    0.040   17.906    0.033
  218.63     18.287    0.076   17.983    0.068
  219.67     18.026    0.066   17.927    0.074
  220.63     18.201    0.087   17.960    0.075
  220.65     18.186    0.055   17.870    0.045
  226.77    -99.000  -99.000   17.950    0.050
  227.65     18.186    0.062   17.950    0.054
  230.78     18.256    0.087   18.021    0.079
  231.75     18.249    0.036   17.928    0.033
  233.80     18.176    0.029   17.889    0.028
  261.65     18.207    0.033   17.916    0.034
  262.61     18.244    0.027   17.934    0.023
  264.68     18.151    0.056   17.886    0.049
  265.74     18.201    0.032   17.915    0.027
  269.77     18.237    0.036   17.939    0.030
  271.74     18.132    0.051   17.896    0.046
  272.77     18.236    0.027   17.971    0.024
  273.77     18.227    0.035   17.920    0.031
  291.77     18.216    0.062   17.946    0.053
  292.61     18.368    0.090   17.982    0.074
  293.69     18.277    0.045   17.901    0.035
  294.53     18.259    0.026   17.943    0.024
  295.74     18.274    0.022   17.976    0.020
  296.54     18.253    0.032   18.037    0.033
  297.51     18.226    0.032   17.956    0.028
  300.74     18.255    0.025   17.930    0.022
  304.48     18.293    0.043   17.958    0.035
  305.52     18.284    0.029   17.994    0.025
  306.47     18.296    0.051   17.915    0.037
  307.46     18.288    0.074   17.914    0.053
  308.48     18.366    0.043   17.978    0.031
  308.65     18.251    0.027   17.970    0.025
  310.62     18.260    0.033   18.025    0.030
  314.68     18.251    0.066   17.962    0.057
  315.50     18.309    0.042   18.007    0.039
  316.52     18.327    0.036   17.982    0.031
  318.58     18.146    0.168  -99.000  -99.000
  324.63     18.223    0.061   17.994    0.056
  326.52     18.268    0.025   17.939    0.022
  341.67     18.235    0.070   17.960    0.064
  342.51     18.280    0.077   18.013    0.074
  343.51     18.328    0.051   17.992    0.046
  361.51     18.338    0.036   17.987    0.030
  361.67     18.345    0.078   18.075    0.074
  362.53     18.270    0.028   17.942    0.024
  364.52     18.367    0.024   18.005    0.022
  364.71     18.307    0.022   17.986    0.021
  365.50     18.294    0.035   17.965    0.028
  365.70     18.297    0.030   17.969    0.026
  366.52     18.302    0.037   17.984    0.031
  373.47     18.297    0.035   17.994    0.029
  373.71     18.359    0.051   18.009    0.038
  375.47     18.324    0.029   18.019    0.026
  375.69     18.329    0.048   18.037    0.039
  377.49     18.321    0.046   17.989    0.038
  377.67     18.308    0.051   18.000    0.042
  378.48     18.313    0.022   17.978    0.020
  378.67     18.342    0.043   18.024    0.038
  379.47     18.281    0.025   17.982    0.023
  380.57     18.286    0.035   17.997    0.033
  380.66     18.329    0.037   17.989    0.033
  383.48     18.318    0.023   18.012    0.022
  383.67     18.367    0.087   18.038    0.069
  384.49     18.323    0.078   17.949    0.064
  384.65     18.283    0.028   17.967    0.026
  387.65     18.316    0.026   18.021    0.023
  388.57     18.356    0.043   18.016    0.040
  391.67     18.319    0.068   17.976    0.054
  392.48     18.300    0.040   18.011    0.036
  392.60     18.290    0.034   17.978    0.031
  393.51     18.382    0.042   18.008    0.032
  393.63     18.355    0.035   18.007    0.029
  395.50     18.345    0.023   18.006    0.022
  395.63     18.316    0.024   18.020    0.023
  397.58     18.327    0.036   18.006    0.031
  398.51     18.304    0.031   18.014    0.028
  398.62     18.321    0.028   18.018    0.025
  401.47     18.470    0.111   18.140    0.077
  402.54     18.240    0.040   17.969    0.032
  406.48     18.335    0.031   17.997    0.026
  409.47     18.311    0.051   17.952    0.041
  409.60     18.274    0.099   18.048    0.102
  412.60     18.252    0.079   17.936    0.070
  413.68     18.310    0.049   18.006    0.039
  414.60     18.315    0.030   18.006    0.027
  417.55     18.298    0.030   17.995    0.028
  420.47     18.296    0.038   17.966    0.031
  420.57     18.312    0.035   17.994    0.032
  421.49     18.299    0.041   17.965    0.032
  421.64     18.255    0.101   18.017    0.090
  422.46     18.304    0.026   17.994    0.023
  422.56     18.321    0.033   17.994    0.028
  425.45     18.284    0.050   17.982    0.040
  425.55     18.374    0.044   18.014    0.035
  426.48     18.235    0.057   17.927    0.048
  426.61     18.300    0.049   17.992    0.045
  427.61     18.244    0.038   17.980    0.034
  428.45     18.256    0.046   18.003    0.039
  430.56    -99.000  -99.000   17.992    0.040
  432.69    -99.000  -99.000   17.962    0.079
  436.48     18.328    0.030   18.021    0.027
  437.43     18.332    0.028   17.994    0.025
  438.44     18.349    0.033   18.014    0.027
  438.62     18.378    0.079   17.977    0.047
  439.43     18.333    0.033   18.023    0.028
  441.53     18.303    0.030   17.995    0.026
  441.65     18.345    0.040   18.003    0.032
  442.51     18.072    0.019   17.955    0.021
  442.64     18.321    0.035   17.988    0.027
  444.42     18.354    0.037   18.015    0.031
  444.57     18.342    0.046   18.017    0.037
  445.49     18.330    0.029   18.009    0.026
  446.46     18.321    0.036   18.029    0.033
  446.58     18.281    0.029   17.992    0.024
  451.45     18.300    0.032   17.979    0.028
  452.46     18.340    0.035   18.039    0.033
  453.50     18.306    0.040   18.006    0.035
  453.61     18.321    0.056   18.036    0.044
  454.45     18.365    0.033   18.024    0.030
  457.53     18.462    0.051   18.065    0.033
  459.49    -99.000  -99.000   18.232    0.149
  459.54    -99.000  -99.000   17.876    0.105
  460.44    -99.000  -99.000   18.177    0.135
  461.47    -99.000  -99.000   18.003    0.046
  462.44     18.326    0.053   17.988    0.042
  464.56     18.391    0.053   18.005    0.038
  465.46     18.333    0.028   18.013    0.026
  466.46     18.239    0.029   17.747    0.055
  466.47     18.322    0.026   18.010    0.024
  469.51     18.310    0.047   18.015    0.041
  470.40     18.335    0.028   18.024    0.025
  471.41     18.346    0.024   17.984    0.020
  472.41     18.307    0.035   17.959    0.033
  473.41     18.362    0.023   18.026    0.021
  473.51     18.357    0.029   18.024    0.024
  474.41     18.342    0.029   18.039    0.027
  474.54     18.377    0.032   18.052    0.026
  475.41     18.367    0.024   18.027    0.022
  475.51     18.340    0.039   18.009    0.032
  476.40     18.317    0.030   18.024    0.029
  476.50     18.338    0.032   18.041    0.028
  477.39     18.399    0.049   18.046    0.046
  477.50     18.311    0.037   18.003    0.030
  478.41     18.346    0.026   18.017    0.024
  480.41     18.324    0.028   18.020    0.027
  481.56     18.335    0.035   18.038    0.029
  483.49     18.344    0.041   17.997    0.030
  484.42     18.432    0.074   18.120    0.060
  484.46     18.332    0.042   18.019    0.033
  484.56     18.366    0.054   18.041    0.037
  485.41     18.335    0.036   18.031    0.029
  486.47     18.324    0.102   18.093    0.090
  488.47     18.334    0.190   17.897    0.106
  489.41     18.343    0.041   18.042    0.034
  491.40     18.427    0.078   18.106    0.070
  491.42     18.383    0.056   17.978    0.041
  492.55     18.364    0.085   18.032    0.062
  494.41     18.335    0.037   18.065    0.035
  495.38     18.313    0.040   18.002    0.038
  497.39     18.359    0.036   18.051    0.033
  500.39     18.352    0.044   17.970    0.036
  501.39     18.322    0.037   18.018    0.035
  502.38     18.352    0.029   18.001    0.025
  503.39     18.344    0.026   18.039    0.024
  503.41     18.392    0.025   18.039    0.022
  504.39     18.337    0.031   18.018    0.028
  507.43     18.355    0.090   18.024    0.073
  509.51     18.377    0.121   18.037    0.090
  510.46     18.345    0.034   18.050    0.029
  511.39     18.283    0.030   18.016    0.028
  512.37     18.323    0.033   17.987    0.028
  517.80     18.278    0.063   18.011    0.059
  518.80     18.378    0.105   17.971    0.073
  520.38     18.372    0.068   18.038    0.054
  520.79     18.226    0.096   17.934    0.079
  521.38     18.317    0.031   18.023    0.029
  521.80     18.371    0.072   17.986    0.053
  523.37     18.230    0.066   17.963    0.063
  528.79    -99.000  -99.000   18.054    0.136
  529.37     18.340    0.042   18.001    0.035
  529.78     18.311    0.047   17.949    0.038
  530.38     18.351    0.033   18.000    0.027
  531.38     18.338    0.072   18.035    0.064
  532.41     18.416    0.079   18.059    0.063
  533.38     18.310    0.059   17.999    0.050
  538.79     18.221    0.065   17.938    0.055
  539.42     18.347    0.068   18.032    0.054
  539.76     18.200    0.088   17.959    0.086
  540.38     18.368    0.037   18.020    0.029
  541.38     18.317    0.046   17.975    0.035
  546.82     18.324    0.034   17.982    0.029
  548.77     18.474    0.192   18.039    0.125
  553.38     18.416    0.083   18.029    0.066
  555.77     18.311    0.070   17.999    0.060
  556.73     18.275    0.068   17.988    0.057
  557.38     18.355    0.054   18.037    0.049
  557.70     18.311    0.049   18.015    0.047
  558.68     18.249    0.077   17.920    0.060
  559.78     18.285    0.044   17.985    0.041
  560.69     18.143    0.092   17.849    0.078
  561.66     18.269    0.068   18.052    0.065
  563.68     18.315    0.064   17.973    0.074
  565.66     18.291    0.061   17.922    0.047
  566.67     18.333    0.046   18.011    0.041
  571.69     18.300    0.053   17.990    0.044
  572.64     18.322    0.059   17.969    0.045
  573.67     18.373    0.096   18.004    0.072
  576.70     18.382    0.053   18.075    0.042
  578.63    -99.000  -99.000   18.074    0.134
  580.65     18.335    0.075   18.089    0.055
  581.65     18.355    0.072   18.011    0.049
  585.64     18.269    0.101   17.891    0.070
  586.62     18.304    0.070   18.002    0.057
  587.64     18.348    0.100   18.012    0.078
  588.67     18.301    0.036   17.944    0.028
  589.78    -99.000  -99.000   17.985    0.145
  591.77     18.321    0.173   18.032    0.153
  592.67     18.337    0.050   17.995    0.042
  593.60     18.314    0.095   18.129    0.092
  594.61     18.362    0.028   18.011    0.022
  595.60     18.373    0.035   18.012    0.027
  596.61     18.333    0.083   18.030    0.072
  597.71     18.348    0.133   17.956    0.097
  598.59     18.357    0.088   17.998    0.062
  599.58     18.396    0.038   18.024    0.027
  600.58     18.412    0.074   18.067    0.051
  601.57     18.421    0.061   18.067    0.044
  602.79     18.395    0.061   18.038    0.048
  610.56     18.437    0.160   17.937    0.079
  629.51     18.402    0.044   18.085    0.037
  631.61     18.351    0.029   18.029    0.024
  632.53     18.299    0.051   18.040    0.044
  633.54     18.380    0.029   18.071    0.024
  634.55     18.412    0.041   18.052    0.058
  635.72     18.399    0.044   18.021    0.030
  637.52    -99.000  -99.000   17.959    0.043
  642.49     18.343    0.034   18.040    0.030
  644.59     18.331    0.041   18.027    0.043
  646.59     18.326    0.129   18.070    0.106
  647.55     18.347    0.086   17.966    0.061
  649.59     18.382    0.031   18.030    0.026
  650.47     18.358    0.048   18.008    0.038
  651.51     18.358    0.106   18.156    0.107
  653.75     18.359    0.023   18.026    0.020
  654.63     18.356    0.029   18.020    0.024
  656.76     18.407    0.097   18.004    0.079
  657.68     18.358    0.055   18.011    0.045
  659.52     18.364    0.031   18.039    0.026
  660.45     18.375    0.036   18.026    0.029
  662.67     18.244    0.077   17.981    0.063
  663.47     18.325    0.052   18.045    0.039
  664.54     18.356    0.083   18.006    0.052
  666.55     18.391    0.060   18.020    0.043
  668.48     18.369    0.065   18.047    0.050
  679.58     18.364    0.032   18.070    0.028
  680.44     18.394    0.040   18.031    0.032
  684.51     18.388    0.030   18.083    0.026
  686.48     18.436    0.025   18.077    0.021
  688.53     18.424    0.053   18.093    0.042
  688.74     18.461    0.058   18.048    0.047
  689.54     18.432    0.033   18.068    0.025
  689.73     18.377    0.032   18.032    0.027
  690.50     18.407    0.055   18.091    0.045
  691.48     18.437    0.083   18.060    0.054
  692.49     18.428    0.044   18.051    0.032
  694.49     18.414    0.027   18.068    0.022
  694.73     18.422    0.054   18.090    0.048
  695.62     18.413    0.089   18.053    0.065
  748.74     18.443    0.052   18.084    0.041
  749.48     18.445    0.028   18.085    0.023
  751.62     18.379    0.071   18.163    0.078
  751.64     18.460    0.042   18.097    0.033
  752.49     18.448    0.041   18.072    0.033
  753.51     18.450    0.037   18.080    0.029
  757.58    -99.000  -99.000   18.034    0.045
  758.55     18.469    0.062   18.078    0.038
  761.70     18.420    0.059   18.168    0.050
  763.49     18.453    0.041   18.119    0.033
  765.60     18.214    0.121  -99.000  -99.000
  765.61     18.471    0.060   18.063    0.043
  767.48     18.419    0.048   18.109    0.037
  769.75     18.330    0.074   18.000    0.058
  773.60     18.367    0.073   18.014    0.058
  775.46     18.454    0.022   18.154    0.022
  776.46     18.454    0.051   18.055    0.038
  776.77     18.443    0.067   18.101    0.053
  777.47     18.404    0.068   18.014    0.082
  781.66     18.402    0.030   18.095    0.026
  782.59     18.475    0.038   18.122    0.029
  786.58    -99.000  -99.000   18.090    0.041
  789.33     18.400    0.044   18.071    0.034
  790.45     18.448    0.044   18.079    0.038
  791.47     18.404    0.039   18.141    0.039
  792.45     18.462    0.026   18.086    0.021
  793.44     18.430    0.031   18.073    0.027
  794.45     18.480    0.040   18.129    0.033
  800.46     18.358    0.071   18.071    0.070
  802.59     18.395    0.036   18.070    0.030
  803.45     18.455    0.030   18.108    0.026
  805.44     18.404    0.041   18.086    0.036
  806.55     18.427    0.026   18.130    0.023
  809.47     18.445    0.063   18.081    0.048
  810.66    -99.000  -99.000   18.025    0.142
  811.55     18.434    0.044   18.123    0.034
  812.66     18.445    0.100   18.102    0.058
  813.50     18.477    0.063   18.127    0.042
  821.62     18.510    0.119   18.140    0.080
  822.62     18.485    0.044   18.132    0.033
  823.52     18.393    0.034   18.052    0.029
  824.59     18.433    0.038   18.125    0.030
  825.47     18.403    0.090   18.154    0.096
  826.52     18.381    0.063   18.042    0.049
  826.52     18.466    0.056   18.074    0.041
  827.49     18.430    0.034   18.112    0.029
  828.49     18.437    0.041   18.090    0.033
  829.53     18.391    0.060   18.066    0.050
  832.48     18.479    0.067   18.167    0.061
  833.61     18.433    0.064   18.125    0.048
  834.47     18.452    0.036   18.102    0.030
  835.43     18.467    0.024   18.146    0.022
  837.46     18.470    0.046   18.117    0.037
  838.48     18.412    0.032   18.094    0.026
  839.46     18.433    0.048   18.129    0.038
  840.51     18.447    0.044   18.140    0.032
  841.46     18.389    0.100   18.143    0.075
  842.47     18.445    0.043   18.127    0.030
  843.46     18.480    0.037   18.128    0.027
  846.57     18.354    0.105   18.178    0.093
  848.53     18.404    0.084   18.039    0.063
  849.52     18.456    0.056   18.136    0.046
  850.54     18.461    0.042   18.118    0.031
  854.46     18.507    0.035   18.187    0.030
  855.46     18.525    0.025   18.164    0.020
  856.40     18.437    0.028   18.098    0.024
  856.44     18.466    0.036   18.112    0.030
  858.51     18.471    0.036   18.128    0.033
  860.48     18.503    0.038   18.161    0.030
  861.38     18.488    0.027   18.138    0.023
  862.45     18.494    0.041   18.134    0.033
  863.44    -99.000  -99.000   18.153    0.159
  864.47     18.471    0.036   18.139    0.030
  865.46     18.469    0.055   18.154    0.043
  866.42     18.582    0.113   18.127    0.074
