6.6572.268
Time(days)     V    Verr    R    Rerr
  200.67     18.307    0.101   18.083    0.108
  201.68     18.305    0.053   17.970    0.083
  202.70     18.307    0.029   18.072    0.033
  203.69     18.266    0.039   17.966    0.044
  205.64     18.214    0.069   18.026    0.088
  206.66     18.310    0.022   18.062    0.026
  208.66     18.309    0.060   18.171    0.086
  209.66     18.259    0.051   18.017    0.059
  210.78     18.316    0.039   18.118    0.050
  211.64     18.255    0.033   18.096    0.044
  212.71     18.336    0.042   18.106    0.060
  213.63     18.265    0.026   18.070    0.031
  218.64     18.327    0.049   18.040    0.053
  219.67     18.294    0.061   18.050    0.066
  220.64     18.273    0.042   18.017    0.043
  227.66    -99.000  -99.000   18.038    0.051
  228.68     18.262    0.046   18.012    0.047
  230.78     18.349    0.071   18.107    0.081
  231.75     18.296    0.027   18.079    0.035
  232.72     18.256    0.018   18.027    0.021
  233.81     18.293    0.021   18.041    0.026
  261.65     18.252    0.021   17.997    0.027
  262.62     18.280    0.018   18.045    0.020
  264.69     18.264    0.038   17.992    0.043
  265.74     18.293    0.019   18.079    0.023
  269.78     18.222    0.025   17.982    0.030
  271.75     18.220    0.032   17.997    0.038
  272.77     18.219    0.014   18.040    0.018
  273.77     18.242    0.020   17.990    0.024
  291.77    -99.000  -99.000   17.992    0.053
  292.62     18.211    0.042   17.986    0.052
  293.72     17.921    0.025   17.885    0.036
  294.54     18.272    0.018   18.005    0.021
  295.74     18.245    0.015   18.028    0.017
  296.54     18.203    0.034   18.045    0.043
  297.53     18.256    0.017   18.033    0.019
  300.75    -99.000  -99.000   18.030    0.016
  304.49     18.273    0.028   18.029    0.032
  305.52     18.296    0.015   18.052    0.016
  306.47     18.236    0.027   17.983    0.029
  307.47     18.170    0.046   17.932    0.048
  308.48     18.252    0.024   18.045    0.025
  308.66     18.252    0.015   18.032    0.017
  310.62     18.238    0.022   18.007    0.021
  314.68     18.239    0.047   18.032    0.052
  315.51     18.301    0.038   18.099    0.048
  316.52     18.210    0.022   17.996    0.026
  324.63     18.232    0.040   17.983    0.049
  325.63     18.243    0.010   18.015    0.012
  326.52     18.267    0.020   18.002    0.019
  341.67     18.228    0.050   18.068    0.062
  342.52     18.231    0.053   17.960    0.052
  343.51     18.301    0.035   18.063    0.038
  361.51     18.238    0.019   18.028    0.023
  361.68     18.262    0.059   18.048    0.080
  362.53     18.267    0.015   17.997    0.016
  364.52     18.251    0.012   18.029    0.014
  364.72     18.287    0.013   18.017    0.016
  365.51     18.261    0.021   18.004    0.021
  365.70     18.330    0.022   18.102    0.027
  366.53     18.248    0.027   17.981    0.027
  373.48     18.277    0.022   18.038    0.022
  373.71     18.311    0.039   18.028    0.035
  375.48     18.317    0.014   18.041    0.019
  375.69     18.264    0.028   18.036    0.027
  377.49     18.316    0.032   18.050    0.035
  377.68     18.289    0.036   18.058    0.036
  378.48     18.275    0.016   18.019    0.018
  378.67     18.327    0.064   18.014    0.068
  379.48     18.256    0.014   18.039    0.017
  380.57     18.333    0.024   18.033    0.025
  380.67     18.279    0.067   18.170    0.096
  383.49     18.255    0.012   18.036    0.015
  383.67     18.260    0.028   18.040    0.032
  384.50     18.241    0.038   18.027    0.044
  384.66     18.263    0.016   18.073    0.020
  387.65     18.271    0.162  -99.000  -99.000
  387.70     18.333    0.052   18.098    0.055
  388.58     18.271    0.034   18.044    0.039
  391.68     18.285    0.051   18.013    0.056
  392.48     18.252    0.021   18.010    0.025
  392.61     18.269    0.015   18.010    0.019
  393.51     18.256    0.022   18.036    0.026
  393.21     18.290    0.022   18.066    0.027
  395.50     18.261    0.013   18.030    0.016
  395.64     18.309    0.014   18.071    0.017
  397.59     18.311    0.021   18.062    0.024
  398.51     18.300    0.018   18.041    0.020
  398.63     18.283    0.016   18.024    0.018
  401.48    -99.000  -99.000   18.084    0.052
  402.55     18.297    0.030   18.061    0.027
