13.5717.178
Time(days)     V    Verr    R    Rerr
  200.75     18.507    0.085   18.083    0.067
  201.72     18.450    0.070   18.113    0.060
  202.78     18.617    0.078  -99.000  -99.000
  203.74     18.539    0.028  -99.000  -99.000
  218.69     18.522    0.025   18.179    0.028
  219.71     18.562    0.067   18.172    0.055
  220.69     18.593    0.060   18.225    0.048
  226.82     18.662    0.075  -99.000  -99.000
  261.71     18.485    0.032   18.084    0.034
  262.68     18.493    0.028   18.136    0.030
  264.78     18.455    0.038   18.088    0.031
  265.78     18.460    0.024   18.142    0.020
  271.78     18.524    0.060   18.156    0.040
  285.54    -99.000  -99.000   18.184    0.027
  292.65     18.426    0.065   18.236    0.068
  293.76     18.518    0.035   18.092    0.028
  294.61     18.488    0.016   18.135    0.015
  296.60     18.457    0.034   18.114    0.034
  304.55     18.587    0.049   18.158    0.039
  305.59     18.425    0.027   18.145    0.025
  306.52     18.506    0.035   18.160    0.029
  308.54     18.534    0.027   18.196    0.020
  310.68     18.606    0.141   18.037    0.099
  314.74     18.465    0.086   18.205    0.087
  315.56     18.485    0.040   18.140    0.036
  315.59     18.529    0.037   18.151    0.033
  316.59     18.492    0.038   18.099    0.041
  318.64     18.444    0.033   18.073    0.031
  324.68     18.484    0.046   18.116    0.039
  326.58     18.478    0.022   18.107    0.020
  342.57     18.608    0.091   18.194    0.064
  343.56     18.590    0.080   18.173    0.062
  362.59     18.509    0.016   18.162    0.015
  364.59     18.538    0.020   18.182    0.021
  365.58     18.455    0.022   18.114    0.019
  366.58     18.528    0.023  -99.000  -99.000
  373.53     18.543    0.040   18.211    0.041
  375.53     18.508    0.028   18.146    0.021
  375.75     18.592    0.094  -99.000  -99.000
  377.55     18.518    0.064   18.000    0.059
  378.54     18.560    0.019   18.199    0.019
  378.73     18.725    0.083  -99.000  -99.000
  378.74     18.618    0.058  -99.000  -99.000
  383.54     18.511    0.014   18.148    0.013
  383.73     18.558    0.061  -99.000  -99.000
  384.58     18.547    0.023   18.190    0.021
  391.72     18.536    0.088  -99.000  -99.000
  392.53     18.570    0.022   18.208    0.020
  392.65     18.517    0.031  -99.000  -99.000
  393.56     18.558    0.027   18.205    0.022
  393.69     18.589    0.042  -99.000  -99.000
  395.56     18.858    0.020   18.249    0.016
  395.69     18.498    0.026  -99.000  -99.000
  397.63     18.531    0.027  -99.000  -99.000
  398.54     18.558    0.028   18.191    0.026
  398.67     18.532    0.034  -99.000  -99.000
  406.51     18.519    0.035   18.193    0.040
  409.52     18.582    0.042   18.139    0.034
  409.74     18.426    0.094  -99.000  -99.000
  413.75     18.529    0.051  -99.000  -99.000
