63.6643.393
Time(days)     V    Verr    R    Rerr
  378.62     19.432    0.057   19.045    0.061
  419.66     19.442    0.046   19.103    0.037
  436.61     19.392    0.117   18.988    0.094
  445.42     19.506    0.023   19.113    0.024
  472.49     19.533    0.039   19.122    0.035
  495.47     19.433    0.097   19.066    0.085
  501.47     19.443    0.084   19.184    0.093
  563.81     19.581    0.164   19.278    0.169
  573.76     19.403    0.105   19.027    0.093
  586.76     19.454    0.162   19.114    0.138
  593.76     19.485    0.057   19.171    0.060
  599.83     19.507    0.091  -99.000  -99.000
  633.65     19.628    0.045   19.179    0.035
  646.68     19.585    0.102   19.253    0.092
  659.68     19.543    0.035   19.099    0.028
  663.71     19.596    0.084   19.134    0.064
  686.68     19.538    0.033   19.160    0.032
  690.67     19.483    0.047   19.136    0.049
  690.68     19.531    0.049   19.156    0.050
  754.72     19.586    0.195   19.037    0.129
  767.64     19.896    0.081  -99.000  -99.000
  776.70     19.556    0.087  -99.000  -99.000
  803.58     19.632    0.045   19.239    0.037
  827.58     19.653    0.065   19.259    0.051
  911.82     19.556    0.062   19.202    0.060
  919.72     19.733    0.108   19.262    0.084
  929.74     19.583    0.086   19.178    0.079
  932.79     19.761    0.255   19.300    0.177
  946.80     19.617    0.049   19.234    0.048
  955.72     19.642    0.038   19.182    0.031
  963.75     19.257    0.157   19.085    0.134
  982.73    -99.000  -99.000   19.245    0.029
  996.74     19.465    0.121   19.149    0.110
 1012.72     19.590    0.097   19.165    0.079
 1026.61     19.709    0.050   19.247    0.044
 1047.65     19.554    0.116   19.263    0.096
 1047.66     19.800    0.149   19.367    0.101
 1076.59     19.771    0.053   19.349    0.045
 1094.55     19.808    0.029   19.329    0.025
 1106.60     19.802    0.051   19.369    0.044
 1117.62     19.719    0.052   19.279    0.041
 1120.54     19.854    0.236   19.331    0.147
 1123.74     19.758    0.037   19.350    0.034
 1129.57     19.802    0.037   19.442    0.037
 1165.53     19.721    0.126   19.184    0.085
 1174.64     19.809    0.106   19.304    0.067
 1185.59     19.745    0.111   19.237    0.075
 1206.54     19.655    0.044   19.261    0.036
 1306.64     19.236    0.280  -99.000  -99.000
 1314.65     19.787    0.275   19.376    0.190
 1314.68    -99.000  -99.000   19.259    0.191
 1316.83     19.693    0.112   19.165    0.066
 1320.61     19.540    0.114   19.141    0.082
 1324.64     19.703    0.059  -99.000  -99.000
 1330.76     19.722    0.034   19.360    0.030
 1349.69     19.777    0.077   19.358    0.055
 1359.67     19.752    0.030   19.340    0.026
 1364.70     19.701    0.042   19.317    0.032
 1380.71     19.588    0.089   19.202    0.081
 1455.71     19.689    0.075   19.325    0.078
 1485.70     19.494    0.047  -99.000  -99.000
 1505.73     19.520    0.077   19.032    0.058
 1563.50     19.502    0.131   19.057    0.110
 1593.51     19.527    0.115   19.114    0.099
 1605.45     19.490    0.047   19.107    0.033
 1679.81     19.565    0.080   19.224    0.078
 1726.75     19.541    0.042   19.169    0.035
 1727.59     19.388    0.099   19.035    0.068
 1746.66     19.552    0.024   19.185    0.021
 1754.65     19.555    0.027   19.191    0.023
 1772.70     19.520    0.039   19.147    0.042
 1778.74     19.538    0.089   19.230    0.094
 1788.70     19.559    0.043   19.176    0.036
 1805.61     19.555    0.031   19.191    0.030
 1814.63     19.565    0.055   19.139    0.047
 1822.64     19.557    0.063   19.170    0.046
 1822.73     19.546    0.084   19.203    0.056
 1838.61     19.597    0.023   19.190    0.022
 1847.60     19.579    0.091   19.200    0.074
 1859.52     19.612    0.032   19.193    0.029
 1871.68     19.498    0.042   19.166    0.039
 1874.50     19.540    0.058   19.117    0.047
 1884.64     19.539    0.052   19.219    0.045
 1895.53     19.577    0.040   19.143    0.030
 1898.53     19.571    0.046   19.155    0.039
 1902.56     19.688    0.085   19.165    0.055
 1906.54     19.646    0.123   19.217    0.067
 1909.47     19.610    0.089   19.246    0.060
 1911.61     19.164    0.179   18.997    0.175
 1916.60     19.550    0.050   19.222    0.045
 1919.55     19.440    0.091   19.095    0.071
 1925.45     19.570    0.052   19.123    0.042
 1929.54     19.445    0.127   19.128    0.071
 1931.57     19.559    0.126   19.140    0.074
 1940.42     19.593    0.077   19.160    0.051
 1943.48     19.566    0.047   19.181    0.043
 1949.50     19.616    0.070   19.189    0.061
 1954.45     19.549    0.095   19.120    0.079
 1978.42     19.675    0.049   19.221    0.042
 1984.80     19.663    0.086   19.241    0.066
 1991.79     19.476    0.102   19.132    0.094
 2024.77     19.612    0.094   19.180    0.071
 2029.67     19.530    0.108   19.209    0.073
 2035.73     19.806    0.077   19.324    0.062
 2038.71     19.739    0.161   19.193    0.112
 2046.78     19.675    0.041   19.296    0.036
 2051.67     19.560    0.108   19.280    0.099
 2056.80     19.790    0.117   19.277    0.066
 2058.73     19.651    0.088   19.218    0.058
 2064.38     19.789    0.043   19.289    0.039
 2066.66     19.732    0.039   19.314    0.031
 2077.72     19.749    0.039   19.389    0.035
 2081.64     19.902    0.108   19.364    0.064
 2094.65     19.756    0.043   19.319    0.034
 2096.59     19.700    0.079   19.321    0.057
 2097.72     19.796    0.044   19.322    0.035
 2099.58     19.771    0.061   19.366    0.046
 2101.74     19.706    0.084   19.220    0.063
 2106.76     19.775    0.049   19.361    0.044
 2108.65     19.820    0.137   19.377    0.093
 2109.75     19.712    0.115   19.331    0.090
 2111.58     19.559    0.085   19.299    0.066
 2112.62     19.321    0.265   19.044    0.176
 2113.71     19.751    0.229   19.321    0.139
 2115.64     19.764    0.175   19.241    0.109
 2120.70     19.758    0.040   19.387    0.034
 2122.66     19.839    0.048   19.376    0.035
 2136.68     19.748    0.040   19.364    0.037
 2144.74     19.752    0.093   19.343    0.079
 2147.57     19.788    0.042   19.332    0.035
 2151.67     19.665    0.039   19.289    0.034
 2153.60     19.738    0.065   19.410    0.061
 2161.54     19.790    0.040   19.369    0.035
 2170.52     19.765    0.124   19.464    0.117
 2173.63     19.782    0.066   19.371    0.053
 2179.54     19.778    0.036   19.393    0.032
 2181.59     19.742    0.043   19.355    0.040
 2185.55     19.769    0.059   19.308    0.052
 2189.56     19.803    0.049   19.428    0.044
 2195.69     19.732    0.052   19.312    0.051
 2206.53     19.801    0.068   19.361    0.045
 2213.65     19.680    0.061   19.281    0.054
