68.10972.36
Time(days)     V    Verr    R    Rerr
  383.58     16.538    0.004   16.247    0.003
  398.75     16.538    0.005   16.244    0.005
  419.69     16.538    0.004   16.247    0.004
  422.72     16.541    0.007   16.255    0.006
  463.59     16.539    0.009   16.261    0.009
  471.54     16.548    0.005   16.245    0.005
  502.53     16.535    0.004   16.243    0.004
  512.50     16.544    0.005   16.250    0.005
  542.76     16.539    0.008   16.254    0.007
  561.81     16.537    0.004   16.252    0.004
  566.83     16.535    0.005   16.252    0.004
  585.77     16.530    0.009   16.249    0.008
  593.67     16.553    0.013   16.283    0.012
  593.68     16.552    0.011   16.268    0.010
  599.74     16.532    0.004   16.250    0.004
  632.69     16.541    0.005   16.247    0.005
  637.64    -99.000  -99.000   16.239    0.004
  645.68     16.525    0.003   16.235    0.003
  650.67     16.506    0.004   16.234    0.003
  660.68     16.505    0.003   16.234    0.003
  668.65     16.519    0.006   16.232    0.005
  684.74     16.517    0.003   16.243    0.004
  690.61     16.522    0.004   16.241    0.003
  753.60     16.533    0.003   16.255    0.003
  763.69     16.546    0.005   16.263    0.005
  776.63     16.557    0.004  -99.000  -99.000
  782.76     16.560    0.005  -99.000  -99.000
  789.42     16.556    0.006  -99.000  -99.000
  801.64     16.573    0.008  -99.000  -99.000
  823.65     16.575    0.008   16.279    0.007
  837.57     16.569    0.005   16.268    0.004
  861.55     16.588    0.004   16.287    0.004
  891.47     16.601    0.006   16.304    0.005
  923.79     16.622    0.006   16.319    0.005
  930.77     16.621    0.007   16.322    0.006
  943.75     16.632    0.008   16.328    0.007
  950.75     16.617    0.005   16.328    0.005
  956.76     16.614    0.003   16.324    0.003
  969.70     16.620    0.006   16.329    0.005
  984.74     16.629    0.005   16.336    0.005
  994.69     16.626    0.012   16.333    0.010
 1007.73     16.628    0.003  -99.000  -99.000
 1017.72     16.630    0.003   16.344    0.003
 1042.68    -99.000  -99.000   16.344    0.004
 1058.62    -99.000  -99.000   16.339    0.003
 1076.51     16.639    0.004   16.356    0.004
 1093.71     16.642    0.003   16.345    0.003
 1105.69     16.633    0.003   16.339    0.003
 1117.54    -99.000  -99.000   16.350    0.004
 1119.60     16.633    0.003   16.336    0.003
 1123.67     16.644    0.003   16.349    0.003
 1126.75     16.643    0.004  -99.000  -99.000
 1129.49     16.643    0.004   16.349    0.004
 1132.69     16.645    0.004   16.346    0.004
 1164.67     16.647    0.004   16.349    0.004
 1177.47     16.649    0.006   16.346    0.007
 1185.52     16.649    0.004   16.350    0.004
 1206.49     16.658    0.003   16.361    0.004
 1304.78     16.676    0.007   16.379    0.007
 1313.82     16.667    0.004   16.380    0.004
 1316.75     16.687    0.008   16.390    0.006
 1319.79     16.683    0.005   16.383    0.004
 1323.73     16.677    0.008   16.388    0.008
 1330.68     16.682    0.005   16.389    0.004
 1334.80     16.673    0.004   16.377    0.003
 1338.80     16.675    0.004   16.393    0.004
 1343.76     16.679    0.006   16.394    0.005
 1347.75     16.688    0.006   16.389    0.004
 1359.60     16.678    0.004   16.393    0.004
 1364.63     16.696    0.004   16.410    0.003
 1374.71     16.715    0.012   16.405    0.008
 1390.62     16.688    0.004   16.395    0.004
 1422.66     16.714    0.005   16.430    0.005
 1425.56     16.712    0.003   16.419    0.003
 1440.72     16.704    0.005   16.420    0.005
 1443.60     16.715    0.003   16.424    0.003
 1482.67     16.736    0.004   16.426    0.004
 1503.70     16.724    0.004   16.430    0.004
 1509.78     16.744    0.011   16.440    0.009
 1550.56     16.732    0.007   16.432    0.006
 1577.53     16.707    0.008   16.411    0.007
 1601.51     16.725    0.005   16.419    0.005
 1622.45     16.712    0.006   16.415    0.006
 1655.75     16.690    0.006   16.400    0.005
 1687.74     16.671    0.005   16.384    0.005
 1745.62     16.660    0.004   16.388    0.004
 1751.63     16.673    0.005   16.390    0.005
 1753.61     16.662    0.004   16.389    0.004
 1765.75     16.644    0.004   16.367    0.004
 1776.62     16.664    0.006   16.382    0.005
 1787.63     16.655    0.005   16.382    0.004
 1802.58     16.641    0.003   16.363    0.003
 1809.65     16.635    0.003   16.357    0.003
 1817.74     16.632    0.007   16.363    0.009
 1832.70     16.625    0.004   16.338    0.004
 1845.64     16.604    0.004   16.334    0.004
 1857.60     16.592    0.005   16.319    0.005
 1862.65     16.583    0.004   16.309    0.004
 1869.69     16.574    0.003  -99.000  -99.000
 1871.70     16.586    0.007   16.313    0.007
 1874.52     16.579    0.004   16.305    0.004
 1875.77     16.578    0.005   16.300    0.005
