11.8988.1350
Time(days)     V    Verr    R    Rerr
  200.71     19.771    0.336   19.352    0.257
  201.71     19.332    0.258  -99.000  -99.000
  202.77     19.764    0.209   19.439    0.209
  203.73     19.824    0.159   19.340    0.119
  205.69     20.197    0.323   19.618    0.229
  206.70     19.920    0.138   19.685    0.162
  208.68     19.829    0.323   19.465    0.285
  209.68     19.627    0.274   19.514    0.347
  210.80     19.825    0.295   19.234    0.200
  211.67     19.685    0.134   19.698    0.206
  212.61     19.538    0.244   19.347    0.295
  212.75    -99.000  -99.000   19.508    0.313
  213.66     19.818    0.151   19.399    0.138
  218.68    -99.000  -99.000   19.403    0.110
  219.70    -99.000  -99.000   19.755    0.260
  220.67     20.317    0.385   19.524    0.173
  230.81     19.793    0.158   19.808    0.240
  231.78     19.874    0.185   19.448    0.170
  232.76     19.574    0.092   19.329    0.109
  233.66     19.870    0.129   19.444    0.109
  261.65     19.828    0.113   19.251    0.082
  262.61     19.775    0.079   19.462    0.074
  264.68     19.784    0.206   19.394    0.166
  265.73     19.808    0.084   19.529    0.077
  269.77     19.758    0.099   19.388    0.088
  271.74     19.723    0.219   19.151    0.133
  272.76     19.859    0.090   19.407    0.068
  273.77     19.726    0.084   19.403    0.077
  291.76     19.792    0.195   19.322    0.149
  292.61     20.058    0.398   19.297    0.196
  293.69     19.870    0.144   19.363    0.103
  294.53     19.825    0.084   19.413    0.075
  295.73     20.024    0.064   19.639    0.053
  296.53     20.161    0.129   19.599    0.088
  297.50     19.918    0.159   19.560    0.137
  300.73     19.771    0.079   19.460    0.077
  304.48     19.715    0.116   19.395    0.106
  305.51     19.714    0.071   19.419    0.068
  306.46     19.939    0.169   19.558    0.134
  306.55     19.801    0.133   19.492    0.114
  306.63     19.834    0.091   19.456    0.077
  306.70     19.540    0.075   19.186    0.071
  307.46     19.788    0.260   19.547    0.252
  308.47     19.928    0.172   19.347    0.096
  308.65     19.650    0.072   19.481    0.080
  310.61     19.978    0.124   19.660    0.102
  314.67     19.961    0.363   19.117    0.145
  315.50     19.706    0.123   19.373    0.117
  316.51     19.525    0.085   19.265    0.092
  318.57     19.646    0.346  -99.000  -99.000
  324.62     19.624    0.178   19.093    0.123
  326.51     19.602    0.056   19.393    0.064
  341.66     19.560    0.217   19.225    0.188
  342.50     19.575    0.227   19.159    0.182
  343.50     19.757    0.167   19.345    0.137
  351.59     19.818    0.210   19.433    0.202
  361.50     19.765    0.124   19.301    0.093
  361.67    -99.000  -99.000   19.107    0.157
  362.52     19.753    0.078   19.445    0.073
  364.51     19.859    0.071   19.481    0.065
  364.70     19.819    0.075   19.525    0.083
  365.50     19.860    0.128   19.436    0.093
  365.69     19.886    0.109   19.356    0.076
  366.52     19.800    0.116   19.386    0.087
  373.47     19.787    0.109   19.427    0.084
  373.73     19.543    0.150   19.340    0.139
  375.47     19.786    0.078   19.446    0.070
  375.66     19.730    0.129   19.435    0.098
  377.48     19.678    0.132   19.200    0.095
  377.67     19.464    0.166   19.536    0.231
  378.47     19.797    0.051   19.479    0.057
  378.66     19.758    0.116   19.280    0.085
  379.47     19.815    0.058  -99.000  -99.000
  380.57     19.795    0.095   19.311    0.075
  380.66     19.728    0.116   19.455    0.119
  381.46    -99.000  -99.000   19.051    0.364
  383.48     19.834    0.055   19.493    0.056
  383.66    -99.000  -99.000   18.990    0.194
  384.49     19.804    0.115   19.425    0.099
  384.65     19.841    0.088   19.567    0.089
  387.57    -99.000  -99.000   19.384    0.044
  387.64     19.808    0.083  -99.000  -99.000
