208.15799.1085
Time(days)     V    Verr    R    Rerr
  232.61     19.453    0.056   19.178    0.055
  533.70     19.429    0.212   18.673    0.108
  538.71     19.385    0.103   19.047    0.096
  539.65     19.409    0.128   19.037    0.113
  540.65     19.418    0.063   19.072    0.065
  541.65     19.422    0.075   19.077    0.076
  542.62     19.473    0.133   19.073    0.112
  543.61     19.519    0.102   19.156    0.094
  546.60     19.549    0.152   19.125    0.109
  555.59     19.440    0.112   19.061    0.105
  557.57     19.422    0.074   19.230    0.102
  558.63     19.465    0.156   19.064    0.129
  560.58     19.513    0.230   19.135    0.188
  561.60     19.445    0.065   19.142    0.070
  562.66     19.401    0.059   19.128    0.065
  563.56     19.438    0.102   19.156    0.109
  565.58     19.401    0.102   19.151    0.115
  566.61     19.475    0.072   19.131    0.071
  571.55     19.393    0.107   19.160    0.114
  572.55     19.400    0.067   19.262    0.078
  573.55     19.545    0.090   19.134    0.068
  576.55    -99.000  -99.000   20.321    1.551
  576.59     19.246    0.130   19.116    0.123
  580.57     19.627    0.170   19.097    0.102
  581.57     19.487    0.077   19.238    0.077
  581.57     19.529    0.077   19.205    0.071
  582.51     19.450    0.099   19.138    0.092
  585.55     19.401    0.078   19.068    0.074
  586.54     19.419    0.107   19.041    0.091
  587.55     19.524    0.200   19.344    0.250
  588.57     19.497    0.062   19.138    0.059
  592.52     19.259    0.120   19.011    0.121
  593.52     19.481    0.156   19.080    0.124
  594.48     19.272    0.099   19.022    0.101
  595.49     19.491    0.187   19.296    0.196
  596.53     19.322    0.078   19.092    0.083
  599.49     19.438    0.063   19.137    0.062
  600.50     19.409    0.070   19.169    0.065
  601.51     19.499    0.085   19.182    0.070
  604.50     19.464    0.140   19.163    0.111
  610.48     19.194    0.131   18.764    0.096
  632.44    -99.000  -99.000   19.198    0.112
  633.47     19.420    0.060   19.135    0.053
  637.45    -99.000  -99.000   19.114    0.080
  642.43     19.356    0.082   19.139    0.096
  643.46     19.449    0.071   19.139    0.070
  644.51     19.480    0.050   19.223    0.057
  645.46     19.462    0.063   19.224    0.072
  664.46     19.464    0.051   19.235    0.053
  666.49     19.273    0.198   18.902    0.160
  668.41     19.381    0.074   19.172    0.078
  679.48     19.374    0.046   19.150    0.063
  684.42     19.397    0.046   19.153    0.045
  686.53     19.421    0.051   19.198    0.058
  688.48     19.318    0.130   19.008    0.131
  689.43     19.401    0.037   19.207    0.045
  690.43     19.412    0.097   19.196    0.106
  692.43     19.285    0.086   19.096    0.104
  694.43     19.329    0.054   19.066    0.052
  749.59     19.313    0.072   19.140    0.084
  752.61     19.290    0.116   18.911    0.081
  753.64     19.422    0.155   19.105    0.101
  754.62     19.131    0.251   18.786    0.138
  761.63     19.413    0.150   19.022    0.115
  763.60     19.575    0.151   19.234    0.116
  767.57     19.368    0.099   19.090    0.089
  775.56     19.486    0.062   19.181    0.054
  776.55     19.433    0.117   19.075    0.102
  781.57     19.387    0.283   18.913    0.173
  782.55     19.311    0.116   19.047    0.087
  783.59    -99.000  -99.000   18.857    0.167
  788.61     19.138    0.269   19.110    0.295
  788.61     19.213    0.264   19.245    0.317
  789.28     19.574    0.191   19.153    0.131
  791.59     19.203    0.211   18.916    0.142
  792.54     19.408    0.131   18.941    0.087
  793.53     19.363    0.155   19.028    0.127
  800.52     19.354    0.143   19.004    0.119
  801.50    -99.000  -99.000   18.184    0.368
  803.49     19.516    0.101   19.072    0.077
  806.49     19.457    0.084   19.122    0.074
  810.48    -99.000  -99.000   19.149    0.258
  811.48     19.376    0.162   19.051    0.114
  813.47     19.657    0.244   19.243    0.155
  819.53     17.524    0.297  -99.000  -99.000
  823.47     19.461    0.085   19.158    0.074
  824.80     19.525    0.168   19.283    0.202
  825.44     19.269    0.396   19.279    0.535
  826.44     19.435    0.110   19.088    0.087
  827.43     19.440    0.066   19.224    0.066
  828.43     19.371    0.078   19.095    0.069
  829.42     19.389    0.132   19.041    0.115
  829.80     19.391    0.131   19.216    0.169
  833.78     19.423    0.081   19.138    0.087
  834.41     19.441    0.076   19.200    0.076
  835.47     19.462    0.087   19.109    0.073
  836.79     19.447    0.073   19.186    0.085
  837.41     19.352    0.137   19.077    0.114
  838.41     19.453    0.165   19.022    0.105
  839.39     19.264    0.136   18.888    0.092
  840.39     19.314    0.179   19.058    0.136
  841.39     19.326    0.120   19.130    0.118
  843.40     19.478    0.121   19.171    0.094
  845.79     19.554    0.169   19.169    0.128
  846.79     19.477    0.123   19.112    0.092
  847.43    -99.000  -99.000   19.387    0.656
  847.82     19.319    0.166   19.056    0.162
  848.40     19.486    0.100   19.140    0.086
  849.45     19.479    0.132   19.123    0.108
  850.43     19.710    0.356   19.379    0.263
  853.81     19.504    0.033   19.236    0.038
  854.38     19.483    0.068   19.239    0.062
  855.39     19.533    0.069   19.244    0.058
  860.42     19.645    0.180   19.025    0.099
  861.79     19.487    0.034   19.217    0.039
  862.37     19.339    0.115   19.191    0.137
  863.79     19.529    0.139   19.221    0.138
  864.38     19.465    0.154   19.022    0.113
  865.38     19.571    0.169   19.063    0.104
  868.76     19.569    0.118   19.047    0.086
  869.38     19.222    0.257   19.083    0.250
  869.38     19.465    0.285   19.123    0.215
  870.73     19.349    0.287  -99.000  -99.000
  871.76     19.311    0.126   18.943    0.120
  873.36    -99.000  -99.000   19.093    0.428
  875.77     18.975    0.269   19.195    0.451
  877.75     19.661    0.129   19.228    0.097
  881.73     19.697    0.218   19.403    0.204
  888.72     19.496    0.122   19.116    0.110
  889.72     19.527    0.075   19.236    0.078
  890.71     19.494    0.092   19.143    0.084
  893.80     19.477    0.081   19.269    0.096
  894.68     19.533    0.097   19.183    0.094
  895.70     19.395    0.058   19.165    0.074
  896.79     19.474    0.101   19.189    0.108
  897.69     19.344    0.197   19.059    0.222
  899.70     19.464    0.055   19.197    0.060
  902.73     19.500    0.127   19.162    0.093
  903.66    -99.000  -99.000   19.126    0.096
  907.64     19.532    0.139   19.322    0.138
  908.69     19.450    0.062   19.175    0.059
  909.68     19.487    0.132   19.094    0.110
  910.64     19.307    0.068   19.088    0.074
  913.64     19.539    0.096   19.299    0.108
  914.64     19.656    0.205   19.626    0.338
  915.65     19.471    0.079   19.222    0.086
  916.66     19.532    0.044   19.334    0.053
  917.66     19.576    0.070   19.684    0.114
  918.74     19.533    0.049   19.248    0.051
  919.62     19.562    0.046   19.388    0.055
  920.75     19.596    0.101   19.116    0.082
  922.62     19.478    0.060   19.266    0.066
  923.62     19.455    0.064   19.243    0.070
  924.58     19.480    0.079   19.195    0.076
  925.63     19.543    0.247   19.403    0.260
  925.64     19.241    0.125   18.930    0.109
  926.60     19.274    0.092   19.198    0.127
  927.64     19.431    0.040   19.230    0.043
  929.61     19.595    0.078   19.246    0.061
  930.59     19.917    0.361   19.104    0.122
  931.54    -99.000  -99.000   19.287    0.347
  931.55     19.849    0.450   19.179    0.173
  932.61    -99.000  -99.000   19.552    0.287
  934.71    -99.000  -99.000   19.102    0.087
  935.59     19.370    0.106   19.102    0.100
  936.56     19.436    0.070   19.112    0.066
  938.59     19.591    0.096   19.306    0.094
  939.59     19.437    0.036   19.167    0.039
  944.58     19.469    0.053   19.162    0.051
  945.58     19.434    0.045   19.164    0.046
  946.54     18.945    0.193   18.865    0.251
  946.57     19.458    0.049   19.166    0.051
  948.55     19.487    0.050   19.223    0.056
  949.55     19.454    0.048   19.205    0.056
  950.54     19.421    0.059   19.095    0.057
  951.55     19.499    0.033   19.258    0.037
  954.52     19.604    0.102   19.152    0.080
  955.53     19.492    0.070   19.189    0.067
  956.53     19.530    0.070   19.159    0.056
  957.47     19.507    0.090   19.340    0.097
  958.52    -99.000  -99.000   19.325    0.058
  959.49    -99.000  -99.000   19.296    0.086
  964.55     19.552    0.178   19.184    0.104
  965.52     19.516    0.065   19.243    0.063
  966.53     19.658    0.068   19.288    0.048
  967.51     19.495    0.036   19.207    0.038
  968.56     19.431    0.058   19.157    0.064
  969.53     19.447    0.046   19.274    0.055
  972.52     19.532    0.044   19.250    0.045
  973.53     19.500    0.040   19.229    0.042
  974.63     19.522    0.031   19.259    0.034
  975.58     19.380    0.117   19.080    0.110
  976.59     19.346    0.130   19.139    0.133
  979.55     19.496    0.042   19.179    0.039
  980.50     19.458    0.060   19.211    0.062
  981.57     19.512    0.039   19.231    0.038
  982.55     19.556    0.026   19.282    0.026
  983.57     19.513    0.036   19.216    0.036
  984.44     19.482    0.088   19.125    0.078
  987.55     19.406    0.115   19.116    0.095
  988.55     19.614    0.155   19.098    0.093
  989.56    -99.000  -99.000   19.155    0.083
  993.54     19.502    0.069   19.198    0.067
  994.53     19.490    0.115   19.151    0.099
  995.53     19.507    0.088   19.145    0.077
  997.53     19.555    0.045   19.248    0.044
 1000.56     19.508    0.053   19.202    0.053
 1001.62     19.659    0.071   19.659    0.125
 1002.54     19.525    0.054   19.187    0.050
 1004.54     19.566    0.077   19.250    0.078
 1005.54     19.485    0.060   19.252    0.069
 1006.60     19.457    0.142   19.105    0.128
 1007.53     19.534    0.028   19.330    0.032
 1010.64     19.569    0.091   19.167    0.077
 1011.63     19.540    0.029   19.255    0.034
 1012.52     19.468    0.045   19.204    0.048
 1012.53     19.500    0.047   19.208    0.047
 1013.50     19.526    0.093   19.304    0.094
 1015.51     19.421    0.068   19.182    0.064
 1016.50     19.496    0.046   19.343    0.052
 1017.54     19.538    0.065   19.301    0.071
 1018.62     19.458    0.048   19.313    0.055
 1022.54    -99.000  -99.000   19.175    0.108
 1023.43     19.467    0.055   19.237    0.062
 1024.44     19.493    0.077   19.209    0.078
 1025.43     19.470    0.038   19.259    0.044
 1026.43     19.528    0.036   19.263    0.039
 1027.47     19.488    0.040   19.255    0.047
 1028.54     19.557    0.096   19.357    0.113
 1030.47     19.439    0.086   19.232    0.104
 1031.46     19.531    0.088   19.167    0.079
 1043.44     19.452    0.076   19.146    0.076
 1053.44     19.530    0.047   19.278    0.051
 1058.44     19.547    0.043   19.293    0.049
 1064.44     19.509    0.065   19.241    0.069
 1065.44     19.534    0.047   19.343    0.059
 1066.70     19.647    0.095   19.294    0.092
 1067.44     19.605    0.051   19.335    0.057
 1068.44     19.545    0.047   19.235    0.045
 1069.45     19.399    0.076   19.072    0.075
 1070.46     19.559    0.037   19.274    0.043
 1072.48     19.522    0.100   19.234    0.102
 1073.46     19.531    0.057   19.322    0.067
 1073.49     19.540    0.053   19.260    0.055
 1074.45     19.538    0.050   19.318    0.062
 1076.47     19.532    0.055   19.365    0.071
 1077.46     19.482    0.191   19.030    0.133
 1078.45    -99.000  -99.000   19.478    0.109
 1079.48    -99.000  -99.000   19.284    0.068
 1081.47    -99.000  -99.000   19.056    0.104
 1082.46     19.449    0.070   19.268    0.080
 1094.47     19.475    0.045   19.156    0.048
 1106.52     19.523    0.066   19.220    0.059
 1106.55     19.437    0.068   19.164    0.062
 1107.47     19.564    0.081   19.227    0.069
 1115.48    -99.000  -99.000   19.178    0.079
 1118.46    -99.000  -99.000   19.099    0.064
 1118.55    -99.000  -99.000   19.263    0.062
 1120.46    -99.000  -99.000   19.199    0.047
 1123.48    -99.000  -99.000   19.145    0.051
 1123.51    -99.000  -99.000   19.145    0.046
 1124.48    -99.000  -99.000   19.243    0.070
 1126.45    -99.000  -99.000   19.059    0.064
 1128.45     19.522    0.041   19.238    0.045
 1129.45     19.485    0.076   19.121    0.075
 1131.45     19.476    0.067   19.198    0.082
 1136.51     19.451    0.079   19.132    0.061
 1137.51    -99.000  -99.000   19.328    0.080
 1144.45     19.468    0.092   19.233    0.105
 1161.45     19.411    0.055   19.188    0.060
 1164.43     19.416    0.123   19.000    0.085
 1165.44     19.369    0.266  -99.000  -99.000
 1166.51    -99.000  -99.000   18.954    0.104
 1172.43     19.325    0.124   18.979    0.097
 1174.42     19.463    0.075   19.084    0.069
 1176.41     19.403    0.041   19.172    0.045
 1177.43     19.397    0.098   18.951    0.084
 1178.44     19.307    0.081   19.077    0.081
 1179.41     19.397    0.109   19.033    0.096
 1180.43     19.309    0.095   19.079    0.096
 1181.41     19.509    0.098   19.159    0.083
 1182.41     19.521    0.076   19.179    0.073
 1183.41     19.372    0.050   19.166    0.055
 1184.48     19.477    0.129   19.005    0.091
 1185.41     19.418    0.065   19.116    0.065
 1186.41     19.438    0.087   19.070    0.080
 1187.44     19.598    0.119   19.104    0.081
 1188.43     19.357    0.114   19.020    0.096
 1188.44     19.396    0.098   19.087    0.089
 1194.50     19.237    0.387  -99.000  -99.000
 1201.39     19.877    0.298  -99.000  -99.000
 1202.40    -99.000  -99.000   19.359    1.388
 1204.44     19.402    0.112   19.138    0.107
 1205.42     19.461    0.066   19.152    0.065
 1206.41     19.429    0.047   19.172    0.045
 1208.39     19.325    0.105   18.992    0.093
 1209.39     19.346    0.048   19.193    0.055
 1210.40     19.372    0.086   19.062    0.088
 1212.39     19.312    0.063   19.040    0.060
 1213.41     19.382    0.177   19.096    0.160
 1221.40     19.433    0.113   19.189    0.118
 1235.37     19.397    0.087   19.025    0.074
 1236.80     19.281    0.041   19.152    0.055
 1241.36     19.502    0.189   19.241    0.203
 1241.37     19.225    0.143   19.124    0.203
 1257.75    -99.000  -99.000   19.211    0.083
 1261.78     19.230    0.104   18.966    0.091
 1263.80     19.510    0.144   19.020    0.105
 1264.77     19.384    0.048   19.164    0.056
 1266.79     19.348    0.056   19.067    0.064
 1267.79     19.462    0.037   19.226    0.048
 1268.77     19.354    0.037   19.189    0.046
 1269.78     19.333    0.084   19.015    0.086
 1271.79     19.332    0.050   19.028    0.055
 1272.77     19.327    0.040   19.087    0.048
 1276.80     19.331    0.049   19.046    0.051
 1278.76     19.363    0.041   19.123    0.049
 1282.75     19.366    0.052   19.185    0.067
 1283.81     19.416    0.053   19.312    0.079
 1284.74     19.282    0.078   18.976    0.070
 1290.80     19.405    0.090   19.098    0.083
 1292.73     19.423    0.097   19.072    0.091
 1294.73     19.394    0.083   19.157    0.088
 1295.66     19.395    0.063   19.063    0.058
 1298.65     19.463    0.054   19.199    0.060
 1299.66     19.680    0.039   20.519    0.185
 1302.62     19.393    0.055   19.115    0.060
 1304.60     19.417    0.063   19.143    0.067
 1305.61     19.367    0.042   19.126    0.048
 1306.59     19.380    0.105   19.118    0.112
 1307.73     19.411    0.072   19.126    0.074
 1308.74     19.386    0.077   19.049    0.076
 1309.59     19.398    0.119   19.123    0.116
 1310.58     19.395    0.034   19.158    0.036
 1311.58     19.474    0.160   19.101    0.126
 1312.70     19.359    0.084   19.182    0.096
 1313.54     19.358    0.095   19.114    0.085
 1314.44    -99.000  -99.000   19.056    0.104
 1315.58    -99.000  -99.000   19.062    0.071
 1318.55    -99.000  -99.000   19.171    0.059
 1319.55     19.385    0.037   19.151    0.039
 1320.54     19.337    0.058   19.171    0.065
 1321.57     19.382    0.057   19.083    0.057
 1322.64     19.339    0.080   19.062    0.082
 1324.55     19.353    0.047   19.064    0.053
 1325.55     19.331    0.050   19.047    0.054
 1326.54     19.406    0.056   19.167    0.070
 1328.56     19.265    0.061   19.042    0.074
 1330.52     19.428    0.043   19.121    0.042
 1331.54     19.683    0.237   19.903    0.593
 1331.63     19.409    0.097   19.081    0.087
 1332.60     19.540    0.165   19.120    0.125
 1332.63     19.360    0.079   18.980    0.073
 1334.51     19.701    0.034   20.530    0.175
 1335.50     19.379    0.149   19.066    0.136
 1338.52     19.412    0.043   19.178    0.047
 1340.69     19.573    0.188   19.003    0.114
 1343.59     19.401    0.068   19.147    0.053
 1347.48     19.488    0.108   19.228    0.117
 1349.47     19.380    0.035   19.178    0.039
 1350.47     19.234    0.221   19.111    0.285
 1351.53     19.403    0.076   19.147    0.091
 1353.48     19.434    0.034   19.187    0.036
 1357.48     19.378    0.083   19.075    0.084
 1359.45     19.480    0.067   19.505    0.117
 1363.49    -99.000  -99.000   19.172    0.041
 1364.46     19.459    0.032   19.292    0.043
 1366.52     19.312    0.040   19.097    0.045
 1368.54     19.512    0.086   19.240    0.085
 1371.50     19.429    0.065   19.349    0.077
 1380.51     19.394    0.110   19.311    0.154
 1382.46     19.400    0.031   19.219    0.039
 1383.48     19.370    0.055   19.060    0.058
 1384.47     19.360    0.115   19.061    0.119
 1390.44     19.454    0.078   19.137    0.078
 1391.52    -99.000  -99.000   18.239    0.717
 1396.44     19.406    0.054   19.122    0.058
 1398.42     19.280    0.081   19.043    0.081
 1400.42     19.419    0.105   19.059    0.097
 1406.42     19.380    0.064   19.190    0.069
 1409.43     19.564    0.120   19.149    0.105
 1410.42     19.362    0.034   19.141    0.037
 1413.43     19.462    0.036   19.189    0.037
 1422.42     19.429    0.080   19.105    0.074
 1422.46     19.406    0.038   19.135    0.036
 1423.44     19.416    0.044   19.224    0.054
 1425.44     19.402    0.035   19.229    0.048
 1431.46     19.460    0.036  -99.000  -99.000
 1436.46     19.386    0.057   19.214    0.056
 1438.45     19.377    0.043   19.150    0.054
 1439.47     19.430    0.085   19.131    0.092
 1440.46     19.406    0.069   19.092    0.071
 1443.46     19.413    0.022   19.240    0.031
 1444.46     19.374    0.030   19.163    0.034
 1449.47     19.361    0.156   19.189    0.168
 1453.48     19.278    0.042   19.050    0.054
 1468.68    -99.000  -99.000   19.067    0.077
 1472.46     19.375    0.081   19.077    0.079
 1479.47     19.391    0.052   19.055    0.052
 1484.46     19.353    0.029   19.144    0.035
 1485.46     19.293    0.050   19.054    0.058
 1486.45     19.347    0.041   19.120    0.050
 1493.46    -99.000  -99.000   19.232    0.156
 1502.48     19.343    0.054   19.108    0.064
 1503.45     19.347    0.053   19.066    0.058
 1505.47     19.334    0.055   19.080    0.065
 1506.44     19.543    0.061   19.348    0.064
 1506.48     19.356    0.038   19.123    0.044
 1508.44     19.348    0.077   19.073    0.086
 1510.45     19.382    0.070   19.149    0.081
 1528.43     19.371    0.058   19.086    0.065
 1530.44     19.289    0.048   19.059    0.052
 1532.42     19.353    0.049   19.044    0.046
 1541.43     19.362    0.081   19.161    0.092
 1550.43    -99.000  -99.000   18.918    0.063
 1555.40     19.556    0.228  -99.000  -99.000
 1558.42     19.273    0.077   18.954    0.074
 1574.79     19.264    0.045   19.015    0.056
 1575.38     19.396    0.138   19.076    0.117
 1578.38    -99.000  -99.000   19.024    0.061
 1591.38     19.262    0.227   18.812    0.163
 1593.80     19.383    0.065   19.002    0.066
 1594.81     19.309    0.034   19.219    0.048
 1596.83     19.253    0.054   18.997    0.061
 1600.81     19.281    0.067   19.047    0.078
 1604.82     19.351    0.064   19.030    0.064
 1606.79     19.363    0.119   18.945    0.101
 1609.78     19.338    0.033   19.088    0.041
 1610.78     19.333    0.033   19.077    0.037
 1615.75    -99.000  -99.000   19.049    0.065
