22.4990.462
Time(days)     V    Verr    R    Rerr
  205.81     19.752    0.138   19.294    0.111
  208.76    -99.000  -99.000   19.484    0.126
  209.74     19.692    0.123   19.468    0.127
  211.78     19.587    0.052   19.227    0.046
  212.67     19.786    0.180   19.597    0.202
  218.76     19.767    0.101   19.494    0.105
  219.79     19.769    0.068   19.432    0.062
  220.75     19.635    0.098   19.455    0.105
  228.76     19.505    0.198   19.177    0.147
  231.68    -99.000  -99.000   19.191    0.061
  262.77     19.647    0.059   19.406    0.062
  285.67     19.597    0.066   19.293    0.051
  292.70     19.810    0.287   19.278    0.207
  294.65     19.772    0.047   19.384    0.040
  296.65     19.795    0.099   19.573    0.102
  304.59     19.654    0.071   19.283    0.063
  305.67     19.744    0.041   19.366    0.034
  306.57     19.602    0.079   19.288    0.067
  308.59     19.730    0.069   19.371    0.049
  315.64     19.836    0.120   19.508    0.101
  316.69     19.934    0.139   19.397    0.089
  318.70     19.690    0.086   19.319    0.073
  342.64     19.601    0.197   19.318    0.133
  343.63     19.732    0.226   19.271    0.134
  366.63     19.772    0.551  -99.000  -99.000
  373.59     19.582    0.113   19.366    0.104
  392.69     19.720    0.059   19.312    0.053
  414.52     19.664    0.036   19.321    0.034
  420.68     19.710    0.059   19.371    0.055
  421.73     19.576    0.194   19.302    0.187
  427.71     19.775    0.124   19.307    0.093
  445.59     19.951    0.078   19.330    0.067
  457.62     19.587    0.147   19.183    0.087
  472.52     19.743    0.104   19.254    0.080
  474.62     19.754    0.086   19.458    0.075
  485.50     19.615    0.329   19.307    0.246
  488.56    -99.000  -99.000   19.358    0.253
  501.53     19.550    0.161   19.124    0.127
  502.47     19.618    0.045   19.293    0.044
  511.49     19.653    0.099   19.289    0.081
  529.47     19.729    0.147   19.245    0.099
  540.44     19.524    0.084   19.186    0.068
  565.80     19.532    0.105   19.161    0.090
  578.77     19.275    0.153   19.100    0.120
  578.78     19.739    0.216   19.368    0.133
  587.76     19.538    0.114   19.146    0.089
  595.75     19.622    0.082   19.314    0.071
  610.66     19.104    0.457   18.975    0.386
  629.68     19.555    0.057   19.220    0.052
  633.74     19.519    0.039   19.202    0.033
  647.68     19.566    0.186   19.278    0.158
  660.55     19.488    0.048   19.163    0.036
  666.67     19.672    0.144   19.279    0.090
  684.61     19.553    0.034   19.242    0.028
  688.66     19.516    0.080   19.267    0.076
  692.67     19.527    0.395  -99.000  -99.000
  692.68     19.587    0.039   19.287    0.037
  749.74     19.384    0.064   19.381    0.091
  752.57     19.585    0.073   19.308    0.066
  755.71     19.337    0.271  -99.000  -99.000
  775.61     19.627    0.032   19.256    0.029
  792.62     19.643    0.075   19.240    0.062
  803.66     19.547    0.056   19.176    0.045
  827.62     19.644    0.088   19.290    0.065
  842.59    -99.000  -99.000   19.337    0.091
  855.58     19.635    0.071   19.198    0.048
  862.55     19.573    0.152   19.295    0.146
  865.55     19.575    0.172   19.344    0.166
  889.49     19.685    0.237   19.224    0.160
  890.49     19.826    0.151   19.422    0.099
  926.72     19.745    0.158   19.345    0.130
  931.70     19.219    0.171   18.895    0.122
  943.79     19.601    0.050   19.228    0.040
  950.79     19.643    0.059   19.272    0.049
  957.70     19.605    0.044   19.311    0.040
  969.73     19.741    0.119   19.305    0.089
  985.74     19.510    0.124   19.176    0.103
  994.73     19.593    0.376   19.238    0.261
 1010.71     19.780    0.053   19.371    0.038
 1043.62    -99.000  -99.000   19.395    0.040
 1058.65    -99.000  -99.000   19.410    0.038
 1067.67     19.854    0.036   19.476    0.031
 1068.67     19.847    0.054   19.493    0.048
 1069.68    -99.000  -99.000   19.494    0.034
 1073.66    -99.000  -99.000   19.484    0.048
 1074.68     19.841    0.035   19.434    0.029
 1080.48     19.815    0.158   19.443    0.119
 1081.62     19.899    0.207   19.504    0.154
 1083.69     19.296    0.160   19.021    0.154
 1093.53     19.867    0.063   19.499    0.050
 1100.72     19.992    0.103   19.525    0.079
 1105.56     19.851    0.052   19.516    0.046
 1107.65     19.980    0.081   19.498    0.063
 1115.72     19.834    0.229   19.351    0.135
 1118.72     19.903    0.102   19.402    0.071
 1123.56     19.990    0.056   19.561    0.050
 1124.73     20.051    0.159   19.608    0.122
 1126.57     19.917    0.052   19.548    0.049
 1128.64     19.751    0.119   19.457    0.117
 1132.50     19.967    0.050   19.509    0.039
 1137.55     19.893    0.087   19.522    0.071
 1142.68     19.787    0.232   19.596    0.171
 1144.75     20.374    0.460   19.663    0.178
 1161.61     20.063    0.173   19.675    0.145
 1164.55     19.876    0.107   19.625    0.109
 1166.56     20.133    0.145   19.695    0.096
 1167.58     20.007    0.176   19.705    0.122
 1172.58     19.853    0.117   19.539    0.088
 1176.60     19.920    0.331   19.583    0.279
 1177.68     19.869    0.541  -99.000  -99.000
 1179.51     19.873    0.104   19.480    0.093
 1182.51     19.858    0.075   19.558    0.076
 1185.66    -99.000  -99.000   19.715    0.307
 1187.65     20.098    0.155   19.556    0.086
 1195.52     19.907    0.111   19.588    0.073
 1204.51     20.007    0.079   19.586    0.067
 1209.44     19.994    0.054   19.544    0.048
 1220.51     20.046    0.130   19.591    0.100
 1236.51     19.588    0.475   19.400    0.489
 1250.38     20.010    0.099   19.637    0.100
 1265.35    -99.000  -99.000   19.118    0.524
 1266.45     20.173    0.302   19.858    0.258
 1295.75     19.889    0.433   19.289    0.235
 1299.70     20.123    0.157   19.617    0.101
 1309.73    -99.000  -99.000   19.663    0.280
 1310.81     19.976    0.062   19.658    0.055
 1313.60     20.042    0.221   19.748    0.171
 1315.72    -99.000  -99.000   19.761    0.275
 1318.81     20.255    0.211   19.580    0.078
 1320.80     20.126    0.118   19.645    0.064
 1323.61     19.906    0.177   19.534    0.142
 1325.60    -99.000  -99.000   19.729    0.266
 1328.73     20.121    0.190   19.746    0.149
 1331.81     19.791    0.352   19.608    0.350
 1334.68     20.066    0.062   19.675    0.045
 1338.68     20.027    0.088   19.597    0.066
 1342.72     19.976    0.162   19.647    0.139
 1347.63     20.118    0.220   19.681    0.108
 1349.78     20.026    0.087   19.553    0.052
 1357.68     20.111    0.309   19.756    0.243
 1358.72     19.937    0.118   19.724    0.112
 1363.70     20.152    0.162   19.662    0.094
 1366.62     20.030    0.082   19.539    0.054
 1371.65     19.878    0.199   19.488    0.119
 1373.69     19.912    0.119   19.547    0.070
 1374.77     20.289    0.365   19.643    0.153
 1375.76     20.000    0.209   19.722    0.147
 1380.73     20.051    0.109   19.647    0.088
 1383.69     20.079    0.068   19.661    0.051
 1390.66     20.074    0.087   19.645    0.069
 1398.46     19.961    0.165   19.679    0.141
 1398.50     20.018    0.136   19.633    0.097
 1415.50     19.937    0.074   19.552    0.057
 1422.70     19.983    0.076   19.600    0.069
 1424.51     19.883    0.185   19.579    0.164
 1434.64     20.288    0.336   19.491    0.129
 1438.67     20.123    0.172   19.841    0.146
 1440.66     19.705    0.110   19.645    0.125
 1448.62     19.999    0.063   19.549    0.047
 1449.67     19.899    0.099   19.473    0.076
 1453.59     19.977    0.050   19.544    0.040
 1465.63     20.072    0.125   19.510    0.067
 1466.63     19.941    0.131   19.626    0.093
 1469.72     19.953    0.134   19.521    0.086
 1479.59     19.895    0.267   19.444    0.235
 1484.70     19.930    0.043   19.579    0.044
 1485.72     19.998    0.064   19.517    0.052
 1486.74     20.598    0.090   19.738    0.045
 1495.65    -99.000  -99.000   19.416    0.198
 1500.65     19.938    0.132   19.638    0.111
 1502.63     19.935    0.108   19.564    0.110
 1503.74     19.908    0.096   19.523    0.079
 1508.67     19.946    0.070   19.527    0.061
 1531.56     19.856    0.039   19.457    0.036
 1536.68     19.873    0.140   19.461    0.121
 1550.51     19.837    0.151   19.414    0.091
 1570.43     19.845    0.078   19.429    0.073
 1574.41     19.979    0.569   19.485    0.437
 1574.46     19.952    0.114   19.413    0.073
 1577.56     19.604    0.163   19.304    0.126
 1578.58     19.702    0.336   19.776    0.460
 1590.46     20.198    0.149   19.650    0.115
 1594.47     20.153    0.091   19.475    0.051
 1595.53     19.776    0.059   19.445    0.051
 1597.39     19.751    0.066   19.450    0.073
 1601.43     19.745    0.048   19.188    0.033
