13.5962.237
Time(days)     V    Verr    R    Rerr
  200.75    -99.000  -99.000   17.945    0.070
  202.78    -99.000  -99.000   18.196    0.071
  203.74     18.601    0.196   18.127    0.039
  206.71     18.605    0.049   18.141    0.044
  208.70     18.556    0.075   18.140    0.068
  209.69     18.463    0.065   18.128    0.065
  218.69     18.694    0.049   18.207    0.043
  219.71     18.583    0.082   18.188    0.072
  220.69     18.724    0.084   18.252    0.064
  226.82     18.624    0.088  -99.000  -99.000
  228.72     18.626    0.070  -99.000  -99.000
  231.79     18.764    0.061   18.248    0.051
  232.77     18.594    0.044  -99.000  -99.000
  261.71     18.759    0.062   18.260    0.058
  262.68     18.662    0.051   18.187    0.048
  264.78     18.642    0.064   18.181    0.054
  265.78     18.639    0.045   18.182    0.040
  271.78     18.623    0.079   18.337    0.073
  285.54    -99.000  -99.000   18.202    0.041
  292.65     18.556    0.087   18.253    0.089
  293.76     18.565    0.050   18.241    0.052
  294.61     18.529    0.032   18.146    0.033
  296.60     18.567    0.050   18.168    0.049
  304.55     18.680    0.072   18.236    0.062
  305.59     18.726    0.055   18.272    0.047
  306.52     18.773    0.062   18.297    0.050
  308.54     18.702    0.049   18.268    0.040
  310.68     18.691    0.142   18.638    0.205
  314.74     18.896    0.158   18.305    0.100
  315.56     18.758    0.070   18.209    0.052
  315.59     18.746    0.060   18.383    0.058
  316.59     18.722    0.062   18.281    0.056
  318.64     18.687    0.056   18.308    0.055
  324.68     18.782    0.078   18.293    0.065
  326.58     18.814    0.051   18.320    0.044
  342.57     18.640    0.101   18.264    0.082
  343.56     18.699    0.100   18.313    0.085
  362.59     18.696    0.035   18.292    0.035
  364.59     18.731    0.040   18.301    0.041
  365.58     18.763    0.047   18.314    0.042
  366.58     18.694    0.043   18.284    0.040
  373.53     18.641    0.056   18.254    0.048
  375.53     18.708    0.049   18.299    0.041
  375.75     18.775    0.117   18.231    0.070
  377.55     18.744    0.091   18.269    0.069
  378.54     18.746    0.040   18.293    0.038
  378.73     18.850    0.107   18.424    0.086
  378.74     18.826    0.083   18.347    0.062
  383.54     18.720    0.033   18.276    0.031
  383.73     18.766    0.089   18.305    0.074
  384.58     18.797    0.046   18.329    0.041
  391.72     18.802    0.135   18.164    0.084
  392.53     18.765    0.045   18.307    0.041
  392.65     18.728    0.053   18.298    0.048
  393.56     18.832    0.056   18.358    0.045
  393.69     18.871    0.073   18.399    0.058
  395.56     18.744    0.034  -99.000  -99.000
  395.69     18.865    0.055   18.400    0.046
  397.63     18.923    0.059   18.396    0.045
  398.54     18.770    0.050   18.327    0.045
  398.67     18.848    0.064   18.408    0.055
