13.6805.324
Time(days)     V    Verr    R    Rerr
  200.75     18.788    0.118   18.654    0.102
  201.72     18.800    0.116  -99.000  -99.000
  202.78     18.748    0.087   18.544    0.071
  203.74    -99.000  -99.000   18.616    0.037
  206.71    -99.000  -99.000   18.543    0.042
  208.70     18.725    0.077   18.509    0.066
  209.69     18.832    0.083   18.579    0.066
  211.69     18.798    0.045   18.470    0.033
  212.62     19.115    0.171   18.751    0.114
  212.76     18.858    0.069   18.573    0.059
  218.69     18.818    0.051   18.537    0.034
  219.71     19.118    0.153   18.666    0.079
  220.69     18.832    0.088   18.544    0.060
  226.82     18.781    0.097  -99.000  -99.000
  228.72     18.747    0.078  -99.000  -99.000
  231.79     18.793    0.054   18.529    0.045
  232.77     18.959    0.055  -99.000  -99.000
  261.71     18.796    0.048   18.555    0.041
  262.68     18.856    0.050   18.550    0.034
  264.78     18.865    0.063   18.576    0.046
  265.78     18.905    0.047   18.572    0.028
  271.78     18.872    0.091   18.519    0.051
  285.53     18.813    0.051  -99.000  -99.000
  285.54     18.802    0.063  -99.000  -99.000
  292.65     18.702    0.089   18.536    0.074
  293.76     18.837    0.050   18.560    0.038
  294.61     18.824    0.027   18.549    0.020
  296.60     18.879    0.063   18.562    0.045
  304.55     18.913    0.077   18.620    0.055
  305.59     18.809    0.047   18.524    0.033
  306.52     18.742    0.051   18.523    0.038
  308.54     18.780    0.041   18.496    0.027
  310.68     18.552    0.133   18.511    0.150
  312.68     18.778    0.107  -99.000  -99.000
  314.74     18.866    0.141   18.559    0.098
  315.56     18.802    0.072   18.463    0.043
  315.59     18.790    0.056   18.526    0.043
  316.59     18.735    0.055   18.443    0.040
  318.64     18.742    0.049   18.489    0.040
  324.68     18.781    0.061   18.507    0.047
  326.58     18.829    0.035   18.544    0.026
  342.57     18.925    0.115   18.530    0.082
  343.56     18.839    0.098   18.439    0.072
  362.59     18.796    0.019   18.496    0.019
  364.59     18.780    0.024   18.482    0.022
  365.58     18.800    0.028   18.497    0.025
  366.58     18.732    0.025   18.476    0.025
  373.53     18.762    0.045   18.502    0.038
  375.53     18.779    0.032   18.500    0.026
  375.75     18.720    0.083   18.513    0.077
  377.55     18.801    0.072   18.512    0.064
  378.54     18.802    0.022   18.543    0.024
  378.73     19.045    0.098   18.770    0.101
  378.74     18.747    0.053   18.503    0.055
  383.54     18.799    0.016   18.533    0.016
  383.73     18.832    0.065   18.476    0.061
  384.58     18.813    0.027   18.555    0.026
  391.72     18.766    0.080   18.501    0.074
  392.53     18.793    0.025   18.518    0.026
  392.65     18.834    0.035   18.546    0.035
  393.56     18.741    0.030   18.464    0.028
  393.69     18.832    0.046   18.572    0.045
  395.56     18.766    0.017   18.524    0.019
  395.69     18.815    0.029   18.552    0.032
  397.63     18.812    0.029   18.520    0.030
  398.54     18.798    0.031   18.552    0.032
  398.67     18.543    0.029   18.484    0.038
  402.65    -99.000  -99.000   18.456    0.074
  406.51     18.760    0.038   18.533    0.036
  409.52     18.804    0.048   18.482    0.042
  409.74     18.925    0.146   18.442    0.115
  413.75     18.830    0.058   18.527    0.055
  414.50     18.832    0.018  -99.000  -99.000
  420.62     18.797    0.033   18.427    0.031
  421.69     18.847    0.098   18.548    0.090
  422.49     18.813    0.022   18.523    0.021
  422.63     18.764    0.031   18.460    0.033
  423.71     18.738    0.179   18.555    0.189
  425.62     18.540    0.033   18.435    0.044
  426.54     18.830    0.052   18.573    0.055
  426.69     18.731    0.065   18.480    0.064
  427.68     18.770    0.041   18.513    0.048
  430.61    -99.000  -99.000   18.507    0.052
  436.54     18.842    0.035   18.533    0.031
  437.51     18.851    0.028   18.573    0.028
  438.50     18.868    0.021   18.550    0.021
  439.49     18.842    0.029   18.580    0.032
  441.60     18.835    0.031   18.550    0.032
  441.67     18.866    0.034   18.525    0.029
  442.56     18.878    0.022   18.574    0.022
  442.66     18.916    0.045   18.591    0.033
  444.50     18.829    0.036   18.520    0.033
  445.55     18.850    0.021   18.577    0.021
  446.52     18.858    0.031   18.531    0.030
  446.64     18.920    0.197   18.577    0.042
  451.49     18.748    0.041   18.534    0.047
  452.42     18.833    0.046   18.534    0.044
  452.68     18.855    0.081   18.544    0.068
  453.55     18.793    0.045   18.489    0.040
  453.66     18.866    0.066   18.541    0.058
  454.51     19.008    0.116   18.805    0.130
  454.52     18.754    0.102   18.412    0.095
  457.58     18.907    0.053   18.559    0.037
  459.56    -99.000  -99.000   18.566    0.122
  460.48    -99.000  -99.000   18.666    0.120
  463.50     18.848    0.056   18.587    0.056
  465.55     18.873    0.056   18.591    0.065
  466.53     18.867    0.037   18.527    0.040
  471.47     18.935    0.025   18.589    0.021
  472.46     18.911    0.028   18.551    0.027
  473.46     18.920    0.028   18.595    0.028
  473.57     18.929    0.043   18.601    0.037
  474.47     18.871    0.030   18.624    0.030
  474.60     18.920    0.037   18.571    0.031
  475.46     18.894    0.027   18.573    0.027
  476.45     19.114    0.234   18.703    0.207
  476.55     18.931    0.049   18.666    0.046
  477.45     18.922    0.025   18.621    0.027
  477.55     18.825    0.050   18.526    0.045
  478.46     18.900    0.032   18.582    0.032
  480.46     18.905    0.026   18.575    0.026
  481.60     18.894    0.064   18.569    0.049
  483.54     18.887    0.037   18.591    0.033
  484.48     18.969    0.053   18.690    0.042
  485.46     18.873    0.058   18.548    0.044
  488.52    -99.000  -99.000   18.630    0.117
  489.47    -99.000  -99.000   18.644    0.054
  491.46     18.657    0.103   18.361    0.090
  494.49     18.848    0.056   18.558    0.054
  495.45     18.874    0.044   18.573    0.043
  497.44     18.876    0.048   18.622    0.054
  500.44     18.906    0.033   18.551    0.030
  501.44     18.886    0.042   18.550    0.042
  502.44     18.911    0.028   18.559    0.026
  503.45     18.917    0.024   18.566    0.022
  504.46     18.935    0.034   18.562    0.030
  507.52     18.929    0.072   18.603    0.064
  509.53     18.839    0.104   18.565    0.092
  510.52     19.030    0.100   18.589    0.067
  511.44     18.940    0.037   18.616    0.031
  512.43     18.948    0.042   18.626    0.036
  519.84     18.850    0.281  -99.000  -99.000
  520.43     18.828    0.083   18.477    0.064
  520.84     19.020    0.112   18.620    0.085
  521.43     18.996    0.233   18.716    0.192
  522.84     18.896    0.198   18.640    0.175
  523.42     19.047    0.136   18.549    0.098
  528.84     18.828    0.093   18.632    0.102
  529.42     18.958    0.054   18.574    0.043
  529.84     18.848    0.043   18.595    0.062
  530.44     18.951    0.032   18.629    0.026
  531.43     18.912    0.077   18.600    0.077
  532.84     18.939    0.076   18.526    0.074
  539.81     18.926    0.050   18.639    0.049
  540.42     18.917    0.043   18.623    0.037
  541.42     18.934    0.080   18.612    0.057
  548.82     19.072    0.152   18.874    0.135
  557.75     18.920    0.071   18.604    0.062
  558.80     18.902    0.037   18.625    0.028
  559.84     18.954    0.094   18.650    0.081
  560.74     18.981    0.131   18.540    0.094
  561.70     18.894    0.055   18.605    0.051
  563.72    -99.000  -99.000   18.808    0.240
  565.72     18.960    0.046   18.625    0.040
  566.72     18.922    0.046   18.617    0.043
  571.75     18.868    0.071   18.601    0.066
  573.74     18.874    0.055   18.549    0.044
  576.75     18.874    0.064   18.631    0.052
  578.68    -99.000  -99.000   18.554    0.213
  580.70     19.009    0.107   18.658    0.055
  585.69     18.893    0.111   18.546    0.073
  586.68     18.924    0.069   18.652    0.055
  587.69     18.957    0.099   18.651    0.079
  588.72     18.950    0.035   18.666    0.032
  592.72     19.164    0.133   18.608    0.078
  593.65     18.926    0.135   18.597    0.095
  594.67     18.990    0.036   18.663    0.028
  595.65     18.971    0.055   18.616    0.039
  597.77     18.896    0.058   18.618    0.047
  598.64     18.906    0.072   18.592    0.056
  599.65     18.992    0.059   18.660    0.041
  600.71     18.846    0.071   18.585    0.056
  601.64     18.955    0.048   18.662    0.038
  610.62     18.917    0.184   18.676    0.129
  631.72     18.970    0.036   18.634    0.029
  632.59     19.039    0.061   18.689    0.044
  633.62     18.965    0.034   18.636    0.024
  634.64     18.907    0.047   18.634    0.028
  637.59    -99.000  -99.000   18.647    0.056
  641.76     18.828    0.122   18.575    0.098
  642.63     19.016    0.059   18.697    0.047
  643.64     18.915    0.041   18.649    0.035
  644.68     18.962    0.046   18.630    0.035
  645.59     18.880    0.041   18.588    0.030
  646.64     18.836    0.136   18.439    0.095
  647.63     18.983    0.071   18.655    0.057
  649.64     18.957    0.027   18.635    0.022
  650.56     18.936    0.025   18.615    0.021
  654.70     18.944    0.035   18.623    0.029
  657.73     18.932    0.038   18.606    0.032
  659.60     18.906    0.028   18.600    0.024
  660.50     18.858    0.039   18.607    0.034
  662.73    -99.000  -99.000   18.451    0.081
  663.61     18.909    0.041   18.621    0.028
  664.62     18.997    0.081   18.642    0.060
  666.60     18.912    0.074   18.569    0.049
  668.53     18.919    0.067   18.637    0.051
  679.66     18.892    0.036   18.608    0.032
  684.56     18.930    0.018   18.605    0.015
  686.60     18.921    0.020   18.614    0.017
  688.58     18.892    0.051   18.577    0.042
  689.59     18.981    0.043   18.613    0.033
  690.56     18.860    0.055   18.562    0.047
  692.54     18.947    0.053   18.632    0.040
  694.54     18.964    0.038   18.631    0.028
  695.70    -99.000  -99.000   18.348    0.102
  749.54     19.014    0.028   18.676    0.025
  752.54     18.986    0.045   18.668    0.038
  753.56     19.030    0.039   18.680    0.030
  754.67     18.895    0.078   18.610    0.073
  755.53     19.214    0.197  -99.000  -99.000
  757.63    -99.000  -99.000   18.583    0.071
  758.69    -99.000  -99.000   18.683    0.088
  763.63     18.955    0.041   18.601    0.034
  767.53     18.961    0.033   18.679    0.030
  775.51     19.041    0.033  -99.000  -99.000
  776.59     19.030    0.042   18.686    0.038
  781.71     19.060    0.063   18.742    0.056
  782.66     18.998    0.063   18.781    0.059
  782.68     19.044    0.049   18.738    0.042
  783.74     19.051    0.040   18.721    0.033
  786.63    -99.000  -99.000   18.605    0.072
  789.38     19.027    0.085   18.507    0.048
  790.71     18.894    0.080   18.614    0.060
  792.58     19.081    0.042   18.771    0.037
  793.60     18.925    0.047   18.624    0.045
  800.58     19.017    0.070   18.657    0.065
  801.54     18.979    0.041   18.662    0.042
  802.64     19.055    0.041   18.669    0.033
  803.54     19.076    0.025  -99.000  -99.000
  805.61     19.089    0.076   18.724    0.060
  810.69     18.948    0.149   18.581    0.096
  811.61     19.070    0.097   18.648    0.066
  812.69     19.127    0.146   18.781    0.090
  813.62     19.042    0.106   18.642    0.059
  821.67     19.040    0.099   18.726    0.074
  822.67     19.117    0.059   18.746    0.046
  823.60     19.099    0.088   18.819    0.075
  824.65     19.087    0.066   18.704    0.045
  825.52     18.896    0.169   18.577    0.169
  826.57     19.164    0.105   18.757    0.074
  827.57     19.081    0.041   18.721    0.033
  828.54     19.058    0.042   18.733    0.040
  829.61     19.019    0.179   18.881    0.190
  832.59     19.031    0.106   18.668    0.089
  835.55     19.110    0.029   18.775    0.026
  837.51     19.047    0.036   18.731    0.033
  838.54     18.953    0.094   18.646    0.076
  840.57     19.083    0.056   18.781    0.038
  841.51     19.075    0.068   18.740    0.045
  842.52     19.065    0.055  -99.000  -99.000
  843.53    -99.000  -99.000   18.724    0.066
  846.60     19.600    0.311   19.012    0.164
  849.57     18.982    0.126   18.574    0.092
  850.58     19.052    0.058   18.715    0.040
  854.51     19.094    0.028   18.726    0.024
  855.51     19.117    0.030   18.771    0.026
  856.50     19.119    0.118   18.737    0.103
  856.55     18.932    0.093   18.705    0.092
  860.53     19.011    0.078   18.751    0.072
  861.53     19.053    0.064   18.660    0.052
  862.53     19.073    0.056   18.755    0.049
  863.50     19.051    0.188   18.736    0.170
  864.53     19.068    0.048   18.726    0.039
  865.51     19.076    0.061   18.765    0.054
  866.47     19.112    0.105   18.850    0.097
  882.51     18.725    0.040   18.603    0.039
  886.49     19.361    0.308   19.053    0.245
  888.83     19.085    0.110   18.736    0.098
  889.47     19.117    0.069   18.731    0.049
  890.46     19.075    0.062   18.642    0.043
  891.45     18.945    0.064   18.721    0.061
  894.83     19.010    0.083   18.657    0.072
  896.47     19.008    0.083   18.663    0.060
  897.81     19.206    0.148   18.809    0.106
  907.72     19.184    0.164   18.692    0.081
  908.83     19.054    0.042   18.712    0.030
  909.42     19.034    0.065   18.722    0.051
  910.42     19.018    0.078   18.728    0.063
  911.75     19.023    0.134   18.616    0.092
  913.42     19.240    0.194   18.721    0.126
  915.73     19.072    0.072   18.674    0.055
  916.76     18.990    0.057   18.716    0.058
  917.73     19.120    0.075   18.757    0.060
  918.81     19.020    0.027   18.689    0.022
  919.70     19.038    0.053   18.662    0.040
  923.71     18.984    0.062   18.659    0.051
  926.69     18.919    0.080   18.569    0.065
  927.76     19.014    0.050   18.658    0.040
  929.71     19.071    0.183   18.897    0.085
