9.5239.505
Time(days)     V    Verr    R    Rerr
  200.69     19.233    0.183   18.748    0.120
  201.70     19.259    0.110  -99.000  -99.000
  202.76     18.949    0.058   18.592    0.051
  203.72     18.981    0.053   18.693    0.054
  205.67     19.119    0.080   18.744    0.077
  206.69     19.009    0.039   18.668    0.037
  208.67    -99.000  -99.000   18.680    0.072
  209.67    -99.000  -99.000   18.605    0.071
  210.79     18.980    0.048   18.648    0.045
  211.66     19.019    0.057   18.701    0.053
  212.70     18.917    0.066   18.698    0.068
  213.65     19.044    0.051   18.712    0.049
  218.67     17.649    0.030   18.462    0.069
  219.69    -99.000  -99.000   18.858    0.094
  220.66     19.079    0.089   18.869    0.087
  226.80     19.077    0.094   18.709    0.067
  231.77     18.940    0.047  -99.000  -99.000
  232.73     18.960    0.037  -99.000  -99.000
  233.82    -99.000  -99.000   18.764    0.068
  261.68     18.900    0.043   18.741    0.051
  262.64     18.978    0.036   18.619    0.032
  264.76     18.990    0.053   18.653    0.048
  265.76     19.034    0.035   18.622    0.029
  271.76     18.974    0.052   18.636    0.047
  272.79     19.004    0.050   18.616    0.036
  292.63     19.082    0.085   18.661    0.062
  293.72     19.175    0.096   18.803    0.064
  294.55     19.015    0.034   18.718    0.033
  304.51     18.968    0.058   18.625    0.051
  305.55     19.038    0.039   18.717    0.035
  306.49     19.749    0.142   18.860    0.051
  307.61     19.052    0.105   18.626    0.079
  308.51     19.020    0.047   18.700    0.039
  310.65     19.107    0.052   18.653    0.035
  314.71     19.057    0.089   18.660    0.070
  315.53     18.991    0.068   18.545    0.051
  316.55     18.998    0.053   18.687    0.046
  318.61    -99.000  -99.000   18.327    0.107
  324.66     19.054    0.053   18.644    0.045
  325.71     18.906    0.023   18.646    0.025
  326.54     19.062    0.032   18.661    0.027
  341.70     18.965    0.095   18.634    0.088
  343.53     19.078    0.088   18.714    0.073
  361.54     19.044    0.067   18.666    0.052
  362.55     19.080    0.030   18.702    0.027
  364.56     19.008    0.028   18.663    0.028
