5.4643.149
Time(days)     V    Verr    R    Rerr
  218.63     17.679    0.041   17.218    0.031
  219.67     17.590    0.042   17.202    0.033
  220.63     17.697    0.051   17.279    0.036
  220.65     17.687    0.031   17.241    0.021
  226.77     17.660    0.043   17.233    0.023
  227.65     17.586    0.038   17.247    0.025
  261.65     17.661    0.016   17.286    0.015
  262.61    -99.000  -99.000   17.269    0.009
  264.68     17.632    0.029   17.252    0.023
  265.74     17.690    0.014   17.301    0.011
  269.77     17.669    0.015   17.298    0.012
  271.74     17.680    0.027   17.285    0.021
  272.77     17.711    0.011   17.372    0.010
  273.77     17.732    0.018   17.336    0.015
  291.77     17.764    0.033   17.373    0.022
  292.61     17.712    0.039   17.325    0.030
  293.69     17.771    0.021   17.357    0.017
  294.53     17.821    0.013   17.443    0.011
  295.74     17.837    0.009   17.446    0.008
  300.74     17.900    0.012   17.490    0.010
  304.48     17.861    0.024   17.451    0.017
  305.52     17.903    0.015   17.484    0.012
  308.65     17.876    0.014   17.490    0.011
  310.62     17.876    0.019   17.495    0.014
  314.68     17.803    0.039   17.406    0.029
  315.50     17.861    0.025   17.462    0.020
  316.52     17.844    0.017   17.473    0.015
  324.63     17.808    0.033   17.361    0.026
  326.52     17.809    0.011   17.426    0.009
  341.67     17.724    0.041   17.349    0.033
  342.51     17.769    0.050   17.409    0.042
  343.51     17.732    0.029   17.350    0.024
  361.51     17.672    0.017   17.311    0.013
  361.67     17.847    0.035   17.338    0.032
  362.53     17.726    0.012   17.346    0.010
  364.52     17.691    0.011   17.341    0.010
  364.71     17.711    0.011   17.351    0.009
  365.50     17.729    0.017   17.341    0.013
  365.70     17.697    0.013   17.339    0.012
  366.52     17.697    0.017   17.315    0.014
  373.47     17.695    0.017   17.332    0.013
  373.71     17.726    0.030   17.365    0.019
  375.47     17.687    0.012   17.349    0.011
  375.69     17.688    0.026   17.324    0.017
  377.49     17.698    0.019   17.332    0.017
  377.67     17.711    0.030   17.337    0.020
  378.48     17.702    0.009   17.346    0.009
  378.67     17.698    0.022   17.342    0.018
  379.47     17.723    0.011   17.369    0.010
  380.57     17.689    0.015   17.318    0.014
  380.66     17.745    0.020   17.395    0.017
  383.48     17.720    0.010   17.385    0.009
  383.67     17.686    0.049   17.326    0.036
  384.49     17.743    0.039   17.345    0.032
  384.65     17.732    0.015   17.371    0.012
  387.65     17.708    0.012   17.364    0.010
  388.57    -99.000  -99.000   17.309    0.018
  391.67     17.739    0.036   17.303    0.026
  392.48     17.729    0.018   17.332    0.016
  392.60     17.719    0.018   17.344    0.014
  393.51     17.718    0.017   17.340    0.014
  393.63     17.690    0.014   17.336    0.012
  395.50     17.731    0.010   17.367    0.010
  395.63     17.760    0.012   17.401    0.011
  397.58     17.721    0.018   17.368    0.014
  398.51     17.710    0.014   17.363    0.012
  398.62     17.713    0.014   17.357    0.011
  401.47    -99.000  -99.000   17.375    0.036
  402.54     17.654    0.023   17.336    0.015
  406.48     17.670    0.012   17.303    0.011
  409.47     17.669    0.021   17.291    0.018
  409.60     17.685    0.060   17.299    0.049
  412.60     17.664    0.049   17.289    0.039
  413.68     17.619    0.024   17.291    0.018
  414.60     17.669    0.013   17.319    0.011
  417.55     17.657    0.013   17.296    0.011
  420.47     17.681    0.016   17.295    0.014
  420.57     17.649    0.015   17.297    0.013
  421.49     17.663    0.016   17.278    0.013
  421.64     17.526    0.045   17.176    0.037
  422.46     17.674    0.010   17.341    0.010
  422.56     17.682    0.014   17.318    0.012
  425.45     17.664    0.022   17.282    0.017
  425.55     17.664    0.019   17.278    0.015
  426.48     17.641    0.029   17.281    0.023
  426.61     17.639    0.022   17.279    0.020
  427.61     17.652    0.020   17.287    0.015
  428.45     17.622    0.022   17.282    0.017
  430.56     17.632    0.032   17.294    0.020
  432.69    -99.000  -99.000   17.269    0.042
  436.48     17.619    0.013   17.283    0.011
  437.43     17.624    0.010   17.299    0.011
  438.44     17.604    0.012   17.269    0.011
  438.62     17.621    0.039   17.250    0.023
  439.43     17.599    0.012   17.278    0.011
  441.53     17.593    0.012   17.263    0.010
  441.65     17.786    0.020   17.279    0.013
  442.51     17.606    0.009   17.296    0.008
  442.64     17.623    0.014   17.276    0.012
  444.42     17.599    0.014   17.279    0.013
  444.57     17.569    0.022   17.238    0.016
  445.49     17.613    0.012   17.288    0.010
  446.46     17.571    0.015   17.239    0.013
  446.58     17.601    0.012   17.263    0.010
  451.45     17.599    0.014   17.268    0.013
  452.46     17.594    0.015   17.269    0.013
  453.50     17.621    0.019   17.264    0.015
  453.61     17.613    0.027   17.231    0.019
  454.45     17.634    0.016   17.286    0.013
  457.53     17.626    0.024   17.326    0.015
  459.49    -99.000  -99.000   17.077    0.054
  459.54    -99.000  -99.000   17.117    0.053
  460.44    -99.000  -99.000   17.173    0.054
  461.47     17.561    0.033   17.254    0.022
  462.44     17.567    0.027   17.228    0.019
  464.56     17.656    0.024   17.281    0.018
  465.46     17.604    0.011   17.259    0.010
  466.46     17.559    0.012   17.244    0.012
  466.47     17.598    0.009   17.281    0.009
  469.51     17.601    0.023   17.241    0.018
  470.40     17.558    0.011   17.255    0.010
  471.41     17.573    0.010   17.252    0.009
  472.41     17.571    0.018   17.250    0.016
  473.41     17.596    0.010   17.278    0.009
  473.51     17.581    0.011   17.260    0.009
  474.41     17.571    0.012   17.255    0.011
  474.54     17.586    0.013   17.242    0.010
  475.41     17.577    0.010   17.263    0.009
  475.51     17.563    0.017   17.239    0.013
  476.40     17.602    0.013   17.269    0.012
  476.50     17.582    0.013   17.253    0.011
  477.39     17.608    0.024   17.269    0.021
  477.50     17.617    0.016   17.263    0.012
  478.41     17.573    0.011   17.252    0.010
  480.41     17.615    0.012   17.262    0.010
  481.56     17.640    0.017   17.265    0.012
  483.49     17.573    0.018   17.252    0.013
  484.42     17.640    0.039   17.200    0.023
  484.46     17.583    0.020   17.244    0.014
  484.56     17.654    0.026   17.285    0.017
  485.41     17.593    0.018   17.267    0.013
  486.47     17.560    0.052   17.226    0.037
  489.41     17.585    0.022   17.273    0.015
  491.40     17.539    0.038   17.170    0.028
  491.42     17.579    0.026   17.240    0.019
  492.55     17.569    0.044   17.207    0.029
  494.41     17.572    0.015   17.229    0.014
  495.38     17.542    0.017   17.212    0.015
  497.39     17.561    0.014   17.243    0.012
  500.39     17.508    0.017   17.188    0.015
  501.39     17.526    0.015   17.211    0.014
  502.38     17.538    0.011   17.243    0.010
  503.39     17.506    0.010   17.207    0.009
  503.41     17.539    0.010   17.238    0.009
  504.39     17.518    0.012   17.219    0.011
  507.43     17.457    0.034   17.164    0.031
  509.51     17.481    0.044   17.131    0.034
  510.46     17.492    0.013   17.196    0.012
  511.39     17.479    0.013   17.179    0.011
  512.37     17.445    0.012   17.163    0.011
  517.80     17.440    0.025   17.109    0.024
  518.80     17.447    0.040   17.082    0.031
  520.38     17.399    0.029   17.075    0.021
  520.79     17.389    0.042   17.102    0.037
  521.38     17.456    0.013   17.153    0.011
  521.80     17.412    0.026   17.159    0.025
  523.37     17.365    0.028   17.055    0.026
  528.79     17.392    0.056   17.075    0.049
  529.37     17.395    0.017   17.060    0.014
  529.78     17.366    0.016   17.041    0.015
  530.38     17.406    0.012   17.092    0.010
  531.38     17.378    0.025   17.074    0.024
  532.41     17.388    0.028   17.067    0.023
  533.38     17.383    0.023   17.065    0.019
  538.79     17.384    0.026   17.015    0.022
  539.42     17.363    0.027   17.042    0.020
  539.76     17.307    0.036   17.004    0.035
  540.38     17.402    0.014   17.074    0.011
  541.38     17.422    0.019   17.082    0.014
  546.82     17.398    0.011   17.097    0.011
  548.77    -99.000  -99.000   17.067    0.053
  553.38     17.377    0.029   17.092    0.029
  555.77     17.390    0.029   17.082    0.027
  556.73     17.423    0.028   17.046    0.023
  557.38     17.427    0.021   17.100    0.019
  557.70     17.433    0.018   17.094    0.017
  558.68     17.423    0.033   17.032    0.026
  559.78     17.398    0.016   17.066    0.016
  560.69     17.453    0.043   17.095    0.040
  561.66     17.385    0.026   17.065    0.026
  563.68     17.379    0.023   17.061    0.023
  565.66     17.401    0.022   17.070    0.021
  566.67     17.458    0.017   17.091    0.016
  571.69     17.433    0.020   17.093    0.018
  572.64     17.462    0.023   17.119    0.020
  573.67     17.514    0.039   17.144    0.033
  576.70     17.517    0.022   17.179    0.017
  578.63    -99.000  -99.000   17.224    0.061
  580.65     17.528    0.035   17.149    0.022
  581.65     17.472    0.029   17.161    0.022
  585.64     17.471    0.042   17.090    0.033
  586.62     17.449    0.028   17.114    0.025
  587.64     17.450    0.037   17.120    0.033
  588.67     17.486    0.013   17.149    0.011
  591.77     17.427    0.072   17.060    0.061
  592.67     17.513    0.020   17.153    0.018
  593.60     17.497    0.040   17.124    0.034
  594.61     17.507    0.010   17.181    0.009
  595.60     17.500    0.013   17.165    0.011
  596.61     17.435    0.033   17.075    0.028
  597.71     17.447    0.052   17.083    0.046
  598.59     17.470    0.032   17.096    0.025
  599.58     17.543    0.013   17.188    0.010
  600.58     17.531    0.027   17.167    0.020
  601.57     17.490    0.022   17.180    0.018
  602.79     17.531    0.025   17.163    0.020
  610.56     17.518    0.062   17.203    0.042
  629.51     17.631    0.018   17.331    0.018
  631.61     17.622    0.012   17.272    0.011
  632.53    -99.000  -99.000   17.224    0.020
  633.54     17.628    0.013   17.278    0.011
  634.55     17.780    0.021   17.354    0.015
  635.72    -99.000  -99.000   17.238    0.012
  637.52    -99.000  -99.000   17.251    0.023
  642.49     17.611    0.014   17.279    0.013
  644.59     17.546    0.017   17.190    0.017
  646.59     17.541    0.057   17.098    0.040
  647.55     17.516    0.032   17.152    0.027
  649.59     17.559    0.011   17.219    0.010
  650.47     17.558    0.018   17.222    0.016
  651.51     17.498    0.049   17.188    0.045
  653.75     17.566    0.009   17.242    0.008
  654.63     17.531    0.010   17.196    0.009
  656.76     17.504    0.042   17.199    0.041
  657.68     17.466    0.020   17.143    0.017
  659.52     17.503    0.011   17.188    0.011
  660.45     17.496    0.013   17.192    0.012
  662.67     17.460    0.032   17.075    0.023
  663.47     17.501    0.020   17.154    0.014
  664.54     17.460    0.029   17.110    0.019
  666.55     17.471    0.023   17.111    0.016
  668.48     17.441    0.025   17.138    0.020
  668.76     17.409    0.028  -99.000  -99.000
  679.58     17.424    0.010   17.121    0.009
  680.44     17.412    0.012   17.084    0.011
  684.51     17.414    0.010   17.113    0.009
  686.48     17.385    0.008   17.104    0.008
  688.53     17.381    0.017   17.063    0.015
  688.74     17.383    0.018   17.054    0.019
  689.54     17.374    0.009   17.063    0.008
  689.73     17.383    0.010   17.080    0.009
  690.50     17.351    0.018   17.051    0.016
  691.48     17.338    0.025   17.020    0.019
  692.49     17.367    0.014   17.066    0.011
  694.49     17.406    0.009   17.107    0.008
  694.73     17.364    0.018   17.039    0.018
  695.62     17.355    0.030   17.031    0.024
  748.74    -99.000  -99.000   17.112    0.015
  749.48     17.480    0.009   17.141    0.008
  751.62     17.434    0.023   17.095    0.023
  751.64     17.457    0.015   17.117    0.011
  752.49     17.465    0.013   17.127    0.012
  753.51     17.477    0.012   17.138    0.010
  757.58     17.397    0.029   17.084    0.019
  758.55     17.471    0.022   17.118    0.014
  761.70     17.441    0.021   17.078    0.016
  763.49     17.423    0.012   17.077    0.010
  765.61     17.419    0.021   17.037    0.016
  767.48     17.406    0.014   17.065    0.011
  769.75     17.397    0.034   17.025    0.023
  773.60     17.397    0.034   17.079    0.026
  775.46     17.456    0.007   17.128    0.007
  776.46     17.424    0.014   17.068    0.012
  776.77     17.446    0.023   17.096    0.019
  777.47     17.435    0.025   17.114    0.024
  781.66     17.419    0.010   17.097    0.008
  782.59     17.382    0.013   17.085    0.010
  783.65     17.374    0.034   17.046    0.021
  786.58    -99.000  -99.000   17.061    0.014
  789.33     17.359    0.016   17.067    0.012
  790.45     17.337    0.014   17.041    0.014
  791.47     17.339    0.012   17.040    0.011
  792.45     17.348    0.007   17.064    0.006
  793.44     17.335    0.008   17.030    0.008
  794.45     17.323    0.011   17.019    0.010
  800.46     17.306    0.021   16.973    0.019
  801.44     17.312    0.017   17.005    0.018
  802.59     17.365    0.011   17.033    0.010
  803.45     17.349    0.008   17.052    0.008
  805.44     17.316    0.012   17.006    0.011
  806.55     17.364    0.008   17.070    0.007
  809.47     17.327    0.021   17.025    0.017
  810.66    -99.000  -99.000   17.059    0.061
  811.55     17.376    0.016   17.065    0.012
  812.66     17.427    0.039   17.065    0.022
  813.50     17.361    0.023   17.051    0.014
  821.62     17.383    0.043   17.012    0.027
  822.62     17.421    0.014   17.117    0.011
  823.52     17.363    0.009   17.038    0.009
  824.59     17.393    0.014   17.073    0.011
  825.47     17.370    0.036   17.045    0.035
  826.52     17.366    0.024   17.045    0.018
  826.52     17.381    0.019   17.043    0.014
  827.49     17.369    0.011   17.069    0.010
  828.49     17.369    0.014   17.052    0.011
  829.53     17.396    0.022   17.048    0.018
  832.48     17.391    0.025   17.034    0.021
  833.61     17.428    0.024   17.049    0.017
  834.47     17.402    0.012   17.088    0.010
  835.43     17.399    0.008   17.113    0.007
  837.46    -99.000  -99.000   18.390    0.043
  838.48     17.400    0.011   17.092    0.009
  839.46     17.404    0.018   17.070    0.013
  840.51     17.423    0.017   17.095    0.010
  841.46     17.334    0.039   17.040    0.028
  842.47     17.399    0.016   17.110    0.011
  843.46     17.418    0.015   17.134    0.010
  846.57     17.387    0.046   17.072    0.032
  848.53     17.374    0.032   17.078    0.026
  849.52     17.414    0.021   17.071    0.016
  850.54     17.412    0.014   17.089    0.010
  854.46     17.353    0.011   17.065    0.009
  855.46     17.371    0.008   17.086    0.007
  856.40     17.364    0.010   17.084    0.009
  856.44     17.349    0.012   17.053    0.010
  858.51     17.408    0.012   17.103    0.012
  860.48     17.349    0.012   17.059    0.010
  861.38     17.337    0.008   17.063    0.008
  862.45     17.358    0.012   17.040    0.010
  863.44    -99.000  -99.000   16.967    0.053
  864.47     17.348    0.011   17.048    0.009
  865.46     17.333    0.017   17.026    0.014
  866.42     17.336    0.035   16.978    0.027
  868.82     17.278    0.018   17.019    0.018
  869.46     17.342    0.037   17.013    0.025
  870.81     17.187    0.066  -99.000  -99.000
  871.82     17.350    0.016   17.017    0.016
  873.43     17.332    0.050   17.021    0.034
  873.83     17.324    0.041   17.003    0.036
  875.45     17.228    0.062  -99.000  -99.000
  882.47     17.348    0.016   17.058    0.013
  886.42     17.349    0.012   17.036    0.010
  888.44     17.340    0.025   17.025    0.021
  888.79     17.320    0.040   16.989    0.040
  889.41     17.296    0.020   17.004    0.017
  889.78     17.321    0.033   16.996    0.033
  890.41     17.307    0.020   17.022    0.017
  890.82     17.337    0.011   17.054    0.011
  891.41     17.348    0.016   17.037    0.013
  893.41     17.298    0.027   17.005    0.023
  894.74     17.299    0.029   16.993    0.030
  895.78     17.287    0.036   16.952    0.034
  896.43     17.350    0.027   17.047    0.020
  897.76     17.286    0.039   16.964    0.033
  899.79     17.373    0.016   17.054    0.016
  902.80     17.379    0.028   17.038    0.024
  907.41     17.363    0.024   17.042    0.019
  907.83     17.404    0.026   17.047    0.021
  908.75     17.393    0.018   17.084    0.014
  909.39     17.413    0.019   17.105    0.015
  909.82     17.405    0.009   17.105    0.008
  910.39     17.432    0.024   17.140    0.019
  911.70     17.361    0.050   16.997    0.040
  913.39     17.283    0.056   17.013    0.052
