28.11400.609
Time(days)     V    Verr    R    Rerr
  294.71     20.005    0.049   19.580    0.039
  296.70     19.753    0.198   19.221    0.132
  304.64     19.995    0.085   19.703    0.082
  305.73     19.731    0.077   19.555    0.078
  306.63     20.003    0.080   19.607    0.063
  308.68     19.990    0.057   19.595    0.045
  315.69     20.010    0.139   19.549    0.102
  343.68     19.991    0.220   19.741    0.208
  373.63     19.746    0.113   19.406    0.092
  392.76     19.591    0.150  -99.000  -99.000
  410.75     19.896    0.135   19.401    0.084
  413.77     19.647    0.090   19.300    0.083
  414.54     19.734    0.048   19.423    0.045
  414.57     19.791    0.046   19.458    0.044
  419.76     19.822    0.109   19.389    0.083
  420.72     19.795    0.117   19.592    0.110
  421.75    -99.000  -99.000   19.635    0.290
  426.74     19.977    0.225   19.519    0.151
  445.65     19.890    0.074   19.571    0.064
  457.67     19.763    0.220   19.540    0.161
  471.65     20.049    0.211   19.777    0.149
  474.64     20.158    0.132   19.651    0.079
  488.58    -99.000  -99.000   19.190    0.227
  501.55     19.722    0.148   19.541    0.156
  502.52     19.970    0.065   19.676    0.061
  511.52     20.137    0.117   19.721    0.093
  530.47     19.991    0.069   19.636    0.054
  540.46     19.975    0.110   19.629    0.084
  541.83     19.897    0.148   19.438    0.110
  566.80     19.784    0.070   19.430    0.066
  585.72     19.533    0.211   19.535    0.270
  588.79    -99.000  -99.000   19.317    0.085
  599.72     19.757    0.060   19.405    0.050
  601.81     19.735    0.054   19.490    0.056
  632.66     19.714    0.073   19.530    0.074
  634.74     19.772    0.049   19.439    0.040
  645.65     19.706    0.069   19.391    0.066
  650.64     19.722    0.043   19.457    0.041
  660.65     19.802    0.038   19.483    0.035
  668.60     20.076    0.254   19.523    0.139
  684.70     19.767    0.036   19.459    0.035
  689.68     19.836    0.049   19.494    0.044
  694.67     19.863    0.082   19.490    0.058
  752.74     19.841    0.065   19.451    0.057
  757.74    -99.000  -99.000   19.273    0.164
  826.59     19.968    0.202   19.485    0.114
  827.66     19.857    0.149   19.673    0.130
  833.65     19.767    0.086   19.532    0.080
  842.63    -99.000  -99.000   19.485    0.098
  855.59     19.906    0.068   19.589    0.055
  862.58     19.826    0.136   19.651    0.141
  888.51     19.821    0.236   19.283    0.146
  910.46     19.872    0.138   19.526    0.097
  917.44     19.784    0.120   19.495    0.100
  926.78     19.631    0.153   19.215    0.099
  933.40    -99.000  -99.000   19.626    0.196
  954.73     19.780    0.117   19.421    0.099
  957.75     19.807    0.054   19.455    0.043
  973.75     19.824    0.043   19.464    0.038
  987.72     19.856    0.100   19.426    0.075
  995.74     19.561    0.129   19.126    0.086
 1011.71     19.719    0.059   19.352    0.046
 1025.67     19.673    0.050   19.450    0.046
 1043.68     19.762    0.043   19.458    0.039
 1067.71     19.722    0.028   19.421    0.029
 1069.53     19.693    0.035   19.407    0.034
 1072.71     19.575    0.056   19.260    0.053
 1073.73     19.695    0.055   19.392    0.055
 1074.52     19.636    0.049   19.322    0.042
 1074.72     19.728    0.034   19.400    0.033
 1080.55     19.533    0.088   19.204    0.078
 1082.49     19.632    0.089   19.283    0.076
 1093.66     19.418    0.069   19.124    0.069
 1105.66     19.469    0.023   19.165    0.023
 1107.74     19.491    0.054   19.242    0.062
 1117.51     19.492    0.037   19.218    0.040
 1119.57     19.428    0.054   19.129    0.051
 1123.65     19.470    0.023   19.176    0.022
 1125.49     19.388    0.058   19.113    0.057
 1126.67     19.454    0.042   19.199    0.032
 1128.73     19.462    0.082   19.170    0.065
 1132.58     19.474    0.057   19.196    0.029
 1137.65     19.459    0.066   19.215    0.050
 1142.75     19.500    0.191   19.286    0.126
 1145.75     19.490    0.112   19.198    0.081
 1164.64     19.689    0.088   19.267    0.122
 1166.65     19.595    0.095   19.109    0.063
 1168.63     19.634    0.190   19.281    0.104
 1172.67     19.495    0.118   19.321    0.097
 1176.66     19.383    0.126   19.183    0.112
 1177.69     19.474    0.256   19.156    0.182
 1179.60     19.667    0.042   19.461    0.044
 1182.60     19.641    0.052   19.352    0.052
 1184.61     19.710    0.061   19.384    0.059
 1185.68     19.534    0.183   19.063    0.119
 1187.67     19.665    0.081   19.336    0.061
 1195.61     19.694    0.095   19.401    0.071
 1206.63     19.879    0.192   19.371    0.104
 1209.55     19.703    0.036   19.379    0.031
 1213.63     19.494    0.143   19.172    0.106
 1250.46     19.597    0.068   19.287    0.060
 1299.78     19.638    0.068   19.307    0.058
 1310.71     19.649    0.054   19.322    0.048
 1313.69     19.621    0.119   19.462    0.114
 1315.81     19.584    0.097   19.352    0.086
 1319.65     19.435    0.079   19.247    0.056
 1321.67     19.588    0.086   19.323    0.062
 1323.70     19.753    0.170   19.390    0.130
 1325.69     19.742    0.156   19.174    0.091
 1329.65     19.553    0.049   19.261    0.041
 1332.73     19.458    0.129   19.172    0.107
 1334.76     19.496    0.030   19.274    0.029
 1338.76     19.500    0.067   19.261    0.061
 1343.63     19.513    0.080   19.163    0.053
 1347.72     19.694    0.102   19.397    0.062
 1359.56     19.497    0.049   19.216    0.046
 1363.79     19.523    0.114   19.231    0.087
 1371.73     19.490    0.069  -99.000  -99.000
