53.3360.344
Time(days)     V    Verr    R    Rerr
  378.57     18.841    0.024   18.718    0.030
  419.59     18.861    0.022   18.735    0.026
  425.66     18.845    0.101   18.575    0.094
  471.50     18.756    0.046   18.636    0.057
  471.51     18.902    0.041   18.625    0.035
  491.49     19.249    0.270   18.847    0.175
  500.49     18.929    0.052   18.722    0.053
  504.48     18.955    0.054   18.742    0.052
  561.74     18.966    0.059   18.764    0.062
  566.77     18.992    0.046   18.712    0.047
  580.79     18.961    0.078   18.728    0.059
  588.77     18.912    0.039   18.740    0.040
  632.62    -99.000  -99.000   18.771    0.059
  632.63    -99.000  -99.000   18.808    0.041
  634.71     19.035    0.033   18.851    0.029
  644.73     19.038    0.048   18.821    0.045
  650.59     19.010    0.026   18.782    0.025
  660.63     19.032    0.024   18.853    0.025
  668.56     19.134    0.096   18.833    0.079
  684.67     19.104    0.030   18.841    0.027
  689.66     19.002    0.049   18.816    0.053
  694.65     19.050    0.037   18.826    0.033
  752.69     19.068    0.061   18.798    0.056
  757.70    -99.000  -99.000   18.854    0.128
  775.69     19.104    0.050   18.947    0.052
  801.59     19.123    0.065   18.839    0.088
  806.42     19.071    0.023   18.867    0.026
  837.54     19.073    0.049   18.941    0.049
  890.78     19.095    0.078   18.953    0.084
  911.81     19.258    0.109   19.153    0.124
  918.83     19.149    0.027   18.950    0.032
  927.79     19.221    0.057   18.937    0.050
  932.77     19.212    0.222   19.225    0.246
  946.78     19.214    0.049   18.955    0.043
  954.78     19.227    0.080   18.967    0.069
  962.77     18.651    0.150   19.151    0.287
  963.73     19.028    0.177   18.977    0.152
  982.72     19.130    0.024   18.899    0.023
  988.74     19.040    0.131   18.701    0.100
  996.71     19.271    0.124   19.048    0.119
 1012.70     19.096    0.094   18.823    0.083
 1047.63     19.159    0.121   18.977    0.112
 1067.61     19.093    0.017   18.916    0.019
 1069.50     19.085    0.036   18.894    0.038
 1072.66     19.112    0.048   18.905    0.046
 1074.49     19.156    0.033   18.950    0.033
 1079.63     19.075    0.059   18.866    0.066
 1080.53     19.174    0.073   18.899    0.066
 1081.71     19.190    0.099   18.898    0.080
 1093.59     19.124    0.033   18.882    0.032
 1105.64     19.138    0.024   18.947    0.026
 1107.72     19.148    0.037   18.962    0.036
 1117.49     19.096    0.031   18.852    0.034
 1119.51    -99.000  -99.000   18.906    0.140
 1119.53    -99.000  -99.000   18.969    0.057
 1123.62    -99.000  -99.000   18.912    0.024
 1125.47    -99.000  -99.000   19.109    0.051
 1126.65    -99.000  -99.000   18.921    0.033
 1128.71     19.243    0.095   18.949    0.076
 1132.56     19.159    0.028   18.950    0.028
 1137.63     19.180    0.055   18.928    0.046
 1142.74    -99.000  -99.000   18.945    0.147
 1164.62     19.325    0.065   19.061    0.054
 1166.63     19.336    0.116   19.144    0.083
 1168.61     19.525    0.263   18.955    0.088
 1172.64     19.049    0.103   18.843    0.074
 1177.52     19.170    0.044   18.952    0.044
 1179.57     19.178    0.043   18.977    0.039
 1182.58     19.165    0.050   18.937    0.043
 1184.59     19.244    0.069   18.973    0.056
 1195.59     19.194    0.098   19.026    0.067
 1209.52     19.178    0.039   19.014    0.037
 1269.84     19.361    0.207   18.849    0.133
 1299.76     19.142    0.078   18.969    0.077
 1310.69     19.139    0.039   18.944    0.041
 1313.67     19.251    0.109   18.983    0.092
 1315.79     19.355    0.141   18.957    0.096
 1319.62     19.143    0.181   18.247    0.051
 1319.68     19.163    0.053   18.926    0.039
 1321.64     19.169    0.070   18.917    0.053
 1323.67     19.081    0.097   18.972    0.111
 1325.66     19.375    0.174   19.043    0.143
 1329.63     19.130    0.037   18.903    0.036
 1332.70     19.275    0.184   18.950    0.139
 1334.74     19.098    0.030   18.870    0.029
 1338.74     19.154    0.057   18.964    0.059
 1342.79     19.194    0.067   18.996    0.072
 1347.69     19.250    0.100   19.001    0.066
 1358.79     19.058    0.082   18.926    0.075
 1363.77     19.114    0.038   18.920    0.037
 1371.71     19.184    0.055   18.910    0.037
 1383.75     19.073    0.035   18.943    0.041
 1398.56     19.073    0.054   18.866    0.051
 1415.56     19.034    0.020   18.849    0.020
 1423.60     19.016    0.039   18.897    0.043
 1434.70     19.067    0.069   18.902    0.071
 1466.73     18.955    0.063   18.890    0.053
 1531.55     19.131    0.024   18.935    0.025
 1562.55     19.221    0.145   18.914    0.122
 1575.53     19.182    0.120   18.869    0.087
 1609.82     19.053    0.041   18.850    0.048
 1654.75     19.028    0.053   18.852    0.057
 1685.69     19.047    0.048   18.790    0.043
 1691.82     19.074    0.045   18.804    0.037
 1696.76     19.026    0.022   18.863    0.025
 1712.77     19.023    0.026   18.884    0.032
 1729.76     19.030    0.083   18.900    0.066
 1736.67     19.023    0.022   18.861    0.025
 1748.62     19.001    0.023   18.845    0.024
 1762.61     18.964    0.054   18.694    0.054
 1774.68     18.938    0.068   18.838    0.078
 1783.68     19.000    0.021   18.846    0.023
 1794.65     19.036    0.047   18.833    0.046
 1796.57     19.035    0.034   18.876    0.035
 1808.62     19.061    0.023   18.883    0.024
 1816.68     19.013    0.071   18.933    0.083
 1861.57     19.035    0.022   18.873    0.024
 1871.53     18.989    0.035   18.869    0.037
 1884.68     19.114    0.118   18.743    0.075
 1895.61     19.101    0.033   18.921    0.031
 1898.57     19.109    0.040   18.879    0.038
 1906.60     19.009    0.130   18.888    0.089
 1910.52     19.065    0.095   19.002    0.087
 1912.59     19.160    0.088   19.055    0.082
 1918.52     19.145    0.060   18.896    0.070
 1920.61     19.212    0.095   18.923    0.071
 1924.45     19.111    0.039   18.988    0.042
 1931.46     19.120    0.052   18.945    0.044
 1940.45     19.140    0.064   18.992    0.063
 1943.55     18.978    0.084   18.967    0.087
 1954.51     19.087    0.269   19.094    0.302
 1958.49     19.175    0.085   19.008    0.066
 1979.41     19.296    0.071   19.073    0.069
 1985.79     19.203    0.036   19.030    0.039
 1993.35     19.234    0.161   18.893    0.103
 2018.83     19.358    0.067   19.043    0.053
 2025.76     19.263    0.092   19.101    0.085
 2033.70     19.307    0.083   19.069    0.084
 2036.67     19.347    0.048   19.069    0.047
 2038.82     19.376    0.083   19.144    0.084
 2046.76     19.332    0.040   19.115    0.041
 2051.65     19.354    0.095   19.118    0.084
 2054.78     19.113    0.176   19.125    0.189
 2056.79    -99.000  -99.000   19.105    0.054
 2058.68     19.428    0.206   19.248    0.131
 2064.23     19.407    0.046   19.147    0.047
 2065.72     19.374    0.036   19.024    0.038
