82.8403.551
Time(days)     V    Verr    R    Rerr
  294.74     18.766    0.019   18.427    0.029
  295.75     18.784    0.020   18.447    0.030
  296.55     18.712    0.049   18.370    0.049
  304.50     18.702    0.042   18.398    0.046
  305.54     18.780    0.025   18.427    0.033
  306.48     18.740    0.044   18.405    0.044
  307.48     18.604    0.091   18.298    0.080
  308.50     18.876    0.044   18.478    0.044
  310.64     18.759    0.033   18.431    0.035
  314.70     18.710    0.079   18.332    0.065
  316.54     18.785    0.030   18.423    0.038
  318.60     19.006    0.167   18.485    0.121
  324.65     18.616    0.042   18.278    0.048
  325.70     18.818    0.016   18.451    0.029
  326.53     18.798    0.021   18.460    0.033
  341.68     18.729    0.080   18.476    0.085
  342.53     18.872    0.088   18.635    0.090
  343.52     18.861    0.061   18.598    0.071
  361.53     18.755    0.039  -99.000  -99.000
  362.55     18.930    0.020   18.535    0.031
  364.56     18.956    0.154   18.465    0.126
  364.73     18.826    0.025   18.519    0.038
  365.52     18.874    0.029   18.507    0.036
  365.72     18.809    0.034   18.449    0.043
  366.54     18.753    0.034   18.460    0.042
  373.49     18.861    0.038   18.465    0.038
  375.49     18.801    0.032   18.437    0.036
  375.72     18.743    0.051   18.423    0.047
  377.51     18.718    0.032   18.422    0.041
  377.69     18.731    0.056   18.453    0.051
  378.49     18.801    0.018   18.444    0.031
  378.69     18.768    0.050   18.440    0.052
  379.49     18.804    0.022   18.438    0.031
  383.50     18.852    0.017   18.497    0.029
  383.69     18.702    0.040   18.373    0.042
  384.51     18.745    0.032   18.454    0.045
  384.67     18.751    0.028   18.445    0.040
  387.59     18.863    0.016   18.492    0.024
  387.68     18.839    0.030   18.482    0.037
  388.59    -99.000  -99.000   18.490    0.065
  391.69     18.612    0.057   18.318    0.056
  392.50     18.808    0.025   18.440    0.036
  392.62     18.701    0.033   18.420    0.045
  393.53    -99.000  -99.000   18.449    0.037
  393.65     18.752    0.028   18.464    0.040
  395.52     18.943    0.018   18.572    0.030
  395.66     18.808    0.023   18.468    0.037
  397.60     18.780    0.030   18.476    0.041
  398.55     18.893    0.028   18.554    0.037
  398.64     18.758    0.045   18.490    0.052
  401.49    -99.000  -99.000   18.295    0.077
  402.56     18.809    0.061   18.493    0.049
  402.56     18.787    0.057   18.538    0.052
  406.52     18.779    0.034   18.438    0.041
  409.49     18.818    0.035   18.450    0.041
  409.66     18.889    0.185   18.442    0.159
  413.70     18.760    0.051   18.490    0.052
  414.62     18.893    0.025   18.496    0.036
  417.52     18.826    0.028   18.480    0.037
  420.50     18.953    0.024   18.571    0.035
  420.59     18.952    0.033   18.585    0.043
  421.50     18.895    0.032   18.535    0.041
  421.66     18.936    0.101   18.553    0.084
  422.49     18.980    0.024   18.561    0.034
  422.59     18.927    0.023   18.571    0.035
  423.65     18.702    0.103   18.345    0.092
  424.50    -99.000  -99.000   18.514    0.123
  425.49     18.820    0.034   18.525    0.043
  425.59     18.828    0.035   18.525    0.047
  426.49     18.733    0.071   18.465    0.070
  426.65     18.831    0.049   18.600    0.059
  427.64     18.781    0.037   18.518    0.047
  430.58     18.782    0.059   18.509    0.050
