9.4641.568
Time(days)     V    Verr    R    Rerr
  200.69    -99.000  -99.000   18.657    0.116
  201.70    -99.000  -99.000   18.706    0.077
  202.76     18.911    0.335   18.621    0.051
  203.72     18.988    0.363   18.686    0.056
  205.67     18.927    0.071   18.700    0.074
  206.69     18.939    0.037   18.723    0.038
  208.67     19.109    0.104   18.669    0.073
  209.67     18.895    0.090   18.563    0.073
  210.79     18.922    0.047   18.703    0.046
  211.66     18.879    0.055   18.785    0.062
  212.70     18.859    0.066   18.628    0.065
  213.65     18.946    0.051   18.714    0.049
  218.67     18.894    0.061   18.772    0.073
  219.69     18.997    0.106   18.510    0.089
  220.66     19.081    0.097   18.821    0.093
  226.80     18.751    0.069   18.591    0.064
  231.77     19.027    0.050   18.776    0.051
  232.73     18.947    0.036   18.680    0.036
  233.82     19.230    0.087   18.900    0.073
  261.68     19.018    0.050   18.693    0.047
  262.64     18.980    0.037   18.709    0.033
  264.76     18.954    0.056   18.688    0.051
  265.76     18.981    0.037   18.628    0.028
  269.79    -99.000  -99.000   18.630    0.064
  271.76     19.086    0.071   18.824    0.060
  272.79     18.965    0.049   18.656    0.037
  292.63     18.958    0.082   18.719    0.071
  293.72     18.997    0.079   18.761    0.069
  294.55     19.079    0.036   18.751    0.032
  295.76     19.008    0.044  -99.000  -99.000
  304.51     18.994    0.064   18.743    0.058
  305.55     18.999    0.038   18.740    0.034
  306.49     18.928    0.057   18.745    0.054
  307.61     19.176    0.122   18.721    0.086
  308.51     18.963    0.048   18.615    0.034
  310.65     19.015    0.050   18.704    0.037
  314.71     18.888    0.079   18.679    0.077
  315.53     19.160    0.078   18.861    0.070
  316.55     18.861    0.044   18.618    0.043
  318.61     19.041    0.167   18.563    0.126
  324.66     19.063    0.064   18.653    0.048
  325.71     18.964    0.024   18.722    0.024
  326.54     19.045    0.031   18.677    0.024
  341.70     18.927    0.097   18.641    0.088
  343.53     19.018    0.084   18.664    0.066
  361.54     18.943    0.064   18.733    0.060
  362.55     18.989    0.029   18.689    0.025
  364.56     19.009    0.028   18.693    0.026
  364.74     18.987    0.043   18.708    0.045
  365.53     18.964    0.036   18.686    0.033
  365.73     18.947    0.057   18.686    0.053
  366.55     18.960    0.039   18.675    0.033
  373.50     19.000    0.048   18.716    0.038
  375.50     18.992    0.044   18.713    0.034
  375.73     19.005    0.081   18.648    0.050
  377.52     18.975    0.048   18.701    0.040
  377.70     19.033    0.084   18.664    0.054
  378.50     19.020    0.024   18.719    0.024
  378.70     19.018    0.057   18.719    0.050
  379.50    -99.000  -99.000   18.677    0.027
  380.58     18.995    0.058   18.688    0.051
  383.51     18.993    0.022   18.693    0.021
  383.70     18.912    0.055   18.647    0.046
  384.56     18.962    0.059   18.644    0.058
  384.68     18.955    0.042   18.698    0.040
  387.58     18.986    0.018   18.714    0.018
  391.70     18.821    0.095   18.652    0.087
  392.51     19.006    0.034   18.706    0.033
  392.63     18.955    0.050   18.713    0.049
  393.54     19.011    0.038   18.709    0.033
  393.66     19.002    0.045   18.698    0.036
  395.53     19.016    0.021   18.721    0.021
  395.62     19.031    0.027   18.716    0.022
  397.55     18.995    0.065   18.771    0.060
  397.67     19.022    0.050   18.690    0.034
  398.53     18.986    0.037   18.676    0.032
  398.65     19.113    0.085   18.761    0.062
  402.50     18.947    0.060  -99.000  -99.000
  402.60    -99.000  -99.000   18.756    0.063
  402.63    -99.000  -99.000   18.735    0.072
  406.49     18.876    0.060   18.646    0.057
  409.50     18.993    0.050   18.688    0.041
  409.73     19.175    0.173   18.801    0.124
  413.71     18.912    0.057   18.756    0.052
  414.63     18.997    0.031   18.725    0.028
  417.57     19.012    0.043   18.687    0.037
  420.48     19.005    0.037   18.695    0.033
  420.60     19.037    0.045   18.752    0.040
  421.67     18.879    0.139   18.679    0.127
  422.47     19.000    0.029   18.710    0.027
  422.60     19.042    0.033   18.689    0.026
  423.66     18.945    0.139   18.659    0.121
  425.46     19.013    0.081   18.622    0.056
  425.60     19.036    0.052   18.740    0.046
  426.52     18.987    0.063   18.712    0.057
  426.66     19.085    0.076   18.703    0.055
  427.66     18.978    0.047   18.732    0.042
  428.46     18.918    0.077   18.611    0.056
  430.58    -99.000  -99.000   18.711    0.043
  436.51     18.998    0.034   18.690    0.029
  437.49     18.999    0.033   18.701    0.030
  438.48     19.076    0.025   18.734    0.023
  439.51     19.004    0.047   18.737    0.044
  441.57     19.024    0.045   18.720    0.039
  441.66     19.000    0.043   18.712    0.034
  442.54     19.050    0.034   18.766    0.031
  442.55     19.034    0.031   18.706    0.026
  442.65     19.046    0.048   18.740    0.036
  444.48     18.963    0.042   18.697    0.037
  444.60     19.015    0.049   18.734    0.040
  445.52     19.035    0.027   18.728    0.024
  446.50     18.998    0.043   18.664    0.036
  446.61     19.003    0.033   18.712    0.027
  451.48     18.984    0.048   18.662    0.041
  452.51     19.018    0.082   18.708    0.068
  453.52     19.023    0.047   18.705    0.039
  453.64     19.042    0.076   18.706    0.051
  454.48     18.928    0.057   18.658    0.059
  457.55     18.955    0.066   18.697    0.045
  459.52    -99.000  -99.000   18.783    0.142
  460.47    -99.000  -99.000   19.016    0.212
  463.48     19.009    0.068   18.688    0.055
  466.50     19.037    0.034   18.739    0.032
  469.54     18.947    0.059   18.743    0.056
  471.44     19.036    0.030   18.716    0.027
  472.44     19.077    0.033   18.748    0.031
  473.43     19.057    0.025   18.767    0.026
  473.54     19.020    0.047   18.694    0.034
  474.44     19.042    0.029   18.775    0.027
  474.56     18.983    0.041   18.690    0.030
  475.44     19.058    0.027   18.714    0.024
  475.54     19.032    0.061   18.740    0.044
