75.13376.66
Time(days)     V    Verr    R    Rerr
  383.61     18.608    0.022   18.338    0.022
  414.75     18.654    0.041   18.512    0.065
  419.72     18.617    0.027   18.350    0.028
  422.74     18.644    0.046   18.364    0.041
  445.44     18.679    0.013   18.394    0.013
  471.64     18.611    0.105   18.346    0.094
  494.55     18.732    0.101   18.445    0.091
  501.50     18.646    0.040   18.365    0.039
  565.76     18.617    0.028   18.363    0.030
  573.81     18.622    0.032   18.394    0.034
  587.72     18.672    0.065   18.344    0.058
  595.68     18.607    0.036   18.326    0.034
  601.71     18.596    0.021   18.369    0.021
  633.69     18.562    0.016   18.335    0.016
  646.72     18.635    0.054   18.376    0.052
  666.64     18.524    0.038   18.270    0.032
  686.74     18.529    0.023   18.274    0.022
  692.63     18.506    0.020   18.214    0.018
  767.69    -99.000  -99.000   18.315    0.036
  802.73    -99.000  -99.000   18.275    0.027
  826.66     18.516    0.037   18.278    0.034
  840.59     18.481    0.038   18.225    0.029
  849.60     18.471    0.073   18.193    0.060
  891.49     18.500    0.023   18.239    0.021
  915.83     18.483    0.040   18.241    0.050
  926.73     18.530    0.046   18.202    0.044
  931.72     18.523    0.051   18.267    0.048
  944.77     18.533    0.021   18.290    0.022
  951.75     18.534    0.012   18.289    0.013
  957.71     18.529    0.016   18.288    0.018
  969.75     18.500    0.020   18.240    0.021
  986.74     18.527    0.052   18.200    0.043
 1010.72     18.537    0.015   18.288    0.015
 1025.62     18.535    0.015   18.288    0.017
 1043.63     18.539    0.013   18.283    0.014
 1058.66     18.535    0.016   18.276    0.015
 1076.64     18.380    0.061   17.901    0.040
 1094.60     18.559    0.013   18.304    0.013
 1106.64     18.486    0.018   18.237    0.019
 1117.67    -99.000  -99.000   18.256    0.021
 1124.57    -99.000  -99.000   18.284    0.015
 1141.59     18.546    0.024   18.303    0.020
 1166.69     18.547    0.031   18.247    0.028
 1174.68     18.505    0.035   18.266    0.031
 1186.65     18.562    0.026   18.299    0.024
 1206.58     18.554    0.024   18.291    0.021
 1306.68     18.488    0.046   18.220    0.045
 1314.71     18.580    0.129   18.279    0.103
 1318.76     18.627    0.037   18.298    0.025
 1320.66     18.574    0.046   18.289    0.038
 1324.69     18.511    0.021   18.262    0.022
 1330.81     18.500    0.019   18.250    0.019
 1349.74     18.528    0.021   18.272    0.019
 1359.72     18.598    0.015   18.337    0.015
 1364.76     18.592    0.021   18.336    0.020
 1383.66     18.578    0.021   18.311    0.020
 1465.74     18.671    0.031   18.460    0.029
 1500.76     18.717    0.062   18.409    0.046
 1589.51     18.557    0.028   18.304    0.029
 1595.48     18.586    0.017   18.358    0.018
 1606.44     18.610    0.021   18.355    0.020
 1682.80     18.589    0.036   18.410    0.039
 1729.67    -99.000  -99.000   18.247    0.103
 1747.74     18.766    0.013   18.478    0.013
 1774.59     18.753    0.025   18.493    0.026
 1783.60     18.772    0.019   18.519    0.017
 1793.61     18.771    0.078   18.488    0.095
 1806.67     18.736    0.030   18.458    0.030
 1815.69     18.698    0.024   18.435    0.024
 1828.71     18.740    0.015   18.465    0.015
 1839.61     18.743    0.020   18.509    0.022
 1856.59     18.765    0.016   18.495    0.016
 1860.66     18.762    0.020   18.491    0.020
 1863.60     18.742    0.017   18.489    0.018
 1871.75     18.800    0.045   18.478    0.037
 1874.57     18.767    0.025   18.467    0.023
 1884.72     18.753    0.042   18.464    0.034
 1895.54     18.721    0.015   18.444    0.016
 1898.51     18.698    0.019   18.435    0.020
 1899.63     18.717    0.021   18.453    0.022
 1904.52     18.841    0.081   18.503    0.057
 1907.50     18.699    0.062   18.423    0.046
 1910.56     18.709    0.038   18.438    0.029
 1912.51     18.665    0.050   18.374    0.041
 1917.47     18.742    0.023   18.450    0.024
 1920.53     18.684    0.022   18.432    0.022
 1923.59     18.684    0.017   18.428    0.017
 1927.55     18.703    0.019   18.439    0.017
 1931.58     18.620    0.044   18.386    0.037
 1942.53     18.649    0.027   18.420    0.027
 1945.56     18.671    0.021   18.432    0.020
 1956.41     18.687    0.022   18.382    0.022
 1958.50     18.705    0.034   18.456    0.029
 1970.40     18.691    0.027   18.432    0.029
 1976.42     18.664    0.023   18.403    0.024
 1979.42     18.672    0.024   18.452    0.027
 1984.42     18.668    0.013   18.440    0.014
 1990.41     18.594    0.045   18.349    0.036
 1993.41     18.672    0.070   18.417    0.055
 1996.80     18.793    0.061   18.443    0.047
 1999.82     18.589    0.036   18.382    0.035
 2008.41     18.626    0.029   18.391    0.028
 2011.79     18.552    0.020   18.342    0.024
 2021.69     18.803    0.137   18.342    0.097
 2029.71     18.643    0.032   18.356    0.023
 2035.76     18.652    0.024   18.381    0.026
 2039.61     18.692    0.039   18.381    0.036
 2047.78     18.642    0.040   18.420    0.042
 2056.75     18.668    0.036   18.394    0.026
 2058.76     18.635    0.030   18.398    0.026
 2066.72     18.659    0.016   18.403    0.016
 2078.71     18.672    0.018   18.425    0.019
 2081.69     18.656    0.026   18.407    0.025
 2091.62     18.602    0.020   18.375    0.020
 2094.70     18.608    0.016   18.364    0.015
 2096.64     18.598    0.029   18.356    0.027
 2097.78     18.683    0.031   18.358    0.025
 2099.66     18.647    0.057   18.370    0.051
 2102.57     18.578    0.032   18.339    0.034
 2107.65     18.641    0.013   18.399    0.013
 2108.77     18.664    0.034   18.383    0.029
 2110.71     18.852    0.036   18.461    0.030
