13.6808.521
Time(days)     V    Verr    R    Rerr
  200.75     19.003    0.133  -99.000  -99.000
  201.72     19.481    0.189  -99.000  -99.000
  202.78     18.992    0.095  -99.000  -99.000
  203.74     19.041    0.046  -99.000  -99.000
  206.71     18.908    0.046  -99.000  -99.000
  209.69     19.179    0.096  -99.000  -99.000
  211.69     19.041    0.048  -99.000  -99.000
  212.62     18.659    0.097  -99.000  -99.000
  212.76     19.063    0.066  -99.000  -99.000
  218.69     18.944    0.039  -99.000  -99.000
  219.71     19.114    0.109  -99.000  -99.000
  220.69     19.143    0.100  -99.000  -99.000
  226.82     19.025    0.104  -99.000  -99.000
  228.72     18.614    0.061  -99.000  -99.000
  231.79     19.114    0.057  -99.000  -99.000
  232.77     18.977    0.042  -99.000  -99.000
  261.71     19.015    0.044  -99.000  -99.000
  262.68     18.930    0.037  -99.000  -99.000
  264.78     18.951    0.054  -99.000  -99.000
  265.78     19.079    0.037  -99.000  -99.000
  271.78     18.988    0.084  -99.000  -99.000
  292.65     19.125    0.104  -99.000  -99.000
  293.76     19.226    0.057  -99.000  -99.000
  294.61     18.987    0.025  -99.000  -99.000
  296.60     18.971    0.059  -99.000  -99.000
  304.55     19.081    0.074  -99.000  -99.000
  305.59     19.035    0.046  -99.000  -99.000
  306.52     19.097    0.062  -99.000  -99.000
  308.54     19.059    0.047  -99.000  -99.000
  314.74     19.009    0.142  -99.000  -99.000
  315.56     18.863    0.058  -99.000  -99.000
  315.59     18.910    0.054  -99.000  -99.000
  316.59     18.972    0.056  -99.000  -99.000
  318.64     18.991    0.052  -99.000  -99.000
  324.68     18.995    0.053  -99.000  -99.000
  326.58     18.991    0.032  -99.000  -99.000
  342.57     19.112    0.175  -99.000  -99.000
  343.56     18.912    0.114  -99.000  -99.000
  362.59     19.009    0.022  -99.000  -99.000
  364.59     19.008    0.027  -99.000  -99.000
  365.58     19.019    0.032  -99.000  -99.000
  366.58     19.042    0.032  -99.000  -99.000
  373.53     19.032    0.061  -99.000  -99.000
  375.53     18.932    0.039  -99.000  -99.000
  375.75     18.976    0.103   18.687    0.088
  377.55     19.079    0.096  -99.000  -99.000
  378.54     19.051    0.027  -99.000  -99.000
  378.73     18.880    0.080   18.767    0.104
  378.74     19.094    0.072   18.736    0.063
  383.54     19.009    0.020  -99.000  -99.000
  383.73     19.038    0.069   18.706    0.071
  384.58     19.036    0.032  -99.000  -99.000
  391.72     19.084    0.102   18.646    0.070
  392.53     19.075    0.031  -99.000  -99.000
  392.65     19.086    0.038   18.772    0.039
  393.56     19.144    0.038  -99.000  -99.000
  393.69     19.077    0.051   18.716    0.044
  395.56     19.050    0.021  -99.000  -99.000
  395.69     19.011    0.032   18.703    0.033
  397.63     19.039    0.032   18.736    0.033
  398.54     19.051    0.040  -99.000  -99.000
  398.67     19.116    0.045   18.717    0.040
  402.65    -99.000  -99.000   18.673    0.069
  406.51     19.094    0.051  -99.000  -99.000
  409.52     19.019    0.053  -99.000  -99.000
  409.74     18.907    0.128   18.892    0.192
  410.63     19.041    0.026  -99.000  -99.000
  413.75     19.080    0.070   18.820    0.069
  414.50     19.027    0.020   18.738    0.020
  420.62     19.021    0.036   18.702    0.037
  421.69     18.978    0.102   18.803    0.109
  422.49     19.046    0.026  -99.000  -99.000
  422.63     19.023    0.036   18.746    0.039
  423.71     19.389    0.346   18.924    0.240
  425.62     19.111    0.053   18.753    0.051
  426.54     19.002    0.058   18.706    0.061
  426.69     18.977    0.071   18.815    0.080
  427.68     19.083    0.052   18.759    0.055
  430.61    -99.000  -99.000   18.534    0.055
  436.54     19.012    0.038   18.722    0.036
  437.51     19.039    0.029   18.777    0.032
  438.50     19.019    0.022   18.747    0.025
  439.49     19.061    0.034   18.666    0.032
  441.60     19.073    0.036   18.746    0.035
  441.67     18.974    0.035   18.781    0.042
  442.56     19.054    0.024   18.742    0.025
  442.66     19.065    0.041   18.728    0.036
  444.50     19.013    0.037   18.716    0.036
  445.55     19.017    0.022   18.723    0.023
  446.52     19.054    0.034   18.735    0.033
  446.64     19.088    0.058   18.776    0.052
  451.49     19.082    0.050   18.883    0.059
  452.42     19.034    0.052  -99.000  -99.000
  452.68     19.110    0.098   18.972    0.101
  453.55     19.085    0.053   18.719    0.043
  453.66     19.253    0.094   18.865    0.071
  454.51     19.216    0.142   18.885    0.137
  454.52     19.230    0.145   19.195    0.217
  457.58     19.003    0.058   18.696    0.044
  459.56    -99.000  -99.000   18.806    0.155
  460.48    -99.000  -99.000   18.938    0.154
  463.50     19.156    0.073   18.848    0.070
  465.55     19.140    0.073   18.741    0.069
  466.53     19.105    0.043   18.804    0.049
  471.47     19.057    0.023   18.793    0.025
  472.46     19.092    0.030   18.744    0.030
  473.46     19.028    0.029   18.758    0.033
  473.57     19.110    0.051   18.754    0.041
  474.47     19.131    0.035   18.813    0.033
  474.60     19.028    0.041   18.723    0.035
  475.46     19.112    0.031   18.810    0.032
  476.45     19.105    0.230  -99.000  -99.000
  476.55     19.117    0.057   18.757    0.048
  477.45     19.126    0.029   18.832    0.032
  477.55     19.115    0.068   18.751    0.055
  478.46     19.176    0.038   18.844    0.039
  480.46     19.127    0.030   18.804    0.031
  481.60     19.284    0.098   18.799    0.058
  483.54     19.083    0.044   18.770    0.038
  484.48     19.049    0.056   18.703    0.042
  485.46     19.079    0.068   18.812    0.058
  488.52    -99.000  -99.000   18.686    0.125
  489.47    -99.000  -99.000   18.905    0.070
  491.46     18.982    0.137   18.718    0.127
  494.49     19.048    0.065   18.738    0.062
  495.45     19.112    0.051   18.776    0.049
  497.44     19.128    0.059   18.713    0.053
  500.44     19.128    0.037   18.778    0.035
  501.44     19.173    0.052   18.780    0.050
  502.44     19.104    0.032   18.733    0.030
  503.45     19.128    0.028   18.777    0.026
  504.46     19.110    0.039   18.716    0.035
  507.52     19.109    0.084   18.867    0.081
  509.53     19.493    0.206   18.989    0.129
  510.52     19.041    0.096   18.880    0.090
  511.44     19.129    0.042   18.788    0.036
  512.43     19.123    0.047   18.788    0.042
  520.43     19.218    0.126   18.641    0.072
  520.84     19.056    0.122  -99.000  -99.000
  521.43     19.084    0.259  -99.000  -99.000
  522.84     19.120    0.256  -99.000  -99.000
  523.42     19.211    0.142   18.896    0.132
  528.84     19.291    0.147  -99.000  -99.000
  529.42     19.199    0.057   18.869    0.051
  529.84     19.156    0.057  -99.000  -99.000
  530.44     19.212    0.040   18.815    0.030
  531.43     19.281    0.109   18.902    0.098
  532.84     19.072    0.084  -99.000  -99.000
  539.81     19.190    0.061  -99.000  -99.000
  540.42     19.213    0.056   18.881    0.046
  541.42     19.160    0.102   18.782    0.065
  548.82     19.262    0.190  -99.000  -99.000
  557.75     19.421    0.112  -99.000  -99.000
  558.80     19.222    0.039  -99.000  -99.000
  559.84     19.194    0.116  -99.000  -99.000
  560.74     19.087    0.141  -99.000  -99.000
  561.70     19.203    0.068  -99.000  -99.000
  565.72     19.257    0.058  -99.000  -99.000
  566.72     19.198    0.058  -99.000  -99.000
  571.75     19.159    0.092  -99.000  -99.000
  573.74     19.536    0.096  -99.000  -99.000
  576.75     19.272    0.095  -99.000  -99.000
  580.70     19.361    0.132  -99.000  -99.000
  585.69     19.575    0.184  -99.000  -99.000
  586.68     19.274    0.090  -99.000  -99.000
  587.69     19.201    0.118  -99.000  -99.000
  588.72     19.253    0.046  -99.000  -99.000
  592.72     19.235    0.131  -99.000  -99.000
  593.65     19.278    0.166  -99.000  -99.000
  594.67     19.247    0.044  -99.000  -99.000
  595.65     19.306    0.072  -99.000  -99.000
  597.77     19.166    0.070  -99.000  -99.000
  598.64     19.203    0.091  -99.000  -99.000
  599.65     19.232    0.073  -99.000  -99.000
  600.71     19.292    0.110  -99.000  -99.000
  601.64     19.270    0.067  -99.000  -99.000
  631.72     19.098    0.038  -99.000  -99.000
  632.59     19.047    0.062  -99.000  -99.000
  633.62     19.090    0.039  -99.000  -99.000
  634.64     19.087    0.047  -99.000  -99.000
  641.76     18.983    0.133  -99.000  -99.000
  642.63     19.218    0.070  -99.000  -99.000
  643.64     19.118    0.051  -99.000  -99.000
  644.68     19.205    0.055  -99.000  -99.000
  645.59     19.071    0.039  -99.000  -99.000
  646.64     19.221    0.192  -99.000  -99.000
  647.63     19.118    0.076  -99.000  -99.000
  649.64     19.079    0.029  -99.000  -99.000
  650.56     19.137    0.030  -99.000  -99.000
  654.70     19.103    0.038  -99.000  -99.000
  657.73     19.200    0.046  -99.000  -99.000
  659.60     19.114    0.032  -99.000  -99.000
  660.50     19.108    0.048  -99.000  -99.000
  663.61     19.197    0.053  -99.000  -99.000
  664.62     19.056    0.090  -99.000  -99.000
  666.60     19.043    0.084  -99.000  -99.000
  668.53     19.187    0.090  -99.000  -99.000
  679.66     19.158    0.042  -99.000  -99.000
  684.56     19.143    0.023  -99.000  -99.000
  686.60     19.134    0.023  -99.000  -99.000
  688.58     19.200    0.062  -99.000  -99.000
  689.59     19.208    0.049  -99.000  -99.000
  690.56     19.186    0.071  -99.000  -99.000
  692.54     19.153    0.067  -99.000  -99.000
  694.54     19.082    0.044  -99.000  -99.000
  749.54     19.251    0.035  -99.000  -99.000
  752.54     19.296    0.060  -99.000  -99.000
  753.56     19.193    0.046  -99.000  -99.000
  754.67     19.210    0.105   18.829    0.091
  757.63    -99.000  -99.000   18.986    0.105
  758.69    -99.000  -99.000   18.600    0.083
  763.63     19.191    0.047   18.841    0.041
  767.53     19.300    0.042  -99.000  -99.000
  775.51     19.172    0.038  -99.000  -99.000
  776.59     19.165    0.041   18.872    0.041
  781.71     19.255    0.072   18.959    0.070
  782.66     19.219    0.075   18.875    0.067
  782.68     19.215    0.053   18.894    0.053
  783.74     19.170    0.042   18.836    0.035
  786.63    -99.000  -99.000   18.744    0.082
  789.38     19.397    0.116   18.862    0.064
  790.71     19.286    0.113   18.904    0.073
  792.58     19.230    0.043   18.880    0.038
  793.60     19.289    0.061   18.907    0.052
  800.58     19.266    0.082   18.848    0.070
  801.54     19.269    0.050   18.852    0.046
  802.64     19.224    0.044   18.864    0.039
  803.54    -99.000  -99.000   18.896    0.026
  805.61     19.305    0.084   18.914    0.065
  810.69     19.556    0.285   18.853    0.112
  811.61     19.223    0.106   18.977    0.092
  812.69     19.260    0.157   18.917    0.102
  813.62     19.180    0.109   19.039    0.091
  821.67     19.341    0.135   18.829    0.076
  822.67     19.252    0.067   18.870    0.050
  823.60     19.101    0.087   18.845    0.077
  824.65     19.171    0.068   18.891    0.054
  825.52    -99.000  -99.000   18.692    0.196
  826.57     19.336    0.115   18.898    0.078
  827.57     19.169    0.041   18.862    0.036
  828.54     19.229    0.048   18.823    0.040
  829.61     19.037    0.198   18.583    0.135
  832.59     19.270    0.124   18.889    0.101
  835.55     19.258    0.032   18.860    0.027
  837.51     19.204    0.039   18.893    0.037
  838.54     19.142    0.109   18.802    0.083
  840.57     19.285    0.068   18.850    0.039
  841.51     19.194    0.074   18.884    0.052
  842.52     19.175    0.061  -99.000  -99.000
  843.53    -99.000  -99.000   18.769    0.070
  846.60     18.979    0.154   18.776    0.140
  849.57     19.243    0.158   18.969    0.136
  850.58     19.099    0.058   18.787    0.042
  854.51     19.157    0.029   18.842    0.027
  855.51     19.176    0.030   18.854    0.027
  856.50     19.120    0.122   18.799    0.120
  856.55     19.107    0.111   18.948    0.120
  860.53     19.257    0.095   18.838    0.078
  861.53     19.123    0.065   18.797    0.059
  862.53     19.315    0.068   18.871    0.050
  863.50    -99.000  -99.000   19.021    0.207
  864.53     19.205    0.051   18.843    0.043
  865.51     19.179    0.062   18.858    0.054
  866.47     19.014    0.093   18.721    0.083
  882.51     19.087    0.051   18.774    0.043
  886.49    -99.000  -99.000   18.884    0.217
  888.83     19.061    0.100  -99.000  -99.000
  889.47     19.086    0.060   18.830    0.051
  890.46     19.118    0.058   18.893    0.054
  891.45     19.138    0.077   18.880    0.079
  894.83     19.081    0.084  -99.000  -99.000
  896.47     19.222    0.107   18.782    0.066
  897.81     19.010    0.114  -99.000  -99.000
  907.72     19.335    0.184  -99.000  -99.000
  908.83     19.079    0.043  -99.000  -99.000
  909.42     19.070    0.068   18.736    0.052
  910.42     19.073    0.083   18.655    0.056
  911.75     19.595    0.222  -99.000  -99.000
  913.42     19.122    0.168   18.703    0.130
  915.73     19.189    0.078  -99.000  -99.000
  916.76     19.030    0.056  -99.000  -99.000
  917.73     19.268    0.083  -99.000  -99.000
  918.81     19.006    0.026  -99.000  -99.000
  919.70     19.101    0.053  -99.000  -99.000
  923.71     19.102    0.067  -99.000  -99.000
  926.69     19.088    0.093  -99.000  -99.000
  927.76     18.995    0.048  -99.000  -99.000
  929.71     19.156    0.100  -99.000  -99.000
  929.72     19.026    0.058  -99.000  -99.000
  930.68     19.023    0.157  -99.000  -99.000
  931.68     19.220    0.194  -99.000  -99.000
  932.73     18.846    0.201  -99.000  -99.000
  933.74     18.989    0.107  -99.000  -99.000
  934.80     19.060    0.240  -99.000  -99.000
  935.78     19.375    0.295  -99.000  -99.000
  936.76     19.053    0.054  -99.000  -99.000
  937.80     19.298    0.258  -99.000  -99.000
  939.81     18.985    0.033  -99.000  -99.000
  943.70     19.048    0.058  -99.000  -99.000
  944.75     18.970    0.039  -99.000  -99.000
  945.79     18.992    0.041  -99.000  -99.000
  946.74     19.009    0.031  -99.000  -99.000
  948.71     19.190    0.088  -99.000  -99.000
  949.73     19.157    0.087  -99.000  -99.000
  950.71     19.091    0.043  -99.000  -99.000
  951.73     19.022    0.021  -99.000  -99.000
  954.68     19.012    0.065  -99.000  -99.000
  955.70     18.976    0.029  -99.000  -99.000
  956.70     18.995    0.025  -99.000  -99.000
  957.67     18.994    0.039  -99.000  -99.000
  963.70     18.841    0.246  -99.000  -99.000
  964.70     19.014    0.104  -99.000  -99.000
  965.73     18.945    0.059  -99.000  -99.000
  966.69     18.928    0.047  -99.000  -99.000
