207.16310.1050
Time(days)     V    Verr    R    Rerr
  232.61     19.242    0.039   18.928    0.032
  521.73     19.288    0.091   18.886    0.059
  533.69     19.410    0.100   18.945    0.071
  538.71     19.238    0.080   18.867    0.060
  539.64     19.216    0.089   18.802    0.066
  540.64     19.353    0.052   18.863    0.038
  541.64     19.304    0.061   18.898    0.048
  542.61     19.180    0.077   18.935    0.073
  543.61     19.226    0.076   18.898    0.064
  546.60     19.239    0.109   18.950    0.086
  555.58     19.142    0.077   18.836    0.072
  557.56     19.366    0.133   18.851    0.145
  558.62     19.267    0.110   18.825    0.081
  560.58     19.336    0.108   18.954    0.081
  561.60     19.324    0.050   18.918    0.040
  562.62     19.357    0.046   18.960    0.038
  563.55     19.161    0.086   18.792    0.067
  565.58     19.307    0.093   18.903    0.066
  566.60     19.338    0.052   18.966    0.044
  571.54     19.300    0.084   18.983    0.069
  572.55     19.343    0.069   18.937    0.049
  573.55     19.318    0.056   18.953    0.042
  580.56     19.301    0.114   19.020    0.086
  581.56     19.452    0.111   18.962    0.078
  582.50     19.270    0.086   18.927    0.069
  585.54     19.290    0.059   18.947    0.047
  586.54     19.266    0.078   18.825    0.052
  587.55     19.187    0.156   18.848    0.111
  588.56     19.324    0.049   18.956    0.039
  592.51     19.335    0.163   18.869    0.109
  593.52     19.418    0.140   18.953    0.087
  594.48     19.372    0.092   18.889    0.060
  595.48     19.224    0.098   19.040    0.105
  596.53     19.331    0.072   18.952    0.053
  598.51     19.056    0.223   18.817    0.185
  599.49    -99.000  -99.000   18.980    0.050
  600.50     19.408    0.068   19.018    0.047
  601.51     19.237    0.056   18.937    0.044
  604.50     19.317    0.116   18.998    0.082
  610.47     19.638    0.258   18.315    0.048
  632.43    -99.000  -99.000   18.974    0.076
  633.46     19.369    0.052   19.038    0.039
  634.45     19.395    0.075   19.092    0.062
  637.44    -99.000  -99.000   18.958    0.063
  642.43     19.233    0.075   18.918    0.062
  643.46     19.432    0.065   19.067    0.054
  644.50     19.311    0.041   18.991    0.034
  645.45     19.348    0.053   18.916    0.037
  648.49     19.407    0.152   19.150    0.160
  664.46     19.354    0.046   18.964    0.035
  666.49     19.135    0.134   18.719    0.090
  668.41     19.255    0.060   18.962    0.050
  679.47     19.298    0.036   18.955    0.032
  684.41     19.275    0.050   18.969    0.036
  686.52     19.272    0.040   18.962    0.033
  688.42     19.223    0.126   18.848    0.083
  688.47     19.185    0.066   18.844    0.051
  689.43     19.297    0.033   18.961    0.029
  690.43     19.248    0.102   18.783    0.066
  692.43     19.206    0.092   18.869    0.075
  694.43     19.264    0.056   18.998    0.054
  749.58     19.207    0.053   18.901    0.042
  752.60     19.288    0.095   18.992    0.064
  753.63     19.300    0.162   18.950    0.072
  754.62     19.076    0.245   18.818    0.137
  758.62     19.196    0.221  -99.000  -99.000
  761.62     19.157    0.091   18.969    0.076
  763.59     19.208    0.102   18.844    0.065
  767.57     19.262    0.071   18.921    0.051
  775.56     19.278    0.042   18.943    0.031
  776.55     19.174    0.087   18.816    0.058
  782.55     19.187    0.091   18.933    0.058
  783.58     19.066    0.154   18.478    0.052
  788.60     19.042    0.227   18.830    0.175
  789.27     19.345    0.234   18.992    0.131
  791.58     19.026    0.164   18.832    0.115
  792.54     19.081    0.076   18.781    0.053
  793.52     19.164    0.121   18.831    0.076
  800.51     19.255    0.120   18.845    0.078
  801.50    -99.000  -99.000   18.709    0.162
  803.48     19.155    0.076   18.813    0.054
  806.48     19.162    0.067   18.818    0.044
  810.48    -99.000  -99.000   18.518    0.113
  811.47     18.915    0.099   18.819    0.075
  813.46     19.220    0.185   18.759    0.085
  819.53     18.940    0.239  -99.000  -99.000
  821.52     19.051    0.139   18.748    0.080
  823.46     19.197    0.067   18.847    0.040
  824.53     19.241    0.057   18.921    0.039
  825.43    -99.000  -99.000   18.743    0.181
  826.43     19.138    0.055   18.861    0.041
  827.42     19.187    0.043   18.862    0.032
  828.43     19.216    0.055   18.893    0.041
  829.41     19.137    0.078   18.946    0.064
  833.78     19.119    0.053   18.822    0.047
  834.40     19.212    0.053   18.840    0.034
  835.46     19.344    0.149   18.890    0.089
  836.78     19.209    0.059   18.804    0.047
  837.40     18.959    0.135   18.767    0.095
  838.41     19.142    0.146   18.901    0.100
  839.39     19.309    0.118   18.819    0.053
  840.39     19.233    0.200   18.766    0.088
  841.39     19.111    0.127   18.770    0.080
  843.39     19.095    0.081   18.788    0.059
  845.79     19.056    0.139   18.674    0.093
  846.78     19.104    0.096   18.863    0.075
  847.82     19.177    0.117   18.822    0.084
  848.40     19.231    0.076   18.858    0.050
  849.44     19.153    0.095   18.836    0.071
  853.81     19.221    0.028   18.916    0.026
  854.37     19.256    0.046   18.932    0.034
  855.38     19.259    0.048   18.949    0.035
  860.42     19.085    0.083   18.950    0.085
  861.78     19.218    0.030   18.870    0.028
  862.37     19.131    0.093   18.735    0.066
  863.78     19.112    0.085   18.814    0.073
  864.37     19.162    0.094   18.864    0.075
  865.38     19.213    0.096   18.956    0.072
  868.75     19.192    0.074   18.817    0.057
  870.72    -99.000  -99.000   18.624    0.193
  871.75     19.225    0.155  -99.000  -99.000
  875.75     18.866    0.249  -99.000  -99.000
  877.74     19.193    0.067   18.895    0.053
  881.72     19.177    0.112   18.827    0.086
  888.71     19.221    0.085   18.835    0.062
  889.34     19.348    0.156   18.902    0.112
  890.34     19.047    0.084   18.808    0.089
  893.80     19.280    0.077   18.988    0.063
  894.67     19.168    0.066   18.924    0.065
  895.69     19.248    0.042   18.988    0.045
  896.78     19.286    0.078   18.940    0.064
  897.68     19.250    0.127   18.915    0.099
  899.69     19.232    0.051   18.901    0.043
  902.72     19.268    0.094   18.909    0.059
  903.66    -99.000  -99.000   18.965    0.074
  907.63     19.215    0.115   18.881    0.078
  908.68     19.248    0.052   18.902    0.038
  909.66     19.286    0.125   18.888    0.095
  910.63     19.261    0.052   18.969    0.045
  911.64     19.146    0.158   18.826    0.125
  912.81     19.353    0.037   18.994    0.034
  913.63     19.237    0.063   18.952    0.058
  914.63     19.328    0.146   18.825    0.094
  915.64     19.127    0.054   18.868    0.047
  916.65     19.279    0.036   18.941    0.031
  917.65     19.218    0.049   18.901    0.039
  918.73     19.316    0.030   18.963    0.026
  919.61     19.303    0.033   18.938    0.026
  920.74     19.267    0.060   18.954    0.053
  922.61     19.372    0.053   18.956    0.037
  923.61     19.274    0.051   18.892    0.036
  924.57     19.238    0.050   18.911    0.038
  926.59     19.359    0.104   18.923    0.070
  927.63     19.302    0.033   18.996    0.027
  929.60     19.293    0.061   18.937    0.043
  930.58     19.061    0.156   18.820    0.108
  932.60    -99.000  -99.000   18.640    0.100
  935.58     19.111    0.084   18.877    0.065
  936.55     19.306    0.042   18.992    0.035
  937.59     19.358    0.130   18.888    0.077
  938.58     19.397    0.119   19.056    0.098
  939.58     19.305    0.034   18.963    0.028
  943.52     19.266    0.179   18.761    0.102
  944.57     19.343    0.036   18.961    0.026
  945.57     19.270    0.034   18.935    0.026
  946.53     19.386    0.108   18.922    0.075
  948.54     19.243    0.041   18.942    0.035
  949.54     19.285    0.036   18.996    0.032
  950.54     19.268    0.051   18.948    0.040
  951.54     19.320    0.028   18.963    0.024
  953.57     19.427    0.248   18.948    0.164
  954.52     19.285    0.065   18.983    0.052
  955.52     19.354    0.060   18.980    0.043
  956.52     19.338    0.041   18.984    0.029
  957.47     19.111    0.060   18.927    0.052
  959.48    -99.000  -99.000   18.879    0.052
  964.54    -99.000  -99.000   18.917    0.058
  965.51     19.286    0.045   18.988    0.040
  966.52     19.332    0.039   18.931    0.028
  967.51     19.320    0.025   18.941    0.020
  968.56     19.320    0.035   18.986    0.029
  969.53     19.304    0.033   18.951    0.026
  972.52     19.260    0.033   18.928    0.026
  973.52     19.260    0.030   18.960    0.024
  974.62     19.239    0.024   18.922    0.020
  975.58     19.288    0.075   18.971    0.064
  976.58     19.253    0.094   18.922    0.067
  979.54     19.284    0.034   18.921    0.024
  980.49     19.281    0.060   18.950    0.044
  981.56     19.239    0.029   18.904    0.022
  982.54     19.293    0.022   18.924    0.016
  983.56     19.275    0.031   18.965    0.024
  984.43     19.141    0.062   18.842    0.049
  985.51    -99.000  -99.000   18.965    0.188
  986.54     19.345    0.076   18.879    0.047
  987.54     19.231    0.076   18.886    0.046
  988.54     19.129    0.083   18.924    0.063
  993.53     19.247    0.043   18.930    0.034
  994.52     19.144    0.058   18.852    0.046
