9.4882.332
Time(days)     V    Verr    R    Rerr
  200.69     18.682    0.106   18.361    0.085
  201.70     18.646    0.059   18.502    0.069
  202.76     18.719    0.046   18.419    0.042
  203.72     18.778    0.047   18.414    0.041
  205.67     18.544    0.046   18.292    0.050
  206.69     18.613    0.026   18.311    0.025
  208.67     18.707    0.064   18.397    0.056
  209.67     18.659    0.066   18.370    0.060
  210.79     18.694    0.034   18.418    0.033
  211.66     18.685    0.046   18.395    0.042
  212.70     18.688    0.052   18.298    0.044
  213.65     18.715    0.038   18.402    0.035
  218.67     18.570    0.044   18.343    0.046
  219.69     18.557    0.061   18.359    0.063
  220.66     18.540    0.054   18.414    0.058
  226.80     18.765    0.071   18.373    0.048
  233.82     18.650    0.049   18.281    0.040
  261.68     18.660    0.034   18.399    0.034
  262.64     18.713    0.026   18.439    0.023
  264.76     18.596    0.037   18.382    0.036
  265.76     18.681    0.024   18.422    0.021
  271.76     18.641    0.041   18.326    0.033
  272.79     18.575    0.032   18.366    0.028
  292.63     18.852    0.069   18.477    0.053
  293.72     18.708    0.053   18.480    0.049
  294.55     18.683    0.023   18.426    0.024
  304.51     18.726    0.046   18.433    0.041
  305.55     18.708    0.026   18.438    0.024
  306.49    -99.000  -99.000   18.397    0.036
  307.61     18.666    0.070   18.363    0.062
  308.51     18.630    0.032   18.360    0.026
  310.65     18.627    0.032   18.370    0.026
  314.71     18.895    0.079   18.397    0.052
  315.53     18.606    0.043   18.406    0.045
  316.55     18.691    0.036   18.397    0.033
  318.61     18.766    0.124   18.389    0.107
  324.66     18.751    0.041   18.444    0.038
  325.71     18.790    0.018   18.468    0.018
  326.54     18.773    0.022   18.420    0.019
  341.70     18.694    0.079   18.111    0.049
  343.53     18.815    0.069   18.408    0.051
  361.54     18.636    0.046   18.325    0.039
  362.55     18.672    0.020   18.382    0.019
  364.56     18.660    0.019   18.375    0.020
  364.74     18.706    0.031   18.450    0.036
  365.53     18.683    0.027   18.389    0.025
  365.73     18.664    0.043   18.364    0.042
  366.55     18.611    0.027   18.356    0.025
  373.50     18.699    0.035   18.394    0.029
  375.50     18.659    0.031   18.358    0.024
  375.73     18.630    0.054   18.342    0.039
  377.52     18.600    0.031   18.366    0.030
  377.70     18.594    0.052   18.359    0.043
  378.50     18.641    0.016   18.354    0.018
  378.70     18.593    0.037   18.301    0.035
  379.50     18.614    0.020   18.348    0.021
  380.58     18.652    0.038   18.387    0.038
  383.51     18.630    0.016   18.341    0.016
  383.70     18.588    0.037   18.281    0.032
  384.54     18.242    0.232  -99.000  -99.000
  384.56     18.562    0.040   18.237    0.040
  384.68     18.614    0.029   18.320    0.029
  387.58     18.647    0.014   18.360    0.013
  391.70     18.723    0.083   18.377    0.062
  392.51     18.636    0.023   18.337    0.024
