211.16703.311
Time(days)     V    Verr    R    Rerr
  232.63     18.841    0.059   18.611    0.040
  533.70     18.905    0.469   18.517    0.314
  538.72     18.705    0.323   18.483    0.197
  539.65     19.098    0.771   18.755    0.439
  540.66     18.969    0.079   18.555    0.053
  541.65     18.840    0.137   18.536    0.096
  542.63     18.848    0.186   18.472    0.114
  543.62     18.901    0.523   18.406    0.342
  546.61     18.989    0.123   18.630    0.083
  555.59     18.820    0.177   18.563    0.136
  557.58     18.840    0.072   18.538    0.066
  558.64     18.816    0.152   18.430    0.092
  560.59     18.760    0.183   18.518    0.132
  561.61     18.977    0.119   18.579    0.074
  562.62     18.870    0.065   18.518    0.048
  563.56     18.833    0.141   18.613    0.115
  565.59     18.861    0.220   18.482    0.129
  566.62     18.877    0.094   18.523    0.061
  571.56     19.078    0.179   18.555    0.091
  572.56     18.918    0.063   18.540    0.042
  573.56     18.778    0.076   18.518    0.056
  576.56     18.142    0.347   18.158    0.335
  576.62     18.921    0.189   18.778    0.141
  580.58     18.762    0.112   18.435    0.069
  581.58     18.927    0.065   18.554    0.043
  582.53     18.421    0.221   18.537    0.320
  585.56     18.839    0.092   18.515    0.059
  586.55     18.993    0.215   18.579    0.110
  587.56    -99.000  -99.000   18.598    0.375
  588.57     18.863    0.055   18.526    0.037
  592.52     18.781    0.219   18.431    0.129
  593.53     18.817    0.308   18.629    0.221
  594.49     18.827    0.129   18.441    0.076
  595.50     18.913    0.122   18.502    0.069
  596.54     18.752    0.121   18.460    0.083
  598.53     18.561    0.543   18.136    0.286
  599.51     18.921    0.042   18.550    0.031
  600.51     18.879    0.066   18.557    0.044
  601.52     18.918    0.063   18.549    0.039
  610.49     18.709    0.184   18.608    0.160
  632.45     18.817    0.120   18.472    0.070
  633.47     18.915    0.038   18.562    0.027
  634.46     18.894    0.057   18.554    0.040
  637.46     18.890    0.069   18.577    0.051
  642.44     18.817    0.142   18.475    0.094
  643.47     18.945    0.065   18.583    0.045
  644.52     18.825    0.037   18.509    0.025
  645.47     18.802    0.106   18.475    0.067
  664.47     18.880    0.033   18.577    0.027
  668.42     18.783    0.062   18.463    0.042
  679.50     18.874    0.121   18.581    0.068
  684.44     18.888    0.032   18.539    0.021
  686.55     18.971    0.043   19.043    0.056
  688.46     18.864    0.174   18.531    0.094
  689.44     18.920    0.099   18.509    0.089
  690.44     18.920    0.212   18.560    0.110
  692.44     18.840    0.209   18.375    0.108
  694.44     18.795    0.099   18.557    0.066
  749.60     18.750    0.146   18.482    0.112
  752.62     18.932    0.118   18.500    0.078
  753.65     19.321    0.419   18.676    0.150
  754.63     19.284    0.497   18.893    0.301
  757.56    -99.000  -99.000   18.268    0.083
  758.64    -99.000  -99.000   18.445    0.131
  761.64     18.861    0.133   18.547    0.102
  763.61     18.846    0.137   18.460    0.087
  767.58     18.870    0.142   18.438    0.091
  775.57     18.870    0.067   18.477    0.037
  776.56     18.846    0.179   18.502    0.116
  781.58     18.829    0.197   18.599    0.177
  782.56     18.870    0.107   18.520    0.081
  789.30     19.433    0.822  -99.000  -99.000
  791.59     19.241    0.696   18.630    0.304
  792.55     19.115    0.354   18.666    0.160
  793.54     19.034    0.450   18.687    0.264
  800.53     19.185    0.512   18.933    0.402
  803.50     18.811    0.082   18.517    0.060
  806.50     18.910    0.139   18.419    0.077
  810.49     18.952    0.486  -99.000  -99.000
  811.49     18.965    0.197   18.560    0.117
  813.48     18.805    0.197   18.586    0.159
  823.48     18.879    0.065   18.534    0.056
  824.53     19.039    0.092   19.014    0.075
  825.45     18.297    0.455   18.071    0.378
  826.45     18.973    0.181   18.555    0.099
  827.44     18.885    0.055   18.553    0.037
  828.44     18.835    0.080   18.457    0.050
  829.81     19.070    0.588  -99.000  -99.000
  833.79     18.930    0.112   18.535    0.064
  834.42     18.889    0.074   18.533    0.054
  835.48     19.108    0.261   18.663    0.144
  836.80     18.885    0.174   18.442    0.092
  837.42     19.110    0.320   18.562    0.131
  838.42     19.199    0.523   18.802    0.319
  839.40     18.821    0.365   18.540    0.226
  840.40     19.129    0.401   18.628    0.159
  841.40     18.955    0.126   18.531    0.084
  843.41     18.935    0.081   18.614    0.063
  845.80     18.712    0.169   18.398    0.107
  846.82     18.851    0.155  -99.000  -99.000
  847.81     18.823    0.160   18.517    0.101
  849.46     18.939    0.181   18.573    0.102
  850.44     18.879    0.201   18.327    0.098
  853.82     18.907    0.037   18.408    0.032
  854.38     18.950    0.058   18.561    0.037
  855.40     18.961    0.070   18.517    0.042
  860.43     19.565    0.683   18.872    0.217
  861.80     18.851    0.033   18.566    0.028
  862.38     19.178    0.261   18.625    0.132
  863.80     18.659    0.182   18.436    0.120
  864.39    -99.000  -99.000   18.005    0.240
  865.39     19.168    0.388   18.643    0.183
  868.77     18.866    0.173   18.476    0.087
  869.39     19.219    0.483   18.909    0.342
  870.74     17.796    0.398   17.922    0.394
  871.77     18.874    0.071   18.543    0.061
  873.37    -99.000  -99.000   18.630    0.401
  875.78    -99.000  -99.000   17.779    0.275
  875.80     18.024    0.264   18.289    0.342
  877.76     18.600    0.105   18.376    0.077
  881.74     18.895    0.362   18.666    0.249
  888.73     18.730    0.279   18.283    0.140
  889.36     19.396    0.537   18.696    0.199
  890.35     18.843    0.205   18.562    0.123
  891.35     18.949    0.125   18.574    0.071
  893.82     18.533    0.169   18.333    0.130
  894.69     18.566    0.100   18.296    0.071
  895.71     18.863    0.146   18.510    0.095
  897.70     17.174    0.182   17.173    0.158
  899.71     18.864    0.060   18.513    0.040
  902.74     18.798    0.099   18.444    0.056
  903.67    -99.000  -99.000   18.246    0.100
  907.65     18.895    0.153   18.531    0.089
  908.70     18.864    0.053   18.534    0.034
  909.68     18.912    0.124   18.555    0.099
  910.65     18.744    0.067   18.403    0.044
  911.65     18.596    0.352   18.501    0.283
  913.65     18.838    0.131   18.412    0.072
  915.66     18.833    0.098   18.431    0.054
  916.67     18.846    0.032   18.519    0.024
  917.67     18.747    0.072   18.439    0.044
  918.75     18.874    0.025   18.570    0.020
  919.63     18.852    0.039   18.516    0.027
  920.76     18.713    0.215   18.398    0.096
  922.63     18.846    0.055   18.526    0.037
  923.63     18.837    0.062   18.471    0.037
  924.59     18.838    0.088   18.593    0.062
  925.63     18.698    0.444   18.248    0.214
  925.65     18.555    0.184   18.310    0.127
  926.60     18.785    0.264   18.380    0.146
  927.65     18.829    0.037   18.501    0.026
  929.61     18.866    0.043   18.518    0.029
  929.77     18.818    0.032   18.494    0.024
  929.78     18.824    0.024   18.490    0.017
  929.79     18.770    0.020   18.472    0.016
  929.80     18.766    0.035   18.475    0.025
  930.60     18.761    0.290   18.422    0.155
  931.54     18.925    0.261   18.583    0.151
  931.56    -99.000  -99.000   18.709    0.221
  931.57     18.867    0.250   18.494    0.130
  932.62    -99.000  -99.000   18.620    0.172
  934.73     18.732    0.141   18.454    0.081
  935.60     18.580    0.175   18.336    0.112
  936.57     18.859    0.036   18.509    0.028
  937.61     17.794    0.335   17.633    0.222
  938.61     18.767    0.161   18.339    0.082
  939.60     18.839    0.026   18.522    0.019
  943.55     18.516    0.352   18.203    0.194
  944.60     18.776    0.061   18.473    0.039
  945.60     18.774    0.061   18.457    0.036
  946.56     18.910    0.146   18.413    0.093
