64.8092.454
Time(days)     V    Verr    R    Rerr
  383.57     20.305    0.068   20.131    0.074
  397.76     20.579    0.374   20.328    0.312
  419.67     20.547    0.093   20.169    0.079
  436.59     20.488    0.226   20.141    0.182
  471.56     20.415    0.220   20.441    0.300
  494.51     20.031    0.221   20.577    0.611
  501.46     20.440    0.170   20.546    0.291
  542.79     20.445    0.381   20.363    0.440
  561.84     20.456    0.170   20.236    0.187
  571.78     20.632    0.366   20.018    0.202
  586.71     20.462    0.241   20.920    0.573
  593.71     20.744    0.563   19.975    0.239
  599.78     20.410    0.102   20.106    0.090
  632.72     20.619    0.126   20.358    0.116
  645.70     20.434    0.112   20.160    0.109
  650.73     20.423    0.064   20.227    0.073
  660.70     20.513    0.069   20.334    0.076
  668.67     20.676    0.340   20.492    0.330
  686.62     20.566    0.069   20.256    0.063
  690.63     20.541    0.131   20.320    0.131
  753.68     20.689    0.206   20.054    0.123
  763.71     20.571    0.220   20.163    0.150
  826.60     20.371    0.220   20.180    0.195
  838.56     19.933    0.384  -99.000  -99.000
  895.81    -99.000  -99.000   18.913    0.221
  907.78     20.795    0.545   20.205    0.262
  914.74     19.763    0.243   19.662    0.289
  930.69     20.008    0.515   19.989    0.586
  933.79     20.408    0.311   20.080    0.204
  948.80     20.542    0.235   20.308    0.240
  955.76     20.252    0.059   20.013    0.060
  964.76     19.973    0.287   19.662    0.200
  983.72     20.250    0.053   19.953    0.048
 1000.72     19.571    0.368  -99.000  -99.000
 1002.75     20.182    0.120   19.949    0.111
 1016.68     20.304    0.069   20.093    0.065
 1026.65     20.237    0.085   19.901    0.074
 1053.62     20.157    0.276   20.176    0.427
 1076.54     20.304    0.096   20.054    0.087
 1093.73     20.098    0.074   19.752    0.073
 1105.72     20.211    0.045   19.981    0.051
 1117.57     20.135    0.073   19.930    0.075
 1119.63     20.333    0.085   19.983    0.080
 1123.70     20.286    0.051   20.061    0.054
 1129.53     20.356    0.094   20.064    0.091
 1132.74     20.327    0.117   19.978    0.090
 1164.70     19.887    0.309   19.671    0.276
 1165.48     20.963    0.486   20.141    0.190
 1174.61     20.210    0.108   20.007    0.103
 1185.55     20.067    0.085   19.579    0.062
 1206.51     20.172    0.068   19.970    0.066
 1304.80     20.126    0.129   19.784    0.108
 1314.60    -99.000  -99.000   19.186    0.268
 1316.77     20.155    0.148   19.959    0.110
 1319.81     20.158    0.107   19.866    0.070
 1324.59     20.178    0.204   19.715    0.126
 1330.71     20.102    0.070   19.910    0.065
 1343.80     20.081    0.076   19.871    0.075
 1347.77     20.148    0.112   20.015    0.088
 1359.62     20.056    0.046   19.789    0.043
 1364.66     20.192    0.059   19.874    0.045
 1374.74     20.252    0.206   19.964    0.128
 1390.64     20.122    0.073   19.845    0.068
 1406.71     20.066    0.477  -99.000  -99.000
 1422.68     20.035    0.060   19.777    0.063
 1425.58     20.065    0.036   19.793    0.032
 1448.60     20.002    0.057   19.734    0.052
 1503.72     19.908    0.072   19.787    0.084
 1534.64     20.119    0.234  -99.000  -99.000
 1550.59     19.820    0.153   19.610    0.112
 1577.55     19.684    0.140   19.567    0.128
 1604.49     19.991    0.102   19.709    0.088
 1655.77     19.831    0.068   19.628    0.071
 1687.76     19.782    0.055   19.694    0.068
 1745.65     19.850    0.052   19.623    0.054
 1751.65     19.817    0.061   19.689    0.066
 1753.64     19.858    0.044   19.685    0.047
 1766.60     19.913    0.036   19.758    0.037
 1776.64     19.853    0.083   19.644    0.078
 1787.65     19.901    0.131   19.802    0.147
 1802.60     19.926    0.039   19.761    0.045
 1809.68     19.972    0.033   19.842    0.043
 1821.68     19.880    0.072   19.788    0.083
 1832.73     19.976    0.053   19.793    0.062
 1845.66     20.002    0.067   19.843    0.080
 1857.62     20.060    0.349   19.654    0.274
 1862.61     20.060    0.176   19.924    0.212
 1871.66     20.085    0.080   19.839    0.075
 1874.50     20.100    0.081   19.934    0.093
 1884.63     19.966    0.062   19.884    0.071
 1895.53     20.161    0.047   19.943    0.054
 1898.51     20.087    0.057   19.913    0.068
 1899.62     20.158    0.079   19.980    0.087
 1904.53     19.720    0.242   19.826    0.274
