22.5595.1333
Time(days)     V    Verr    R    Rerr
  205.81     18.806    0.050  -99.000  -99.000
  218.76     18.836    0.043  -99.000  -99.000
  219.79     18.995    0.036  -99.000  -99.000
  220.75     18.868    0.053  -99.000  -99.000
  228.76     18.937    0.116  -99.000  -99.000
  262.77     18.967    0.037  -99.000  -99.000
  285.67     18.891    0.035  -99.000  -99.000
  292.70     19.131    0.132  -99.000  -99.000
  294.65     18.927    0.025  -99.000  -99.000
  296.65     18.916    0.049  -99.000  -99.000
  304.59     18.915    0.037  -99.000  -99.000
  305.67     18.911    0.022  -99.000  -99.000
  306.57     18.998    0.048  -99.000  -99.000
  308.59     18.961    0.041  -99.000  -99.000
  315.64     19.081    0.063  -99.000  -99.000
  316.69     18.917    0.051  -99.000  -99.000
  318.70     18.887    0.044  -99.000  -99.000
  342.64     18.869    0.091  -99.000  -99.000
  343.63     19.040    0.114  -99.000  -99.000
  373.59     19.117    0.073  -99.000  -99.000
  392.69     19.003    0.032   18.643    0.030
  414.52     18.981    0.022   18.643    0.021
  420.68     18.956    0.030   18.681    0.031
  421.73     18.910    0.094   18.690    0.093
  427.71     19.030    0.066   18.773    0.061
  445.59     19.019    0.032   18.688    0.031
  457.62     18.838    0.068   18.589    0.054
  472.52     19.032    0.055   18.601    0.048
  474.62     18.965    0.042   18.651    0.036
  488.56    -99.000  -99.000   18.574    0.126
  501.53     19.057    0.099   18.615    0.071
  502.47     18.873    0.023   18.605    0.025
  511.49     18.869    0.047   18.591    0.043
  529.47     18.987    0.079   18.568    0.056
  540.44     18.917    0.048   18.580    0.040
  565.80     18.754    0.049  -99.000  -99.000
  578.77     18.855    0.113  -99.000  -99.000
  578.78     18.880    0.102  -99.000  -99.000
  587.76     18.950    0.064  -99.000  -99.000
  595.75     18.853    0.041  -99.000  -99.000
  629.68     18.745    0.026  -99.000  -99.000
  633.74     18.751    0.021  -99.000  -99.000
  647.68     18.771    0.076  -99.000  -99.000
  660.55     18.733    0.027  -99.000  -99.000
  666.67     18.750    0.062  -99.000  -99.000
  684.61     18.693    0.019  -99.000  -99.000
  688.66     18.602    0.034  -99.000  -99.000
  692.67     18.473    0.129  -99.000  -99.000
  692.68     18.639    0.019  -99.000  -99.000
  749.74     18.764    0.037   18.391    0.032
  752.57     18.740    0.035  -99.000  -99.000
  755.71     18.801    0.158  -99.000  -99.000
  775.61     18.869    0.020   18.408    0.016
  792.62     18.683    0.032   18.375    0.030
  803.66    -99.000  -99.000   18.384    0.024
  827.62     18.826    0.042   18.410    0.030
  842.59     18.763    0.072   18.344    0.038
  855.58     18.878    0.038   18.448    0.025
