208.15920.619
Time(days)     V    Verr    R    Rerr
  533.70     19.322    0.219   18.911    0.172
  538.71     19.287    0.108   19.237    0.147
  539.65     19.231    0.129   18.902    0.116
  540.65     19.530    0.086   19.164    0.075
  541.65     18.909    0.056   18.964    0.087
  542.62     19.492    0.179   19.049    0.134
  543.61     19.162    0.088   19.133    0.109
  546.60     19.365    0.160   19.265    0.154
  555.59     19.450    0.138   19.270    0.155
  557.57     19.254    0.082   19.134    0.105
  558.63     19.336    0.168   19.123    0.170
  560.58     19.195    0.198   19.164    0.252
  561.60     19.275    0.064   19.100    0.076
  562.66     19.323    0.070   19.094    0.071
  563.56     19.519    0.133   19.255    0.134
  565.58     19.291    0.119   19.064    0.117
  566.61     19.231    0.064   19.176    0.092
  571.55     19.155    0.113   18.937    0.110
  572.55     19.353    0.082   19.272    0.087
  573.55     19.293    0.085   19.091    0.075
  576.55    -99.000  -99.000   18.586    0.399
  576.59     19.217    0.146   19.134    0.154
  580.57     19.433    0.157   19.471    0.195
  581.57     19.276    0.075   19.258    0.094
  581.57     19.328    0.073   19.222    0.081
  582.51     19.363    0.109   19.353    0.143
  585.55     19.370    0.089   19.231    0.103
  586.54     19.363    0.113   19.361    0.157
  587.55     19.359    0.239   19.187    0.239
  588.57     19.333    0.054   19.270    0.085
  592.52     19.245    0.130   19.365    0.229
  593.52     19.492    0.189   19.227    0.176
  594.48     19.348    0.134   19.241    0.160
  595.49     19.515    0.247   19.136    0.189
  596.53     19.460    0.103   19.310    0.124
  599.49     19.467    0.079   19.250    0.078
  600.50     19.380    0.085   19.230    0.079
  601.51     19.367    0.092   19.249    0.087
  604.50     19.554    0.182   19.276    0.140
  610.48     19.389    0.171   19.410    0.235
  632.44     19.319    0.132   19.309    0.153
  633.47     19.379    0.074   19.233    0.070
  637.45     19.402    0.116   19.190    0.100
  642.43     19.440    0.104   19.222    0.115
  643.46     19.401    0.081   19.238    0.090
  644.51     19.334    0.048   19.212    0.066
  645.46     19.335    0.062   19.184    0.077
  664.46     19.312    0.059   19.174    0.061
  666.49     19.241    0.248   19.191    0.279
  668.41     19.307    0.093   19.147    0.092
  679.48     19.291    0.052   19.137    0.071
  684.42     19.265    0.050   19.185    0.055
  686.53     19.351    0.065   19.128    0.064
  688.43    -99.000  -99.000   19.738    0.385
  688.48     19.356    0.133   19.597    0.285
  689.43     19.310    0.040   19.155    0.048
  690.43     19.442    0.127   19.334    0.152
  692.43     19.387    0.131   19.081    0.116
  694.43     19.423    0.078   19.215    0.074
  749.59     19.246    0.067   19.135    0.095
  752.61     19.321    0.118   19.279    0.145
  753.64     19.325    0.145   19.097    0.112
  754.62    -99.000  -99.000   19.400    0.298
  761.63     19.239    0.127   19.178    0.171
  763.60     19.434    0.136  -99.000  -99.000
  767.57     19.180    0.081   19.093    0.107
  775.56     19.174    0.046   19.035    0.051
  776.55     19.184    0.094   19.072    0.120
  781.57    -99.000  -99.000   18.700    0.180
  782.55     19.183    0.108   19.206    0.130
  788.61     18.930    0.261   18.759    0.270
  788.61     19.177    0.312   19.000    0.301
  789.28     19.184    0.136   19.103    0.162
  791.59     18.887    0.194   18.018    0.078
  792.54     19.139    0.103   18.857    0.092
  793.53     19.374    0.172   19.047    0.152
  800.52     19.281    0.145   18.946    0.142
  803.49     19.326    0.087   18.999    0.083
  806.49     19.310    0.073   19.202    0.091
  810.48    -99.000  -99.000   19.354    0.373
  811.48     19.319    0.170   19.251    0.178
