48.2620.2719
Time(days)     V    Verr    R    Rerr
  304.75     18.950    0.045   18.548    0.036
  377.59     19.023    0.100   18.536    0.063
  419.57     18.843    0.022  -99.000  -99.000
  422.67     18.808    0.062   18.538    0.053
  445.62     18.859    0.048   18.547    0.042
  472.54     18.958    0.030   18.685    0.030
  485.53    -99.000  -99.000   18.567    0.179
  503.47     19.032    0.043   18.782    0.042
  540.84     19.100    0.063   18.796    0.063
  557.83     19.088    0.056   18.770    0.051
  565.83     19.134    0.085   18.780    0.072
  580.75     19.146    0.081   18.801    0.054
  587.79     19.224    0.055   18.852    0.046
  599.69     19.218    0.045   18.902    0.037
  601.75     19.272    0.037   18.897    0.030
  610.71     19.620    0.217   18.931    0.087
  634.68     19.257    0.045   18.949    0.035
  647.71     19.012    0.075   18.691    0.058
  660.59     19.157    0.038   18.874    0.035
  666.69     19.328    0.107   18.877    0.063
  684.63     19.243    0.028   18.910    0.024
  689.61     19.343    0.082   18.964    0.060
  694.61     19.159    0.044   18.888    0.037
  752.66     19.294    0.059   18.996    0.059
  757.66    -99.000  -99.000   19.118    0.122
  775.64    -99.000  -99.000   19.078    0.042
  782.72    -99.000  -99.000   18.961    0.067
  786.65    -99.000  -99.000   18.845    0.104
  805.65    -99.000  -99.000   19.182    0.107
  828.59     19.324    0.060   19.102    0.058
  854.53     19.383    0.056   18.993    0.044
  855.53     19.374    0.052   19.052    0.045
  889.83     19.409    0.089   19.031    0.078
  911.81     19.193    0.083   18.935    0.072
  918.84     19.277    0.042   18.976    0.053
  929.73     19.130    0.061   18.801    0.052
  932.78    -99.000  -99.000   18.725    0.110
  946.79     19.209    0.041   18.861    0.036
  954.78     19.207    0.092   18.857    0.066
  963.74     19.413    0.220   18.898    0.099
  982.73     19.355    0.032  -99.000  -99.000
  996.72     19.226    0.135   18.728    0.075
 1012.71     19.088    0.071   18.786    0.058
 1026.60     19.271    0.042   18.906    0.035
 1047.64     19.238    0.126  -99.000  -99.000
 1067.62     19.237    0.019  -99.000  -99.000
 1068.70     19.229    0.030  -99.000  -99.000
 1069.71     19.244    0.038  -99.000  -99.000
 1073.68     19.190    0.037  -99.000  -99.000
 1074.70     19.250    0.027  -99.000  -99.000
 1080.50     19.263    0.097  -99.000  -99.000
 1081.68     19.251    0.093   18.933    0.077
 1093.56     19.221    0.044  -99.000  -99.000
 1105.59     19.258    0.030  -99.000  -99.000
 1107.68     19.227    0.046   18.866    0.042
 1116.62     19.154    0.055   18.839    0.043
 1118.74     19.136    0.068   18.848    0.060
 1123.58     19.145    0.026   18.820    0.026
 1124.76     19.046    0.139   18.778    0.107
 1126.60     19.132    0.028   18.851    0.028
 1128.67     19.161    0.059   18.838    0.052
 1132.53     19.145    0.030   18.860    0.030
 1137.59     19.216    0.056   18.848    0.044
 1142.71     19.160    0.152   18.879    0.092
 1145.72     19.139    0.102   18.845    0.075
 1164.58     18.959    0.053   18.710    0.050
 1166.59     18.987    0.085   18.723    0.060
 1167.61     19.178    0.091   18.769    0.052
 1172.61     19.143    0.087   18.801    0.062
 1176.62     19.017    0.138   18.625    0.092
 1179.54     19.097    0.031   18.805    0.030
 1182.55     19.113    0.051   18.809    0.047
 1184.55     19.108    0.054   18.766    0.045
 1187.57     19.102    0.045   18.763    0.038
 1195.55     19.256    0.060   18.877    0.037
 1204.54     19.187    0.071   18.840    0.055
 1209.48     19.177    0.035   18.856    0.033
 1250.41     18.582    0.030   18.822    0.062
 1265.38     19.032    0.187   18.873    0.190
 1267.83     19.286    0.041   18.948    0.038
 1299.72     19.328    0.085   18.917    0.060
 1309.75     19.136    0.133   18.861    0.101
 1310.83     19.274    0.068   18.831    0.060
 1313.63     19.288    0.101   18.981    0.078
 1315.76     19.299    0.119   18.981    0.081
 1319.59     19.431    0.137   19.006    0.069
 1320.82     19.408    0.051  -99.000  -99.000
 1323.64     19.364    0.117   18.945    0.078
 1325.63    -99.000  -99.000   18.785    0.124
 1329.59    -99.000  -99.000   18.848    0.120
 1332.66     19.360    0.080   18.987    0.060
 1334.71     19.369    0.042  -99.000  -99.000
 1338.71     19.349    0.050   19.039    0.046
 1342.75     19.352    0.073   19.054    0.067
 1347.66     19.507    0.092   19.239    0.066
 1358.75     19.185    0.052   18.843    0.044
 1363.73     19.168    0.053   18.902    0.047
 1366.71     19.202    0.040   18.844    0.033
 1371.68     19.175    0.064   18.809    0.044
 1373.77     19.207    0.046   18.854    0.038
 1380.76     19.157    0.044  -99.000  -99.000
 1382.77     19.276    0.050   18.888    0.039
 1383.72     19.113    0.031   18.792    0.028
 1390.68     19.142    0.034   18.827    0.033
 1398.49     19.167    0.059   18.895    0.052
 1399.60     18.838    0.148   18.715    0.145
 1415.52     19.256    0.029   18.915    0.026
 1422.73     19.210    0.039  -99.000  -99.000
 1424.63     19.001    0.068   18.786    0.065
 1434.67     19.241    0.095   18.937    0.081
 1438.70     19.345    0.095   18.974    0.069
 1440.70     19.229    0.078   18.858    0.058
 1448.64     19.291    0.038   18.917    0.033
 1449.71     19.218    0.043   18.859    0.039
 1454.55     19.349    0.026   18.999    0.025
 1465.67     19.358    0.067   19.024    0.049
 1466.69     19.354    0.064   19.005    0.046
 1469.74     19.335    0.082   19.039    0.064
 1479.62     19.224    0.129   18.851    0.110
 1484.73     19.233    0.036   18.967    0.036
 1485.75     19.238    0.073   18.910    0.060
 1486.54     19.245    0.034   18.929    0.032
 1500.67     19.289    0.119   18.904    0.081
 1502.66     19.267    0.071   18.921    0.060
 1508.72     19.217    0.060   18.907    0.052
 1531.58     19.247    0.035   18.957    0.035
 1550.55     19.180    0.112   18.764    0.059
 1563.46     18.938    0.046   18.681    0.045
 1570.45     19.037    0.053   18.774    0.053
 1574.44     19.071    0.052   18.761    0.046
 1577.40     19.137    0.096   18.718    0.064
 1590.48     19.192    0.099   18.813    0.080
 1594.49     19.271    0.047   18.935    0.039
 1597.41     19.164    0.042   18.848    0.040
 1601.46     19.257    0.039   18.917    0.033
 1605.41     19.102    0.047   18.816    0.040
 1610.42     19.221    0.130   18.711    0.083
 1619.83     19.226    0.095   18.750    0.060
 1623.41     19.121    0.051   18.880    0.049
 1631.79     19.032    0.056   18.717    0.050
 1649.84     19.064    0.047   18.699    0.040
 1654.79     19.016    0.045   18.688    0.041
 1677.82     19.063    0.059   18.708    0.050
 1679.79     18.998    0.049   18.676    0.043
 1682.75     19.126    0.025   18.783    0.022
 1685.65     19.081    0.065   18.731    0.049
 1687.70     19.034    0.050   18.716    0.043
 1689.80     19.045    0.042   18.725    0.037
 1691.81     19.120    0.037   18.770    0.033
 1696.72     19.144    0.032   18.807    0.028
 1697.81     19.171    0.058   18.833    0.057
 1725.65     18.883    0.085   18.625    0.068
 1727.54     18.950    0.072   18.680    0.054
 1729.72     19.188    0.141   18.654    0.063
 1736.74     19.024    0.019   18.721    0.018
 1741.66     18.955    0.035   18.675    0.034
 1745.69     18.962    0.040   18.614    0.034
 1746.72     19.043    0.023   18.703    0.020
 1747.70     19.051    0.018   18.737    0.019
 1748.68     18.979    0.027   18.655    0.025
 1751.69     18.952    0.032   18.647    0.029
 1753.68     19.004    0.030   18.673    0.027
 1754.71     19.051    0.018   18.697    0.017
 1756.72     19.000    0.026   18.712    0.026
 1765.70     19.082    0.044   18.904    0.054
 1766.64     19.078    0.025   18.724    0.021
 1773.60     19.003    0.040   18.659    0.034
 1774.57     19.180    0.064   18.761    0.050
 1776.53     19.092    0.037   18.742    0.031
 1778.56     19.048    0.035   18.707    0.032
 1782.70     19.102    0.036   18.731    0.032
 1783.66     19.122    0.027   18.783    0.026
 1787.54     19.160    0.051   18.802    0.042
 1789.55     19.185    0.082   18.835    0.071
