61.8199.302
Time(days)     V    Verr    R    Rerr
  378.61     18.933    0.030   18.655    0.031
  397.76     18.904    0.063   18.604    0.044
  419.65     18.867    0.020   18.646    0.019
  420.69     18.843    0.031   18.506    0.025
  445.59     18.853    0.029   18.595    0.026
  457.63     18.928    0.078   18.624    0.043
  502.48     18.941    0.027   18.717    0.025
  512.45     18.917    0.042   18.677    0.033
  540.81     18.853    0.042   18.604    0.037
  565.81     18.932    0.047   18.669    0.045
  580.73     18.817    0.079   18.529    0.050
  587.77     18.888    0.042   18.695    0.043
  595.76     18.900    0.040   18.686    0.039
  599.61     18.878    0.036   18.633    0.028
  610.68     18.948    0.093   18.665    0.066
  629.71     18.877    0.023   18.660    0.022
  633.75     18.950    0.022   18.694    0.020
  634.65     18.907    0.030   18.644    0.024
  647.69     18.967    0.057   18.697    0.052
  660.56     18.903    0.030   18.669    0.027
  666.67     18.994    0.062   18.780    0.048
  684.62     18.904    0.017   18.652    0.015
  688.68     18.948    0.037   18.723    0.036
  692.68     18.925    0.020   18.673    0.019
  694.56     18.930    0.037   18.686    0.029
  749.75     18.867    0.048   18.715    0.047
  752.58     18.948    0.035   18.678    0.031
  755.72     19.095    0.177  -99.000  -99.000
  775.62     18.936    0.019   18.677    0.019
  792.63     18.880    0.061   18.569    0.051
  827.62     18.907    0.051   18.695    0.037
  843.59    -99.000  -99.000   18.629    0.071
  863.52     18.794    0.118   18.712    0.122
  866.50    -99.000  -99.000   18.309    0.140
  889.80     18.848    0.080   18.530    0.076
  909.76     18.934    0.103   18.814    0.097
  923.75     18.863    0.040   18.627    0.038
  930.72     18.898    0.079   18.765    0.080
  936.79     18.967    0.051   18.711    0.039
  949.78     18.985    0.039   18.660    0.033
  955.78     18.934    0.025   18.684    0.023
  968.74     18.945    0.038   18.668    0.031
  984.69     18.903    0.042   18.692    0.038
  993.72     18.762    0.167   18.601    0.123
 1007.69     18.904    0.020   18.658    0.017
 1016.71     18.896    0.016   18.654    0.015
 1026.67     18.895    0.025   18.649    0.023
 1067.67     18.898    0.014   18.638    0.014
 1068.68     18.892    0.018   18.643    0.016
 1069.69     18.858    0.014   18.634    0.014
 1073.67     18.881    0.019   18.631    0.018
 1074.68     18.923    0.013   18.656    0.013
 1077.72     18.887    0.045   18.660    0.045
 1080.73     18.841    0.049  -99.000  -99.000
