9.5484.258
Time(days)     V    Verr    R    Rerr
  200.69     18.491    0.085  -99.000  -99.000
  201.70     18.598    0.055  -99.000  -99.000
  202.76     18.516    0.036  -99.000  -99.000
  203.72     18.598    0.037  -99.000  -99.000
  205.67     18.560    0.047  -99.000  -99.000
  206.69     18.512    0.023  -99.000  -99.000
  209.67     18.407    0.051  -99.000  -99.000
  210.79     18.562    0.031  -99.000  -99.000
  211.66     18.540    0.038  -99.000  -99.000
  212.70     18.467    0.040  -99.000  -99.000
  213.65     18.511    0.030  -99.000  -99.000
  218.67     18.581    0.042  -99.000  -99.000
  219.69     18.592    0.061  -99.000  -99.000
  220.66     18.464    0.050  -99.000  -99.000
  226.80     18.532    0.051  -99.000  -99.000
  231.77     18.586    0.030  -99.000  -99.000
  232.73     18.527    0.022  -99.000  -99.000
  233.82     18.454    0.038  -99.000  -99.000
  261.68     18.465    0.027  -99.000  -99.000
  262.64     18.536    0.022  -99.000  -99.000
  264.76     18.547    0.034  -99.000  -99.000
  265.76     18.528    0.020  -99.000  -99.000
  271.76     18.598    0.037  -99.000  -99.000
  272.79     18.587    0.030  -99.000  -99.000
  292.63     18.636    0.055  -99.000  -99.000
  293.72     18.601    0.050  -99.000  -99.000
  294.55     18.502    0.020  -99.000  -99.000
  295.76     18.512    0.025  -99.000  -99.000
  304.51     18.611    0.042  -99.000  -99.000
  305.55     18.487    0.022  -99.000  -99.000
  306.49     18.502    0.037  -99.000  -99.000
  307.61     18.648    0.066  -99.000  -99.000
  308.51     18.525    0.029  -99.000  -99.000
  310.65     18.563    0.029  -99.000  -99.000
  314.71     18.565    0.054  -99.000  -99.000
  315.53     18.626    0.045  -99.000  -99.000
  316.55     18.535    0.031  -99.000  -99.000
  318.61     18.601    0.097  -99.000  -99.000
  324.66     18.602    0.035  -99.000  -99.000
  325.71     18.540    0.015  -99.000  -99.000
  326.54     18.553    0.018  -99.000  -99.000
  341.70     18.550    0.061  -99.000  -99.000
  343.53     18.568    0.052  -99.000  -99.000
  361.54     18.526    0.040  -99.000  -99.000
  362.55     18.532    0.017  -99.000  -99.000
  364.56     18.522    0.016  -99.000  -99.000
  364.74     18.545    0.023   18.189    0.028
  365.53     18.518    0.022  -99.000  -99.000
