208.16034.100
Time(days)     V    Verr    R    Rerr
  232.61     18.024    0.018  -99.000  -99.000
  533.70     18.000    0.062  -99.000  -99.000
  538.71     18.052    0.037  -99.000  -99.000
  539.65     18.095    0.045  -99.000  -99.000
  540.65     18.087    0.025  -99.000  -99.000
  541.65     18.069    0.029  -99.000  -99.000
  542.62     18.054    0.045  -99.000  -99.000
  543.61     18.035    0.036  -99.000  -99.000
  546.60     18.027    0.051  -99.000  -99.000
  555.59     17.988    0.038  -99.000  -99.000
  557.57     17.985    0.029  -99.000  -99.000
  558.63     18.020    0.050  -99.000  -99.000
  560.58     18.108    0.077  -99.000  -99.000
  561.60     17.995    0.022  -99.000  -99.000
  562.66     17.998    0.023  -99.000  -99.000
  563.56     17.942    0.033  -99.000  -99.000
  565.58     17.915    0.035  -99.000  -99.000
  566.61     17.931    0.022  -99.000  -99.000
  571.55     17.909    0.037  -99.000  -99.000
  572.55     17.968    0.027  -99.000  -99.000
  573.55     17.944    0.027  -99.000  -99.000
  576.59     18.013    0.050  -99.000  -99.000
  580.57     17.989    0.047  -99.000  -99.000
  581.57     17.911    0.025  -99.000  -99.000
  581.57     17.945    0.023  -99.000  -99.000
  582.51     17.971    0.034  -99.000  -99.000
  585.55     17.962    0.026  -99.000  -99.000
  586.54     17.946    0.034  -99.000  -99.000
  588.57     17.913    0.017  -99.000  -99.000
  592.52     17.879    0.042  -99.000  -99.000
  593.52     17.926    0.044  -99.000  -99.000
  594.48     17.912    0.039  -99.000  -99.000
  595.49     17.997    0.062  -99.000  -99.000
  596.53     17.898    0.025  -99.000  -99.000
  599.49     17.887    0.021  -99.000  -99.000
  600.50     17.916    0.025  -99.000  -99.000
  601.51     17.894    0.027  -99.000  -99.000
  604.50     17.877    0.040  -99.000  -99.000
  610.48     17.889    0.047  -99.000  -99.000
  632.44     17.935    0.040  -99.000  -99.000
  633.47     17.932    0.022  -99.000  -99.000
  637.45     17.953    0.033  -99.000  -99.000
  642.43     17.964    0.027  -99.000  -99.000
  643.46     17.926    0.024  -99.000  -99.000
  644.51     18.001    0.016  -99.000  -99.000
  645.46     17.976    0.019  -99.000  -99.000
  664.46     17.952    0.019  -99.000  -99.000
  666.49     17.975    0.084  -99.000  -99.000
  668.41     18.015    0.030  -99.000  -99.000
  679.48     18.015    0.018  -99.000  -99.000
  684.42     18.042    0.019  -99.000  -99.000
  686.53     18.047    0.022  -99.000  -99.000
  688.48     18.063    0.048  -99.000  -99.000
  689.43     18.029    0.015  -99.000  -99.000
  690.43     17.984    0.036  -99.000  -99.000
  692.43     18.013    0.036  -99.000  -99.000
  694.43     18.022    0.024  -99.000  -99.000
  749.59     17.937    0.022   17.704    0.023
  752.61     17.962    0.036   17.724    0.031
  753.64     17.928    0.041   17.695    0.030
  754.62     17.937    0.092   17.661    0.057
  761.63     17.903    0.039   17.669    0.035
  763.60     17.841    0.032   17.573    0.028
  767.57     17.860    0.026   17.627    0.026
  775.56     17.853    0.016   17.616    0.015
  776.55     17.838    0.028   17.584    0.027
  781.57     17.759    0.070   17.547    0.064
  782.55     17.898    0.037   17.614    0.026
  783.59    -99.000  -99.000   17.849    0.083
  788.61     17.644    0.082   17.526    0.082
  788.61     17.785    0.086   17.706    0.091
  789.28     17.811    0.041   17.589    0.037
  791.59     17.856    0.067   17.546    0.044
  792.54     17.821    0.031   17.601    0.028
  793.53     17.762    0.039   17.546    0.036
  800.52     17.779    0.037   17.542    0.036
  803.49     17.760    0.022   17.513    0.021
  806.49     17.782    0.019   17.545    0.019
  810.48     17.862    0.105   17.657    0.078
  811.48     17.708    0.040   17.508    0.032
  813.47    -99.000  -99.000   17.544    0.038
  823.47     17.796    0.019   17.608    0.020
  824.80     17.788    0.044  -99.000  -99.000
  825.44     17.687    0.104   17.517    0.112
  826.44     17.783    0.025   17.546    0.024
  827.43     17.788    0.016   17.562    0.016
  828.43     17.812    0.020   17.572    0.019
  829.42     17.786    0.030   17.591    0.031
  829.80     17.737    0.036  -99.000  -99.000
  833.78     17.748    0.025  -99.000  -99.000
  834.41     17.785    0.018   17.563    0.018
  835.47     17.765    0.021   17.542    0.020
  836.79     17.746    0.021  -99.000  -99.000
  837.41     17.689    0.031   17.552    0.029
  838.41     17.751    0.036   17.546    0.032
  839.39     17.746    0.036   17.526    0.031
  840.39     17.743    0.045   17.481    0.035
  841.39     17.715    0.030   17.500    0.029
  843.40     17.739    0.027   17.534    0.026
  845.79     17.756    0.043  -99.000  -99.000
  846.79     17.786    0.037  -99.000  -99.000
  847.82     17.643    0.048  -99.000  -99.000
  848.40     17.759    0.022   17.533    0.021
  849.45     17.739    0.029   17.536    0.028
  850.43     17.827    0.060   17.574    0.050
  853.81     17.773    0.012  -99.000  -99.000
  854.38     17.747    0.016   17.520    0.015
  855.39     17.745    0.015   17.534    0.014
  860.42     17.703    0.033   17.445    0.030
  862.37     17.758    0.031   17.484    0.030
  863.79     17.724    0.033  -99.000  -99.000
  864.38     17.790    0.036   17.566    0.035
  865.38     17.775    0.034   17.538    0.030
  868.76     17.708    0.027  -99.000  -99.000
  869.38     17.816    0.089   17.416    0.061
  869.38     17.712    0.065   17.508    0.060
  870.73     17.613    0.069  -99.000  -99.000
  871.76     17.675    0.038  -99.000  -99.000
  873.36    -99.000  -99.000   17.571    0.122
